Messstelle:                ;Wildalpen
03.11.2013 10:30:00;  12,3
16.12.2013 15:00:05;  11,1
30.01.2014 18:30:00;  8,07
13.02.2014 20:15:05;  8,73
08.03.2014 18:45:00;  8,27
01.04.2014 14:15:00;  13,9
05.05.2014 13:30:00;  19,5
28.06.2014 14:00:00;  12,4
20.07.2014 15:30:00;  11,8
30.08.2014 17:45:00;  13,9
09.09.2014 20:30:00;  19,9
20.10.2014 16:00:00;  16,7
30.11.2014 20:15:00;  11,8
16.12.2014 10:45:00;  9,11
02.01.2015 15:00:00;  9,40
11.02.2015 23:30:00;  9,30
16.03.2015 00:00:00;  9,68
07.04.2015 17:45:00;  16,6
19.05.2015 23:00:00;  23,7
27.06.2015 20:00:00;  13,7
23.07.2015 19:30:00;  8,82
31.08.2015 19:00:00;  6,07
01.09.2015 21:00:00;  6,02
06.10.2015 03:45:00;  6,83
14.11.2015 14:15:00;  5,35
31.12.2015 12:00:00;  5,71
23.01.2016 05:15:00;  4,29
17.02.2016 02:15:00;  12,4
17.03.2016 15:45:00;  9,55
29.04.2016 02:00:00;  12,7
01.05.2016 00:00:00;  13,8
18.06.2016 17:30:00;  16,2
11.07.2016 11:30:00;  13,4
29.08.2016 01:15:00;  15,1
30.09.2016 23:00:00;  10,9
01.10.2016 13:15:00;  9,81
30.11.2016 15:45:00;  11,5
22.12.2016 18:15:00;  8,36
20.01.2017 00:00:00;  6,53
12.02.2017 22:00:00;  6,00
04.03.2017 17:00:00;  15,1
22.04.2017 13:45:00;  16,6
31.05.2017 16:30:00;  24,2
30.06.2017 18:45:00;  10,9
07.07.2017 03:30:00;  9,30
31.08.2017 23:59:55;  11,5
01.09.2017 00:45:00;  9,81
22.10.2017 04:00:00;  11,7
15.11.2017 15:45:00;  12,3
27.12.2017 19:00:00;  10,3
22.01.2018 20:30:00;  9,55
28.02.2018 09:15:00;  7,92
01.03.2018 07:15:00;  7,71
03.04.2018 13:30:00;  21,4
27.05.2018 17:05:00;  17,0
06.06.2018 13:05:00;  13,3
31.07.2018 10:30:00;  10,1
23.08.2018 09:00:00;  8,14
30.09.2018 09:30:00;  8,59
16.10.2018 01:00:00;  6,17
29.11.2018 23:30:00;  7,10
02.12.2018 09:30:00;  6,35
29.01.2019 02:15:00;  8,82
01.02.2019 00:00:00;  9,30
15.03.2019 10:15:00;  24,3
14.04.2019 16:30:00;  24,8
16.05.2019 18:15:00;  27,8
30.06.2019 15:45:00;  20,0
27.07.2019 01:15:00;  10,3
29.08.2019 06:45:00;  7,71
23.09.2019 22:45:00;  7,50
26.10.2019 15:45:05;  6,72
02.11.2019 08:15:00;  6,72
12.12.2019 18:15:00;  7,10
29.01.2020 18:15:00;  6,72
12.02.2020 17:00:00;  10,5
31.03.2020 20:45:00;  11,2
01.04.2020 14:45:00;  10,1
22.05.2020 18:15:00;  10,9
09.06.2020 15:15:00;  17,1
28.07.2020 19:00:00;  10,3
11.08.2020 11:45:00;  9,72
24.09.2020 18:30:00;  12,7
10.10.2020 02:15:00;  10,6
30.11.2020 12:30:00;  7,92
22.12.2020 08:15:00;  7,39
17.01.2021 04:30:00;  5,71
15.02.2021 14:45:00;  9,47
21.03.2021 04:15:00;  8,36
08.04.2021 10:00:00;  12,0
09.05.2021 10:30:00;  20,5
29.06.2021 15:15:00;  11,2
12.07.2021 22:30:00;  8,82
22.08.2021 07:30:00;  11,2
30.09.2021 17:00:00;  7,92
31.10.2021 18:15:00;  6,72
22.11.2021 07:15:00;  6,00
06.12.2021 10:00:00;  5,51
