Messstelle:                ;St. Johann in Tirol
18.08.2013 18:15:00;  3,05
08.09.2013 21:30:00;  7,21
28.10.2013 09:45:00;  6,62
28.11.2013 06:00:00;  5,05
31.12.2013 08:00:00;  3,22
29.01.2014 12:30:00;  2,76
01.02.2014 09:45:00;  3,41
03.03.2014 11:30:00;  3,81
01.04.2014 15:30:00;  6,64
27.05.2014 05:00:00;  13,2
28.06.2014 20:15:00;  4,07
07.07.2014 01:00:00;  4,99
29.08.2014 16:30:00;  9,10
30.09.2014 08:30:00;  6,67
19.10.2014 10:45:00;  4,12
30.11.2014 11:30:00;  4,92
29.12.2014 09:45:00;  2,60
02.01.2015 14:15:00;  3,22
08.02.2015 02:15:00;  3,20
01.03.2015 12:15:00;  4,07
08.04.2015 09:45:00;  8,82
01.05.2015 13:15:00;  13,5
15.06.2015 08:15:00;  6,49
23.07.2015 22:30:00;  3,33
31.08.2015 23:45:00;  3,22
01.09.2015 20:30:00;  3,16
04.10.2015 10:45:00;  3,41
28.11.2015 13:30:00;  2,10
31.12.2015 13:45:00;  1,94
19.01.2016 06:36:00;  1,54
20.02.2016 12:15:00;  4,69
16.03.2016 11:45:00;  5,73
29.04.2016 09:13:30;  12,1
01.05.2016 10:13:30;  12,2
30.06.2016 07:00:00;  11,7
10.07.2016 21:00:00;  6,62
31.08.2016 21:15:00;  5,97
16.09.2016 17:45:00;  4,27
18.10.2016 01:00:00;  3,91
15.11.2016 11:45:00;  3,81
31.12.2016 07:30:00;  2,01
07.01.2017 07:45:00;  1,36
14.02.2017 14:15:00;  2,22
03.03.2017 12:00:00;  5,85
21.04.2017 10:15:00;  7,88
30.05.2017 07:30:00;  8,17
24.06.2017 20:45:00;  3,58
07.07.2017 19:15:00;  5,65
31.08.2017 19:45:00;  7,62
01.09.2017 00:30:00;  8,31
21.10.2017 19:30:00;  5,51
30.11.2017 23:59:55;  7,74
10.12.2017 11:15:00;  4,76
02.01.2018 13:00:00;  6,28
15.02.2018 06:00:00;  2,67
01.03.2018 00:30:00;  3,47
02.04.2018 13:00:00;  10,4
31.05.2018 07:45:00;  6,62
21.06.2018 18:15:00;  5,03
31.07.2018 23:59:55;  3,92
08.08.2018 19:30:00;  2,87
21.09.2018 11:00:00;  6,33
20.10.2018 09:15:00;  4,07
29.11.2018 09:30:00;  2,53
02.12.2018 05:15:00;  2,78
30.01.2019 08:45:00;  3,66
06.02.2019 09:00:00;  3,97
14.03.2019 08:30:00;  11,6
15.04.2019 07:00:00;  15,4
16.05.2019 13:15:00;  17,1
30.06.2019 19:15:00;  7,29
26.07.2019 23:30:00;  2,99
31.08.2019 19:15:00;  5,31
25.09.2019 02:00:00;  5,12
27.10.2019 20:15:00;  4,44
03.11.2019 21:30:00;  5,10
16.12.2019 12:45:00;  4,42
21.01.2020 08:45:00;  3,05
01.02.2020 14:30:00;  5,48
31.03.2020 08:45:00;  6,64
01.04.2020 08:15:00;  6,44
31.05.2020 19:15:00;  6,10
04.06.2020 12:45:00;  4,76
31.07.2020 18:15:00;  6,99
27.08.2020 09:00:00;  6,00
21.09.2020 17:15:00;  5,24
10.10.2020 16:15:00;  9,51
30.11.2020 13:30:00;  3,85
01.12.2020 11:30:00;  3,70
11.01.2021 11:30:00;  2,11
15.02.2021 04:45:00;  2,88
21.03.2021 08:15:00;  4,29
21.04.2021 12:45:00;  7,23
06.05.2021 12:45:00;  12,0
29.06.2021 17:45:00;  4,73
04.07.2021 00:15:00;  4,57
22.08.2021 16:15:00;  9,22
19.09.2021 12:30:00;  5,63
31.10.2021 06:00:00;  4,12
25.11.2021 18:45:00;  3,60
23.12.2021 05:00:00;  3,25
