Messstelle:                ;Zwettl (Bahnbrücke)
02.08.2013 23:40:00;  2,10
15.09.2013 15:40:00;  1,59
22.10.2013 17:05:00;  1,41
28.11.2013 08:35:00;  1,29
04.12.2013 08:30:00; 0,803
16.01.2014 10:45:00; 0,910
04.02.2014 14:30:00;  1,43
22.03.2014 18:45:00;  1,68
04.04.2014 14:45:00;  1,23
09.05.2014 13:50:00;  1,23
29.06.2014 17:40:00;  2,42
21.07.2014 16:40:00;  1,40
08.08.2014 21:50:00;  2,05
01.09.2014 00:05:00;  2,90
16.10.2014 23:40:00;  3,63
29.11.2014 23:10:00;  3,60
02.12.2014 12:25:00;  3,19
07.01.2015 12:40:00;  2,08
05.02.2015 09:20:00;  3,36
26.03.2015 07:15:00;  3,86
28.04.2015 13:10:00;  2,62
19.05.2015 16:05:00;  1,87
07.06.2015 16:45:00;  1,67
31.07.2015 23:59:55; 0,696
16.08.2015 21:20:00; 0,432
02.09.2015 07:10:00; 0,508
05.10.2015 05:55:00; 0,593
05.11.2015 03:00:00; 0,724
31.12.2015 14:40:00; 0,835
20.01.2016 05:45:00; 0,857
19.02.2016 16:50:00;  3,13
31.03.2016 23:40:00;  3,49
30.04.2016 23:15:00;  2,46
02.05.2016 14:05:00;  2,39
26.06.2016 15:45:00;  4,28
02.07.2016 16:35:00;  4,48
31.08.2016 23:59:55;  2,61
29.09.2016 11:15:00;  1,47
01.10.2016 21:40:00;  1,47
30.11.2016 09:45:00;  2,01
04.12.2016 04:15:00;  1,92
19.01.2017 19:05:00;  2,06
15.02.2017 11:05:00;  2,71
17.03.2017 18:55:00;  4,81
17.04.2017 04:50:00;  3,52
30.05.2017 23:25:00;  2,24
30.06.2017 18:15:00;  1,12
19.07.2017 10:25:00; 0,939
30.08.2017 04:25:05; 0,715
01.09.2017 03:05:00; 0,723
20.10.2017 11:25:00; 0,778
06.11.2017 04:50:00;  1,29
20.12.2017 02:15:00;  1,11
16.01.2018 12:05:00;  3,35
25.02.2018 11:40:00;  1,68
22.03.2018 10:00:00;  3,31
30.04.2018 18:15:00;  1,49
15.05.2018 08:55:00;  1,22
10.06.2018 08:55:00;  1,47
21.07.2018 19:05:00;  1,60
30.08.2018 03:45:00; 0,846
30.09.2018 20:30:00; 0,887
15.10.2018 08:30:00; 0,631
21.11.2018 05:25:00; 0,738
01.12.2018 05:25:00;  1,43
30.01.2019 11:50:00;  3,16
07.02.2019 11:35:00;  3,32
31.03.2019 23:59:55;  6,88
28.04.2019 17:15:00;  2,45
09.05.2019 04:45:00;  3,39
30.06.2019 23:20:00;  3,11
27.07.2019 14:05:00;  1,46
30.08.2019 01:00:00;  1,28
24.09.2019 09:45:00; 0,863
25.10.2019 00:25:00; 0,849
04.11.2019 17:40:00; 0,885
20.12.2019 13:55:00; 0,891
06.01.2020 16:40:00; 0,842
29.02.2020 10:15:00;  4,06
25.03.2020 15:55:00;  2,50
27.04.2020 10:55:00;  1,17
23.05.2020 02:05:00; 0,911
03.06.2020 13:15:00;  1,70
10.07.2020 14:35:00;  2,72
28.08.2020 18:00:00;  3,62
24.09.2020 14:35:00;  3,54
10.10.2020 18:22:00;  3,39
30.11.2020 14:25:00;  3,90
27.12.2020 13:25:00;  2,18
11.01.2021 16:45:00;  1,83
15.02.2021 14:10:00;  4,02
21.03.2021 08:25:00;  2,72
30.04.2021 23:59:55;  2,78
12.05.2021 00:55:00;  2,41
18.06.2021 07:10:00;  1,95
07.07.2021 00:25:00;  1,37
22.08.2021 07:55:00;  3,32
30.09.2021 21:40:00;  1,81
23.10.2021 04:10:20;  1,15
01.11.2021 11:50:00;  1,17
22.12.2021 16:20:00;  1,30
