Messstelle:                ;Bruck (Fuscher Ache)
30.11.2013 15:45:00; 0,449
01.12.2013 09:30:00; 0,485
21.01.2014 05:00:00; 0,863
03.02.2014 08:15:00;  1,12
21.03.2014 15:00:00;  1,26
09.04.2014 08:00:00; 0,806
05.05.2014 06:45:00;  1,18
18.06.2014 05:15:00;  2,24
01.07.2014 05:30:00;  2,24
07.08.2014 08:15:00;  2,69
26.09.2014 05:45:00;  3,76
29.10.2014 06:45:00;  1,59
15.11.2014 05:45:00;  1,59
06.12.2014 12:00:00;  1,69
21.01.2015 08:15:00;  2,09
04.02.2015 02:30:00;  1,88
14.03.2015 08:15:00;  1,69
01.04.2015 13:15:00;  1,78
01.05.2015 03:45:00;  4,24
14.06.2015 07:45:00;  3,57
28.07.2015 08:15:00;  2,20
31.08.2015 08:45:00;  2,48
01.09.2015 08:45:00;  2,48
13.10.2015 17:00:00;  2,60
16.11.2015 13:00:00;  1,01
03.12.2015 19:15:00;  1,19
20.01.2016 15:00:00;  1,51
19.02.2016 14:00:00;  1,12
22.03.2016 12:45:00; 0,654
15.04.2016 14:00:00;  1,78
07.05.2016 10:45:00;  2,09
07.06.2016 14:15:00;  3,57
30.07.2016 17:30:00;  3,73
23.08.2016 18:00:00;  1,50
23.09.2016 10:30:00;  2,20
04.10.2016 08:45:00;  1,19
16.11.2016 14:45:00; 0,566
31.12.2016 15:15:00;  1,88
19.01.2017 10:15:00; 0,865
03.02.2017 14:15:00;  1,42
29.03.2017 15:45:00;  1,42
09.04.2017 10:15:00;  1,88
11.05.2017 10:15:00;  2,96
01.06.2017 10:30:00;  1,98
23.07.2017 16:30:00;  2,56
31.08.2017 09:30:00;  2,08
14.09.2017 14:30:00;  2,44
22.10.2017 04:30:00;  2,32
09.11.2017 13:30:00;  1,98
01.12.2017 13:15:00;  1,51
27.01.2018 09:45:00;  1,92
15.02.2018 17:15:00;  1,74
01.03.2018 00:00:00;  2,07
03.04.2018 00:45:00;  2,74
10.05.2018 02:15:00;  5,22
19.06.2018 08:15:00;  1,95
10.07.2018 16:30:00;  2,10
14.08.2018 23:45:00;  1,45
22.09.2018 08:30:00;  1,51
14.10.2018 18:30:00;  1,51
21.11.2018 10:15:00;  1,82
15.12.2018 13:30:00;  2,17
31.01.2019 06:45:00;  1,63
12.02.2019 06:15:00;  2,13
20.03.2019 16:00:00;  1,59
25.04.2019 03:45:00;  1,42
15.05.2019 15:15:00;  3,40
21.06.2019 17:30:00;  9,25
07.07.2019 13:15:00;  3,90
29.08.2019 23:45:00;  1,34
17.09.2019 07:45:00;  2,20
26.10.2019 22:00:00;  1,42
05.11.2019 06:30:00;  1,90
19.12.2019 10:00:00;  1,69
25.01.2020 05:45:00;  1,82
06.02.2020 10:45:00;  1,82
07.03.2020 14:45:00;  2,02
01.04.2020 04:45:00;  2,24
01.05.2020 10:30:00;  3,00
05.06.2020 11:15:00;  1,78
12.07.2020 13:15:00;  3,73
11.08.2020 10:30:00;  1,88
17.09.2020 16:00:00;  3,29
27.10.2020 08:45:00;  2,87
21.11.2020 06:15:00;  2,24
15.12.2020 11:30:00;  2,02
14.01.2021 13:15:00;  1,07
14.02.2021 23:00:00;  1,59
14.03.2021 17:30:00;  1,42
15.04.2021 16:45:00;  1,69
07.05.2021 07:30:00;  2,52
01.06.2021 13:45:00;  4,59
02.07.2021 09:45:00;  6,87
26.08.2021 14:30:00;  6,37
19.09.2021 11:45:00;  3,41
24.10.2021 17:15:00;  1,54
02.11.2021 08:15:00;  1,63
22.12.2021 08:15:00;  1,51
