Messstelle:                ;Saalfelden
08.10.2013 09:00:00;  2,15
29.11.2013 19:15:00; 0,963
24.12.2013 17:30:00;  1,25
27.01.2014 15:15:00;  1,05
07.02.2014 18:00:00; 0,963
14.03.2014 16:30:00; 0,877
04.04.2014 18:15:00;  1,59
12.05.2014 07:45:00;  1,85
29.06.2014 06:30:00;  1,25
29.07.2014 14:45:00;  1,35
06.08.2014 21:30:00; 0,807
10.09.2014 11:30:00;  1,05
19.10.2014 16:30:00; 0,963
17.11.2014 16:30:00;  1,38
01.12.2014 08:30:00;  1,17
01.01.2015 00:00:00;  1,38
27.02.2015 03:15:00;  1,62
02.03.2015 08:00:00; 0,886
24.04.2015 09:30:00;  2,15
09.05.2015 12:00:00;  2,61
15.06.2015 07:30:00;  1,87
22.07.2015 10:00:00;  1,17
12.08.2015 14:15:00; 0,807
01.09.2015 12:30:00; 0,886
22.10.2015 08:00:00;  1,17
18.11.2015 18:30:00; 0,519
31.12.2015 05:45:00; 0,455
06.01.2016 15:00:00; 0,351
19.02.2016 12:00:00; 0,807
12.03.2016 10:15:00;  2,01
20.04.2016 12:00:00;  2,46
06.05.2016 14:45:00;  2,15
25.06.2016 18:00:00;  1,74
08.07.2016 16:30:00;  1,49
03.08.2016 05:00:00;  1,27
12.09.2016 10:00:00; 0,649
19.10.2016 08:00:00;  1,50
08.11.2016 03:00:00; 0,886
08.12.2016 05:15:00; 0,520
22.01.2017 19:22:05; 0,803
07.02.2017 11:00:00; 0,584
17.03.2017 14:15:00;  1,62
21.04.2017 08:45:00;  2,78
16.05.2017 19:45:00;  3,32
18.06.2017 07:30:00;  1,07
05.07.2017 17:30:00;  1,49
05.08.2017 17:30:00;  1,62
29.09.2017 18:00:00;  1,49
29.10.2017 02:13:10;  1,42
15.11.2017 04:30:00;  2,46
29.12.2017 21:30:00;  2,61
22.01.2018 11:00:00;  1,49
23.02.2018 12:00:00; 0,974
03.03.2018 08:30:00; 0,886
02.04.2018 09:45:00;  3,70
24.05.2018 08:00:00;  1,49
24.06.2018 11:30:00;  1,38
04.07.2018 15:15:00;  1,38
06.08.2018 10:30:00; 0,977
27.09.2018 18:30:00;  1,49
04.10.2018 09:30:00;  1,07
18.11.2018 17:30:00; 0,515
01.12.2018 04:00:00; 0,723
31.01.2019 08:30:00; 0,802
01.02.2019 13:30:00; 0,886
15.03.2019 14:00:00;  3,32
15.04.2019 15:45:00;  4,34
08.05.2019 13:15:00;  6,88
21.06.2019 18:30:00;  2,61
10.07.2019 16:15:00; 0,584
31.08.2019 23:15:00;  1,17
01.09.2019 10:45:00; 0,977
27.10.2019 14:30:00;  1,17
03.11.2019 10:00:00;  1,38
16.12.2019 05:30:00;  1,49
16.01.2020 03:00:00;  1,27
15.02.2020 09:15:00;  1,87
08.03.2020 19:00:00;  2,30
03.04.2020 07:30:00;  1,74
18.05.2020 17:30:00;  1,62
01.06.2020 19:30:00;  2,78
31.07.2020 15:15:00;  2,15
21.08.2020 16:00:00;  1,59
16.09.2020 20:45:00;  1,17
03.10.2020 14:00:00;  1,49
30.11.2020 09:30:00; 0,977
02.12.2020 00:00:00; 0,807
25.01.2021 09:30:00; 0,519
18.02.2021 14:15:00;  1,07
03.03.2021 14:15:00;  1,27
09.04.2021 11:15:00;  1,74
08.05.2021 15:00:00;  2,46
23.06.2021 09:30:00;  1,62
02.07.2021 18:30:00;  1,07
23.08.2021 16:00:00; 0,600
15.09.2021 16:30:00; 0,385
26.10.2021 04:30:00; 0,158
01.11.2021 00:00:00; 0,346
08.12.2021 00:00:00;  1,62
