Messstelle:                ;Teichlbrücke
31.07.2013 09:30:00;  2,19
14.08.2013 14:45:00;  1,89
10.09.2013 06:00:00;  2,14
09.10.2013 14:30:00;  2,79
03.11.2013 06:45:00;  2,89
03.12.2013 14:30:00;  2,96
30.01.2014 05:45:00;  2,04
28.02.2014 06:30:00;  2,25
12.03.2014 11:15:00;  2,04
02.04.2014 12:30:00;  3,35
09.05.2014 23:30:00;  5,55
29.06.2014 06:15:00;  2,84
19.07.2014 21:00:00;  2,65
29.08.2014 17:00:00;  3,53
30.09.2014 19:30:00;  4,65
12.10.2014 16:00:00;  2,28
30.11.2014 14:45:00;  2,61
16.12.2014 15:00:00;  2,19
02.01.2015 02:00:00;  2,45
23.02.2015 11:45:00;  2,37
16.03.2015 13:00:00;  2,83
08.04.2015 06:45:00;  4,16
18.05.2015 19:45:00;  4,91
30.06.2015 19:00:00;  3,52
17.07.2015 23:51:00;  2,22
31.08.2015 23:59:55;  1,59
01.09.2015 02:48:10;  1,56
04.10.2015 01:08:25;  1,92
16.11.2015 20:30:00;  1,76
29.12.2015 18:02:05;  1,61
07.01.2016 01:30:00;  1,60
19.02.2016 15:30:00;  2,22
25.03.2016 12:45:00;  2,85
29.04.2016 14:45:00;  3,68
01.05.2016 10:00:00;  3,83
18.06.2016 17:30:00;  6,24
10.07.2016 18:00:00;  4,78
31.08.2016 22:15:00;  3,82
30.09.2016 20:45:00;  3,12
02.10.2016 07:30:00;  3,01
30.11.2016 11:15:00;  2,45
22.12.2016 04:15:00;  1,80
29.01.2017 08:00:00;  1,36
02.02.2017 13:15:00;  2,51
15.03.2017 14:15:00;  4,85
15.04.2017 19:45:00;  5,45
29.05.2017 14:30:00;  5,80
30.06.2017 11:45:00;  2,62
08.07.2017 20:15:00;  2,36
31.08.2017 16:00:00;  2,95
18.09.2017 14:45:00;  4,03
22.10.2017 05:30:00;  3,33
30.11.2017 17:00:00;  4,25
21.12.2017 09:15:00;  3,41
24.01.2018 10:45:00;  4,36
28.02.2018 03:00:00;  2,28
01.03.2018 00:45:00;  2,20
03.04.2018 12:45:00;  5,73
31.05.2018 05:30:00;  3,79
10.06.2018 18:15:00;  2,71
31.07.2018 17:45:00;  2,45
19.08.2018 17:45:00;  1,58
20.09.2018 11:00:00;  1,67
23.10.2018 20:00:00;  1,09
29.11.2018 11:45:00;  1,13
01.12.2018 00:15:00;  1,31
31.01.2019 05:30:00;  2,81
01.02.2019 16:30:00;  2,49
29.03.2019 10:45:00;  7,24
16.04.2019 13:30:00;  7,31
08.05.2019 12:30:00;  8,90
30.06.2019 21:00:00;  5,12
27.07.2019 10:30:00;  2,69
29.08.2019 11:30:00;  1,60
22.09.2019 19:45:00;  1,65
29.10.2019 12:00:00;  1,74
03.11.2019 04:30:00;  1,97
06.12.2019 14:30:00;  1,74
26.01.2020 18:15:00;  2,32
23.02.2020 04:15:00;  4,33
31.03.2020 22:45:00;  3,48
05.04.2020 15:45:00;  3,11
22.05.2020 16:30:00;  3,48
02.06.2020 10:45:00;  3,90
28.07.2020 17:45:00;  4,25
29.08.2020 00:30:00;  4,09
25.09.2020 02:15:00;  3,21
10.10.2020 14:00:00;  3,69
30.11.2020 14:45:00;  2,43
20.12.2020 18:30:00;  2,11
12.01.2021 06:00:00;  1,69
15.02.2021 11:45:00;  2,83
11.03.2021 11:15:00;  2,28
09.04.2021 08:15:00;  4,06
31.05.2021 19:45:00;  5,61
29.06.2021 20:15:00;  2,97
16.07.2021 15:15:00;  2,28
15.08.2021 20:00:00;  4,25
27.09.2021 18:45:00;  2,51
31.10.2021 11:15:00;  1,78
30.11.2021 16:30:00;  1,55
08.12.2021 16:45:00;  2,05
