Messstelle:                ;Weitensfeld-Ost
30.06.2013 16:45:00;  4,35
21.07.2013 17:45:00;  1,75
05.08.2013 15:15:00;  1,17
14.09.2013 09:45:00;  1,44
27.10.2013 09:15:00;  1,54
01.11.2013 14:30:00;  2,73
18.12.2013 09:15:00;  3,69
30.01.2014 10:15:00;  3,86
06.02.2014 12:15:00;  4,03
02.03.2014 12:00:00;  6,29
22.04.2014 19:45:00;  8,99
31.05.2014 09:45:00;  6,71
18.06.2014 23:15:00;  3,69
26.07.2014 13:30:05;  2,77
01.08.2014 07:45:05;  4,91
30.09.2014 23:15:05;  7,94
27.10.2014 15:45:05;  3,47
03.11.2014 12:00:05;  2,33
29.12.2014 06:00:05;  3,93
08.01.2015 06:00:05;  3,75
14.02.2015 16:15:00;  1,50
16.03.2015 09:45:00; 0,975
11.04.2015 15:00:00;  1,46
05.05.2015 11:00:00;  1,74
10.06.2015 19:00:00;  2,04
03.07.2015 13:45:00;  3,19
27.08.2015 18:30:00;  3,02
11.09.2015 13:30:00; 0,318
10.10.2015 16:15:00;  5,55
06.11.2015 15:30:00;  1,93
15.12.2015 01:00:00;  1,02
30.01.2016 08:45:00;  1,08
04.02.2016 18:15:00;  1,08
05.03.2016 22:45:00;  1,46
27.04.2016 16:15:00;  3,19
30.05.2016 17:30:00;  2,35
02.06.2016 03:15:00;  5,77
25.07.2016 02:45:00;  5,77
09.08.2016 12:15:00;  6,43
30.09.2016 12:45:00;  1,20
07.10.2016 12:15:00;  1,08
03.11.2016 15:15:00;  4,52
31.12.2016 23:59:55;  1,74
06.01.2017 16:30:00;  1,08
15.02.2017 12:00:00; 0,963
13.03.2017 09:45:00;  1,35
24.04.2017 20:30:00;  1,20
31.05.2017 16:30:00;  2,24
23.06.2017 20:15:00;  1,52
22.07.2017 23:45:00;  1,39
05.08.2017 23:30:00;  4,51
01.09.2017 07:00:00;  6,63
26.10.2017 09:30:00;  2,24
10.11.2017 14:00:00;  1,74
10.12.2017 03:45:00;  1,08
06.01.2018 00:00:00;  2,04
14.02.2018 12:00:00; 0,840
01.03.2018 02:00:00;  1,08
03.04.2018 11:45:00;  8,57
30.05.2018 22:00:00;  13,6
30.06.2018 16:30:00;  6,41
31.07.2018 21:45:00;  2,75
24.08.2018 10:30:00; 0,975
29.09.2018 14:15:00;  3,85
26.10.2018 09:30:00; 0,636
17.11.2018 09:15:00;  3,66
15.12.2018 22:30:00;  2,88
26.01.2019 18:30:00; 0,772
13.02.2019 21:15:00;  1,35
07.03.2019 14:45:00;  2,55
01.04.2019 00:00:00;  3,94
10.05.2019 12:45:00;  2,04
16.06.2019 17:15:00;  4,25
30.07.2019 16:30:00;  1,64
17.08.2019 20:45:00; 0,856
01.09.2019 10:45:00;  2,58
29.10.2019 16:30:00; 0,975
02.11.2019 08:15:00;  2,75
19.12.2019 11:00:00;  6,40
21.01.2020 10:45:00;  2,88
15.02.2020 12:45:00; 0,870
17.03.2020 00:30:00;  1,09
02.04.2020 14:15:00;  1,70
31.05.2020 22:00:00;  4,09
05.06.2020 00:00:00;  2,72
29.07.2020 19:15:00;  5,87
29.08.2020 03:30:00;  7,41
24.09.2020 09:15:00;  5,45
26.10.2020 13:00:00;  8,84
27.11.2020 19:30:00;  4,28
01.12.2020 14:30:00;  4,46
27.01.2021 12:15:00;  2,88
03.02.2021 12:45:00;  3,55
21.03.2021 11:15:00;  3,55
21.04.2021 17:15:00;  4,32
01.05.2021 00:00:00;  7,08
27.06.2021 01:15:00;  3,91
28.07.2021 22:00:00;  1,44
09.08.2021 22:30:00; 0,976
13.09.2021 15:00:00; 0,976
12.10.2021 11:15:00; 0,673
30.11.2021 11:30:00; 0,976
18.12.2021 03:30:00; 0,870
