Messstelle:                ;See
28.11.2018 11:30:00;  2,58
14.12.2018 00:15:00;  2,11
24.01.2019 12:15:00;  1,88
05.02.2019 11:30:00;  1,59
15.03.2019 18:15:00;  2,60
01.04.2019 10:15:00;  5,59
16.05.2019 06:45:00;  7,00
01.06.2019 09:45:00;  17,1
31.07.2019 23:59:55;  10,7
31.08.2019 11:00:00;  8,01
30.09.2019 23:59:55;  5,29
28.10.2019 14:00:00;  4,87
30.11.2019 23:59:55;  4,02
29.12.2019 09:15:00;  2,86
21.01.2020 08:15:00;  2,25
01.02.2020 13:00:00;  3,01
08.03.2020 07:30:00;  3,49
01.04.2020 08:45:00;  3,83
04.05.2020 09:30:00;  9,00
01.06.2020 08:30:00;  10,4
31.07.2020 23:59:55;  6,71
28.08.2020 11:30:00;  5,43
24.09.2020 20:00:00;  5,18
20.10.2020 06:15:00;  5,45
30.11.2020 11:15:00;  2,94
27.12.2020 08:00:00;  2,22
29.01.2021 16:30:00;  1,78
14.02.2021 11:15:00;  1,56
21.03.2021 07:30:00;  1,76
16.04.2021 06:00:00;  2,92
08.05.2021 06:00:00;  6,19
01.06.2021 09:15:00;  10,7
30.07.2021 18:00:00;  8,56
29.08.2021 08:00:00;  8,18
30.09.2021 23:59:55;  4,68
28.10.2021 11:30:00;  2,77
30.11.2021 00:00:00;  2,13
21.12.2021 12:45:00;  1,59
