Messstelle:                ;Puig
06.09.2013 08:00:00;  7,87
08.10.2013 19:00:00;  7,46
30.11.2013 15:45:00;  7,61
31.12.2013 10:15:00;  5,54
29.01.2014 12:00:00;  4,04
09.02.2014 15:15:00;  3,67
05.03.2014 11:45:00;  4,10
01.04.2014 01:30:00;  6,37
18.05.2014 15:30:00;  11,1
21.06.2014 14:15:00;  14,8
25.07.2014 18:45:00;  14,7
10.08.2014 13:30:00;  13,7
30.09.2014 14:45:00;  6,89
22.10.2014 17:30:00;  4,49
04.11.2014 10:00:00;  6,01
29.12.2014 08:30:00;  5,57
19.01.2015 18:15:00;  3,55
23.02.2015 05:45:00;  3,53
10.03.2015 16:00:00;  3,08
08.04.2015 10:30:00;  3,74
02.05.2015 12:30:00;  10,1
26.06.2015 18:00:00;  14,0
31.07.2015 13:15:00;  9,83
11.08.2015 17:00:00;  8,43
01.09.2015 17:45:00;  8,77
31.10.2015 10:30:00;  7,63
30.11.2015 00:15:00;  4,16
22.12.2015 00:15:00;  3,07
14.01.2016 15:30:00;  2,42
16.02.2016 04:00:00;  2,81
25.03.2016 11:30:00;  2,54
01.04.2016 12:45:00;  6,08
04.05.2016 11:45:00;  9,60
08.06.2016 14:30:00;  23,2
30.07.2016 15:15:00;  12,9
27.08.2016 13:00:00;  10,7
30.09.2016 16:15:00;  6,18
08.10.2016 14:00:00;  5,61
15.11.2016 08:15:00;  4,97
27.12.2016 01:15:00;  3,60
31.01.2017 15:45:00;  2,46
18.02.2017 12:00:00;  2,70
07.03.2017 17:45:00;  3,16
10.04.2017 12:30:00;  3,67
01.05.2017 10:15:00;  6,92
19.06.2017 18:15:00;  14,1
17.07.2017 18:45:00;  10,4
03.08.2017 14:00:00;  10,4
30.09.2017 16:45:00;  13,8
31.10.2017 11:45:00;  6,75
30.11.2017 22:30:00;  5,64
31.12.2017 09:00:00;  4,45
11.01.2018 13:15:00;  3,42
25.02.2018 18:00:00;  2,61
01.03.2018 20:00:00;  2,21
03.04.2018 13:45:00;  4,29
23.05.2018 14:30:00;  19,5
27.06.2018 09:00:00;  10,9
31.07.2018 14:15:00;  8,14
21.08.2018 12:00:00;  6,54
26.09.2018 16:00:00;  5,62
26.10.2018 17:15:00;  3,69
27.11.2018 10:00:00;  5,61
15.12.2018 01:30:00;  3,28
31.01.2019 16:45:00;  3,59
14.02.2019 09:15:00;  3,49
06.03.2019 14:30:00;  3,21
01.04.2019 14:15:00;  6,25
16.05.2019 10:45:00;  11,0
30.06.2019 13:30:00;  22,1
27.07.2019 13:00:00;  10,2
28.08.2019 14:45:00;  7,61
29.09.2019 16:30:00;  5,62
14.10.2019 09:15:00;  4,49
02.11.2019 03:45:00;  6,03
29.12.2019 13:45:00;  5,32
20.01.2020 12:30:00;  3,80
10.02.2020 10:15:00;  3,48
10.03.2020 13:30:00;  3,49
01.04.2020 10:30:00;  4,03
05.05.2020 06:15:00;  9,89
01.06.2020 13:45:00;  11,4
31.07.2020 13:45:00;  10,0
01.08.2020 15:45:00;  9,95
24.09.2020 17:30:00;  10,5
22.10.2020 09:15:00;  10,3
28.11.2020 10:15:00;  8,09
31.12.2020 14:00:00;  5,30
28.01.2021 15:00:00;  4,33
14.02.2021 03:00:00;  3,87
24.03.2021 09:15:00;  4,22
22.04.2021 12:15:00;  5,30
01.05.2021 17:00:00;  11,0
01.06.2021 13:00:00;  17,1
23.07.2021 19:15:00;  15,2
29.08.2021 15:15:00;  13,5
28.09.2021 15:30:00;  7,18
27.10.2021 15:15:00;  4,18
29.11.2021 23:00:00;  4,86
10.12.2021 09:30:00;  3,78
