Messstelle:                ;Großarl
04.11.2014 16:45:00; 0,846
01.12.2014 00:00:00;  1,79
31.01.2015 19:45:00;  2,01
23.02.2015 11:00:00;  1,25
18.03.2015 13:00:00;  1,58
08.04.2015 08:45:00;  2,23
26.05.2015 11:15:00;  5,72
22.06.2015 10:30:00;  1,33
17.07.2015 20:15:00; 0,552
31.08.2015 23:59:55;  2,80
16.09.2015 23:15:00;  1,23
21.10.2015 07:15:00;  2,42
11.11.2015 09:15:00;  1,79
31.12.2015 11:45:00;  1,30
25.01.2016 02:45:00; 0,994
12.02.2016 05:45:00;  1,18
09.03.2016 16:45:00;  1,18
06.04.2016 11:45:00;  2,76
20.05.2016 09:00:00;  3,15
29.06.2016 08:00:00;  7,63
20.07.2016 19:00:00;  2,92
29.08.2016 11:45:00; 0,963
10.09.2016 17:00:00;  1,74
11.10.2016 11:15:00;  1,12
29.11.2016 11:45:05;  1,12
16.12.2016 08:45:00;  1,09
31.01.2017 15:06:55;  1,18
20.02.2017 16:15:00; 0,908
03.03.2017 10:15:00;  1,46
18.04.2017 08:30:00;  1,12
01.05.2017 07:00:00;  3,57
19.06.2017 13:00:00;  3,16
03.07.2017 08:15:00;  1,74
28.08.2017 10:45:00;  1,14
01.09.2017 02:15:00;  2,06
16.10.2017 09:45:00;  1,43
07.11.2017 12:45:00;  1,57
09.12.2017 06:30:55;  2,08
22.01.2018 14:05:00;  1,74
28.02.2018 23:59:55;  1,30
23.03.2018 04:30:00;  1,23
02.04.2018 06:00:00;  2,11
26.05.2018 17:30:00;  5,35
18.06.2018 10:15:00;  1,65
16.07.2018 10:15:00;  2,04
24.08.2018 06:00:00;  1,65
18.09.2018 14:00:00; 0,588
04.10.2018 11:00:00; 0,588
06.11.2018 12:45:00;  1,30
31.12.2018 14:45:00;  1,05
13.01.2019 09:15:00; 0,881
13.02.2019 11:00:00; 0,993
05.03.2019 11:15:00;  1,40
30.04.2019 13:00:00;  2,45
05.05.2019 10:45:00;  1,03
30.06.2019 14:00:00;  5,91
24.07.2019 13:15:00; 0,545
29.08.2019 05:30:00;  1,11
01.09.2019 16:45:00;  1,11
29.10.2019 08:15:00; 0,503
02.11.2019 19:00:00;  1,26
29.12.2019 05:45:00;  2,15
30.01.2020 09:15:00;  1,65
01.02.2020 00:00:00;  1,80
23.03.2020 07:15:00;  1,48
15.04.2020 14:00:00;  1,94
31.05.2020 23:59:55;  3,34
04.06.2020 15:00:00; 0,866
16.07.2020 14:00:00;  1,06
27.08.2020 07:15:00;  1,65
11.09.2020 02:30:00;  2,56
09.10.2020 21:30:00;  2,44
30.11.2020 23:59:55;  2,30
06.12.2020 01:30:00;  1,91
25.01.2021 12:00:00;  1,43
18.02.2021 12:00:00;  1,43
29.03.2021 11:30:00;  1,12
01.04.2021 10:45:00;  1,36
06.05.2021 09:30:00;  2,83
30.06.2021 02:45:00; 0,646
14.07.2021 09:15:00;  1,54
13.08.2021 10:30:00;  1,59
15.09.2021 23:15:00;  2,21
18.10.2021 09:15:00;  1,50
01.11.2021 21:15:00;  1,58
09.12.2021 12:45:00; 0,878
