Messstelle:                ;Krottendorf
24.10.2013 18:45:00;  5,01
02.11.2013 18:45:00;  7,79
24.12.2013 13:30:05;  9,05
28.01.2014 17:45:05;  8,91
05.02.2014 16:15:00;  12,2
12.03.2014 06:45:05;  14,7
18.04.2014 18:00:05;  15,3
31.05.2014 21:00:00;  14,1
22.06.2014 23:15:00;  8,26
20.07.2014 23:45:00;  8,50
12.08.2014 06:00:00;  11,3
30.09.2014 22:45:00;  21,5
30.10.2014 18:00:00;  11,9
04.11.2014 07:00:00;  11,3
30.12.2014 12:45:00;  10,3
28.01.2015 12:21:00;  8,68
10.02.2015 19:06:00;  6,31
28.03.2015 14:51:00;  6,80
10.04.2015 14:21:00;  7,06
18.05.2015 11:15:00;  4,95
12.06.2015 10:45:00;  6,23
08.07.2015 14:45:00;  5,67
13.08.2015 08:00:00;  4,61
01.09.2015 00:00:00;  6,63
01.10.2015 11:30:00;  6,04
26.11.2015 17:45:00;  6,23
31.12.2015 14:15:00;  6,23
19.01.2016 09:30:00;  4,28
11.02.2016 17:45:00;  4,28
25.03.2016 17:15:00;  7,03
25.04.2016 22:30:00;  7,24
30.05.2016 16:15:00;  9,22
03.06.2016 19:15:00;  7,03
18.07.2016 15:45:00;  8,31
02.08.2016 13:15:00;  9,69
23.09.2016 18:30:00;  7,24
18.10.2016 12:30:00;  7,66
04.11.2016 07:00:00;  8,53
30.12.2016 16:45:00;  5,67
06.01.2017 15:00:00;  4,95
20.02.2017 18:30:00;  5,85
09.03.2017 17:15:00;  4,28
21.04.2017 18:00:00;  3,81
30.05.2017 01:30:00;  4,78
22.06.2017 10:15:00;  4,12
04.07.2017 22:00:00;  5,67
31.08.2017 16:45:00;  8,09
10.09.2017 00:15:00;  9,22
31.10.2017 04:00:00;  9,65
24.11.2017 19:30:00;  8,09
10.12.2017 12:30:00;  7,03
31.01.2018 17:00:00;  8,58
26.02.2018 10:15:00;  4,76
01.03.2018 09:30:00;  6,10
02.04.2018 20:30:00;  11,5
02.05.2018 16:15:00;  18,1
30.06.2018 21:30:00;  12,7
31.07.2018 23:00:00;  7,39
03.08.2018 09:00:00;  6,95
18.09.2018 16:45:00;  9,08
25.10.2018 16:45:00;  5,70
21.11.2018 15:15:00;  5,12
16.12.2018 16:45:00;  5,12
26.01.2019 09:45:00;  4,41
24.02.2019 10:00:00;  5,31
05.03.2019 16:30:00;  5,12
08.04.2019 17:00:00;  4,76
02.05.2019 12:15:00;  6,51
26.06.2019 16:15:00;  5,52
22.07.2019 15:45:00;  4,94
28.08.2019 17:00:00;  3,88
01.09.2019 19:45:00;  5,72
19.10.2019 10:45:00;  4,94
01.11.2019 09:45:00;  6,14
30.12.2019 10:15:00;  8,11
25.01.2020 18:00:00;  5,10
11.02.2020 17:45:00;  4,38
17.03.2020 10:00:00;  4,92
14.04.2020 18:30:00;  3,88
26.05.2020 20:00:00;  4,21
03.06.2020 08:30:00;  3,88
06.07.2020 17:00:00;  5,29
12.08.2020 16:45:00;  6,09
21.09.2020 11:30:00;  7,63
29.10.2020 17:00:00;  9,90
30.11.2020 16:30:00;  5,68
18.12.2020 11:15:00;  5,45
21.01.2021 16:30:00;  4,81
18.02.2021 16:00:00;  6,39
08.03.2021 16:45:00;  5,29
23.04.2021 12:15:00;  5,08
01.05.2021 00:00:00;  7,85
24.06.2021 10:45:00;  6,16
13.07.2021 12:15:00;  4,47
13.08.2021 10:00:00;  4,67
13.09.2021 10:45:00;  3,90
14.10.2021 13:00:00;  4,09
19.11.2021 11:30:00;  3,47
21.12.2021 10:30:00;  3,29
