Messstelle:                ;Hoheneich
26.11.2013 21:20:00; 0,157
31.12.2013 00:40:00; 0,179
02.01.2014 08:40:00; 0,200
05.02.2014 11:00:00; 0,297
11.03.2014 17:10:00; 0,201
24.04.2014 03:15:00; 0,159
09.05.2014 02:55:00; 0,142
24.06.2014 22:55:00; 0,202
20.07.2014 17:55:00; 0,124
10.08.2014 21:43:20; 0,192
01.09.2014 00:00:00; 0,882
13.10.2014 16:45:00;  1,26
17.11.2014 22:10:00;  1,14
01.12.2014 11:20:00; 0,890
01.01.2015 10:10:00;  1,20
16.02.2015 16:00:00;  1,16
30.03.2015 02:40:00;  1,14
24.04.2015 08:30:00; 0,312
18.05.2015 16:55:00; 0,104
07.06.2015 21:25:00; 0,087
31.07.2015 23:59:55; 0,049
16.08.2015 20:35:00; 0,040
02.09.2015 19:27:35; 0,095
13.10.2015 05:19:15; 0,211
14.11.2015 08:36:05; 0,506
29.12.2015 04:05:00; 0,848
21.01.2016 22:45:00; 0,698
29.02.2016 04:50:00;  1,53
29.03.2016 10:40:00;  1,09
29.04.2016 16:05:00; 0,185
01.05.2016 10:55:00; 0,178
26.06.2016 23:45:00; 0,083
10.07.2016 02:15:00; 0,175
31.08.2016 23:59:55; 0,105
04.09.2016 22:35:00; 0,059
28.10.2016 16:35:00; 0,456
30.11.2016 07:15:00; 0,441
10.12.2016 05:30:00; 0,454
31.01.2017 23:50:00; 0,636
04.02.2017 03:55:00; 0,602
31.03.2017 23:25:00;  1,26
05.04.2017 10:20:00; 0,559
30.05.2017 18:20:00; 0,343
23.06.2017 11:29:50; 0,055
08.07.2017 17:00:00; 0,044
26.08.2017 17:25:00; 0,088
09.09.2017 14:25:00; 0,125
20.10.2017 00:35:00; 0,086
06.11.2017 08:40:00; 0,432
18.12.2017 23:40:00; 0,290
17.01.2018 11:40:00; 0,746
24.02.2018 20:10:00; 0,328
04.03.2018 08:15:00; 0,657
28.04.2018 15:05:00; 0,129
15.05.2018 00:20:00; 0,115
08.06.2018 19:10:00; 0,110
25.07.2018 21:10:00; 0,075
17.08.2018 18:45:00; 0,049
12.09.2018 00:25:00; 0,071
17.10.2018 21:45:00; 0,103
16.11.2018 09:20:00; 0,097
02.12.2018 17:35:00; 0,170
07.01.2019 11:35:00;  1,79
01.02.2019 22:40:00;  1,77
27.03.2019 15:50:00;  1,45
27.04.2019 02:55:00; 0,190
11.05.2019 06:10:00; 0,585
30.06.2019 16:40:00; 0,298
23.07.2019 16:15:00; 0,061
31.08.2019 18:05:00; 0,080
14.09.2019 01:05:00; 0,083
31.10.2019 16:40:00; 0,110
02.11.2019 13:25:00; 0,095
20.12.2019 06:50:00; 0,095
26.01.2020 10:10:00; 0,146
24.02.2020 00:10:00; 0,932
31.03.2020 10:30:00; 0,580
29.04.2020 09:40:00; 0,106
10.05.2020 06:05:00; 0,096
02.06.2020 19:50:00; 0,439
28.07.2020 20:25:00; 0,503
02.08.2020 10:25:00; 0,238
18.09.2020 18:25:00;  1,72
09.10.2020 19:25:00;  1,93
17.11.2020 08:55:00;  1,23
21.12.2020 13:10:00;  1,09
16.01.2021 17:10:00; 0,704
14.02.2021 21:50:00;  3,11
31.03.2021 23:35:00;  1,39
29.04.2021 21:30:00; 0,664
10.05.2021 11:40:00; 0,437
18.06.2021 13:32:25; 0,279
07.07.2021 15:37:15; 0,429
21.08.2021 13:13:30; 0,915
07.09.2021 16:53:10; 0,858
30.10.2021 08:35:00; 0,200
24.11.2021 10:40:00; 0,210
01.12.2021 00:00:00; 0,482
