Messstelle:                ;Altaussee (Traun)
19.09.2013 17:30:00;  33,5
19.10.2013 00:15:00;  6,58
08.11.2013 00:15:00;  7,16
12.12.2013 16:30:00;  1,20
12.01.2014 07:00:00; 0,556
09.02.2014 11:15:00; 0,677
17.03.2014 22:30:00;  7,78
30.04.2014 04:45:00;  10,6
29.05.2014 21:00:00;  34,8
01.06.2014 01:30:00;  16,7
31.07.2014 23:09:10;  11,2
01.08.2014 06:54:10;  14,6
02.09.2014 03:39:10;  14,7
24.10.2014 11:09:10;  7,43
06.11.2014 09:24:10;  8,34
20.12.2014 06:09:10;  3,90
11.01.2015 15:39:10;  19,9
01.02.2015 00:09:10; 0,752
31.03.2015 17:54:10;  4,83
28.04.2015 05:24:10;  12,9
15.05.2015 01:24:10;  23,2
24.06.2015 02:24:10;  8,11
14.07.2015 21:39:10;  3,48
03.08.2015 01:09:10;  2,27
06.09.2015 23:09:10;  6,30
08.10.2015 16:54:10;  6,63
22.11.2015 03:09:10;  1,27
02.12.2015 17:39:10;  6,81
31.01.2016 21:45:00;  1,90
02.02.2016 09:00:00;  20,0
31.03.2016 23:45:00;  2,62
06.04.2016 01:15:00;  9,30
14.05.2016 17:15:00;  30,8
21.06.2016 00:45:00;  11,2
14.07.2016 21:45:00;  19,3
13.08.2016 12:00:00;  9,35
06.09.2016 22:30:00;  23,9
05.10.2016 07:30:00;  6,94
18.11.2016 08:45:00;  4,68
27.12.2016 10:30:00;  4,00
01.01.2017 08:15:00;  1,44
23.02.2017 02:00:00;  5,91
20.03.2017 21:30:00;  12,7
11.04.2017 18:30:00;  8,21
09.05.2017 03:00:00;  20,5
01.06.2017 00:30:00;  11,9
27.07.2017 18:54:00;  23,7
07.08.2017 05:09:00;  8,66
03.09.2017 22:09:00;  16,0
30.10.2017 03:09:00;  16,4
03.11.2017 22:24:00;  7,92
31.12.2017 21:24:00;  2,90
06.01.2018 03:54:00;  4,21
01.02.2018 00:24:00;  1,20
14.03.2018 04:54:00;  1,27
25.04.2018 00:54:00;  23,4
01.05.2018 03:54:00;  18,8
29.06.2018 23:09:00;  22,2
01.07.2018 00:00:00;  13,8
27.08.2018 01:39:00;  2,78
25.09.2018 00:09:00;  5,45
25.10.2018 16:09:00;  28,1
01.11.2018 00:24:00;  2,36
24.12.2018 22:09:00;  10,1
01.01.2019 00:00:00;  2,29
23.02.2019 09:54:00;  1,36
17.03.2019 05:54:00;  5,79
27.04.2019 03:54:00;  17,5
23.05.2019 09:09:00;  29,9
13.06.2019 08:09:00;  30,7
14.07.2019 18:09:00;  18,6
04.08.2019 07:24:00;  3,92
10.09.2019 06:09:00;  6,18
10.10.2019 08:24:00;  8,91
18.11.2019 15:39:00;  4,38
25.12.2019 22:54:00;  2,57
31.01.2020 23:59:55;  2,47
03.02.2020 21:24:00;  15,5
13.03.2020 15:39:00;  8,40
21.04.2020 00:39:00;  15,2
26.05.2020 08:09:00;  18,6
16.06.2020 07:54:00;  13,1
19.07.2020 11:24:00;  10,7
18.08.2020 23:39:00;  12,1
02.09.2020 00:09:00;  10,9
31.10.2020 08:39:00;  13,1
01.11.2020 00:54:00;  10,9
24.12.2020 00:24:00;  2,99
30.01.2021 12:54:00;  2,18
05.02.2021 04:24:00;  1,71
31.03.2021 23:54:00;  2,80
30.04.2021 23:59:55;  9,30
12.05.2021 15:09:00;  26,6
06.06.2021 12:39:00;  18,4
19.07.2021 00:39:00;  18,5
31.08.2021 23:39:00;  9,34
01.09.2021 12:24:00;  12,4
08.10.2021 23:24:00;  3,07
05.11.2021 04:39:00;  1,52
31.12.2021 14:39:00;  21,3
