Messstelle:                ;Sandriesen
09.11.2013 17:15:00;  7,22
26.12.2013 21:30:00;  3,45
05.01.2014 18:30:05;  4,87
19.02.2014 22:00:00;  5,73
23.03.2014 13:15:00;  9,53
09.04.2014 01:30:00;  12,0
11.05.2014 18:45:00;  17,2
30.06.2014 03:00:05;  26,5
01.07.2014 00:00:00;  8,38
13.08.2014 18:45:00;  55,6
01.09.2014 03:00:00;  17,2
14.10.2014 02:15:00;  3,68
06.11.2014 16:00:00;  50,0
01.12.2014 15:30:00;  6,66
10.01.2015 03:45:00;  6,03
01.02.2015 17:31:35;  2,25
27.03.2015 08:16:35;  2,73
26.04.2015 23:15:00;  5,74
20.05.2015 18:45:00;  31,5
14.06.2015 18:15:00;  18,5
29.07.2015 23:45:00;  43,4
02.08.2015 14:15:00;  14,5
05.09.2015 19:15:00;  10,0
15.10.2015 06:15:00;  16,4
02.11.2015 17:02:45;  3,64
01.12.2015 00:00:00;  1,99
11.01.2016 21:52:00;  1,22
01.02.2016 20:15:00;  2,35
31.03.2016 22:00:00;  2,16
18.04.2016 05:15:00;  9,63
29.05.2016 23:45:00;  10,0
17.06.2016 03:15:00;   112
13.07.2016 23:30:00;  24,8
10.08.2016 11:15:00;  23,5
06.09.2016 14:15:00;  8,29
15.10.2016 08:15:00;  5,61
06.11.2016 19:15:00;  5,61
01.12.2016 00:00:00;  2,41
01.01.2017 12:30:00;  2,41
28.02.2017 23:45:00;  1,69
19.03.2017 20:30:00;  2,22
28.04.2017 02:00:00;  7,93
25.05.2017 09:30:00;  5,61
07.06.2017 00:30:00;  9,05
24.07.2017 21:15:00;  56,9
20.08.2017 02:45:00;  30,9
16.09.2017 16:15:00;  14,3
01.10.2017 00:00:00;  3,93
06.11.2017 11:15:00;  2,81
12.12.2017 07:00:00;  6,49
09.01.2018 16:30:00;  3,25
28.02.2018 12:45:00;  2,41
31.03.2018 10:30:00;  3,24
22.04.2018 20:30:00;  15,4
04.05.2018 21:45:00;  23,7
01.06.2018 21:45:00;  17,0
04.07.2018 00:30:00;  4,18
26.08.2018 04:00:00;  12,9
01.09.2018 12:30:00;  27,2
29.10.2018 23:45:00;   222
01.11.2018 21:15:00;  23,9
01.12.2018 01:45:00;  2,66
26.01.2019 11:45:00;  2,05
02.02.2019 10:45:00;  3,20
17.03.2019 01:00:00;  3,01
26.04.2019 23:45:00;  13,0
26.05.2019 04:15:00;  10,7
12.06.2019 01:00:00;  21,8
04.07.2019 00:45:00;  4,83
02.08.2019 20:00:00;  2,90
08.09.2019 19:45:00;  20,8
02.10.2019 14:45:00;  3,47
17.11.2019 22:45:00;  49,2
21.12.2019 16:15:00;  6,26
01.01.2020 00:00:00;  2,86
24.02.2020 16:45:00;  3,05
22.03.2020 02:15:00;  3,00
20.04.2020 09:15:00;  10,4
15.05.2020 08:00:00;  16,3
09.06.2020 07:30:00;  14,4
03.07.2020 06:00:00;  17,2
30.08.2020 14:00:00;  88,3
01.09.2020 01:15:00;  14,3
03.10.2020 19:00:00;  79,7
04.11.2020 17:45:00;  8,00
06.12.2020 23:15:00;  9,63
02.01.2021 19:00:00;  2,86
08.02.2021 00:45:00;  5,11
31.03.2021 23:00:00;  4,42
02.04.2021 23:30:00;  6,67
11.05.2021 21:45:00;  15,2
13.06.2021 09:30:00;  16,1
09.07.2021 05:15:00;  11,2
05.08.2021 07:45:00;  18,9
01.09.2021 20:15:00;  3,24
06.10.2021 11:30:00;  6,53
04.11.2021 06:30:00;  6,53
08.12.2021 12:30:00;  1,93
01.01.2022 00:00:00;  1,56
