Messstelle:                ;Hoheneich
07.11.2013 15:40:00;  1,09
10.12.2013 12:05:00;  1,91
22.01.2014 09:30:00;  2,13
12.02.2014 07:00:05;  1,51
11.03.2014 11:10:00;  5,13
24.04.2014 17:55:00;  2,12
28.05.2014 11:50:00;  19,1
01.06.2014 00:05:00;  6,02
31.07.2014 07:45:00;  3,50
01.08.2014 05:10:00;  2,59
14.09.2014 17:55:00;  14,4
23.10.2014 14:25:00;  12,3
06.11.2014 14:55:00;  3,07
07.12.2014 16:35:00;  3,15
11.01.2015 08:20:00;  12,7
16.02.2015 14:25:00;  2,91
03.03.2015 10:25:00;  3,45
01.04.2015 14:20:00;  2,24
24.05.2015 07:15:00;  4,41
08.06.2015 21:35:00;  2,02
08.07.2015 19:55:00; 0,909
18.08.2015 15:10:00;  1,63
25.09.2015 15:13:05;  1,34
20.10.2015 11:37:00;  1,60
21.11.2015 08:36:05;  6,64
02.12.2015 18:45:00;  9,48
29.01.2016 21:25:00;  4,20
01.02.2016 13:20:00;  4,88
03.03.2016 16:05:00;  3,95
09.04.2016 09:25:00;  1,39
31.05.2016 17:10:00;  2,21
03.06.2016 17:25:00;  3,61
14.07.2016 21:35:00;  6,48
01.08.2016 00:00:00;  2,00
24.09.2016 12:25:00;  1,02
12.10.2016 18:35:00;  1,60
17.11.2016 08:30:00;  1,39
29.12.2016 03:55:00;  2,29
01.01.2017 00:00:00;  1,48
22.02.2017 15:00:00;  5,57
20.03.2017 05:50:00;  8,33
29.04.2017 03:10:00;  8,04
01.05.2017 00:15:00;  4,31
29.06.2017 10:55:00;  1,08
25.07.2017 09:05:00;  3,53
27.08.2017 17:20:00;  4,21
20.09.2017 14:20:00;  3,11
18.10.2017 09:55:00;  2,86
13.11.2017 12:55:00;  1,28
19.12.2017 09:15:00;  1,62
05.01.2018 10:00:00;  2,40
02.02.2018 07:15:00;  1,60
08.03.2018 20:50:00;  2,93
02.04.2018 10:10:00;  1,44
25.05.2018 14:20:00;  1,10
14.06.2018 14:40:00;  9,06
01.07.2018 00:15:00;  1,49
23.08.2018 13:25:00; 0,271
03.09.2018 23:20:00;  2,07
28.10.2018 12:55:00;  1,96
26.11.2018 20:20:00;  1,15
24.12.2018 09:30:00;  10,0
07.01.2019 07:35:00;  8,46
23.02.2019 08:55:00;  14,1
03.03.2019 08:55:00;  9,80
01.04.2019 00:10:00;  1,92
29.05.2019 11:05:00;  4,99
06.06.2019 15:35:00;  4,95
01.07.2019 20:50:00;  2,90
13.08.2019 03:50:00;  1,22
03.09.2019 09:05:00;  1,68
09.10.2019 22:20:00;  1,92
05.11.2019 18:00:00; 0,639
30.12.2019 00:20:00;  1,92
31.01.2020 23:59:55; 0,944
04.02.2020 23:53:05;  4,66
04.03.2020 18:35:00;  1,76
05.04.2020 18:40:00; 0,943
24.05.2020 11:30:00;  1,53
21.06.2020 20:30:00;  13,0
18.07.2020 21:35:00;  8,94
04.08.2020 14:20:00;  31,6
07.09.2020 12:00:00;  12,5
14.10.2020 19:40:00;  15,8
05.11.2020 10:00:00;  9,29
26.12.2020 10:15:00;  2,10
30.01.2021 22:20:00;  12,4
05.02.2021 01:00:00;  11,2
05.03.2021 13:35:00;  4,65
14.04.2021 09:10:00;  2,29
14.05.2021 12:50:00;  9,43
25.06.2021 06:53:45;  9,85
18.07.2021 05:28:55;  23,7
05.08.2021 15:53:10;  10,2
17.09.2021 02:05:00;  2,97
12.10.2021 14:55:00;  1,79
02.11.2021 18:10:00;  2,21
30.12.2021 15:10:00;  4,97
