Messstelle:                ;Matzleinsdorf
24.11.2013 17:25:05;  66,3
10.12.2013 01:50:00;  4,67
22.01.2014 11:10:00;  2,78
02.02.2014 00:20:00;  2,53
25.03.2014 07:25:00;  1,44
17.04.2014 00:05:00;  2,57
28.05.2014 14:30:00;   154
01.06.2014 00:05:00;  9,73
31.07.2014 17:00:00;  10,0
01.08.2014 01:30:00;  8,45
13.09.2014 12:50:00;  81,2
23.10.2014 19:55:00;   132
01.11.2014 15:00:00;  2,66
08.12.2014 04:30:00;  6,70
10.01.2015 09:05:00;  55,7
25.02.2015 01:20:00;  16,6
02.03.2015 18:20:00;  21,9
02.04.2015 19:55:00;  14,2
23.05.2015 19:30:00;  55,1
19.06.2015 22:25:00;  2,56
09.07.2015 08:40:00;  1,65
17.08.2015 13:30:00;  4,46
04.09.2015 08:40:00;  1,75
20.10.2015 12:00:00;  12,7
21.11.2015 12:45:00;  4,72
01.12.2015 00:00:00;  2,67
25.01.2016 23:10:00;  12,5
01.02.2016 14:35:00;  28,7
16.03.2016 23:00:00;  8,26
14.04.2016 04:50:00;  10,8
04.05.2016 15:30:00;  96,1
20.06.2016 15:10:00;  36,0
26.07.2016 07:15:00;  79,3
10.08.2016 16:00:00;  50,8
06.09.2016 18:00:00;  15,2
04.10.2016 19:15:00;  55,2
06.11.2016 22:05:00;  28,4
28.12.2016 23:15:00;  11,0
01.01.2017 00:00:00;  2,62
21.02.2017 18:40:00;  47,2
19.03.2017 10:10:00;  42,0
28.04.2017 10:35:00;  8,28
09.05.2017 14:20:00;  8,90
10.06.2017 22:55:00;  1,47
25.07.2017 00:15:00;  3,06
07.08.2017 03:20:00;  2,78
20.09.2017 06:25:00;  19,4
29.10.2017 21:00:00;  5,14
22.11.2017 02:20:00;  10,1
22.12.2017 03:00:00;  37,6
19.01.2018 05:35:00;  55,9
16.02.2018 23:25:00;  3,79
08.03.2018 19:00:00;  38,7
01.04.2018 05:45:00;  12,2
10.05.2018 20:10:00;  7,32
28.06.2018 13:45:00;   117
06.07.2018 05:15:00;  5,91
26.08.2018 17:45:00;  1,85
01.09.2018 23:40:00;  3,39
25.10.2018 11:20:00;  1,50
26.11.2018 21:10:00;  3,91
24.12.2018 12:30:00;  58,0
14.01.2019 08:15:00;  45,9
03.02.2019 22:15:00;  5,86
16.03.2019 03:20:00;  7,17
30.04.2019 21:45:00;  5,41
13.05.2019 03:10:00;  30,5
23.06.2019 20:25:00;  12,9
29.07.2019 16:05:00;  3,81
30.08.2019 09:25:00;  1,46
02.09.2019 01:30:00;  2,87
29.10.2019 11:50:00; 0,843
14.11.2019 04:30:00;  2,29
26.12.2019 06:35:00;  4,15
31.01.2020 23:55:00;  2,41
03.02.2020 16:20:00;  29,6
02.03.2020 11:50:00;  7,27
14.04.2020 11:20:00;  1,27
31.05.2020 23:59:55;  3,90
21.06.2020 20:55:00;   225
18.07.2020 17:20:00;  85,4
22.08.2020 23:30:00;   177
07.09.2020 00:30:00;  97,4
16.10.2020 16:30:00;  16,1
01.11.2020 00:10:00;  3,81
25.12.2020 16:50:00;  8,19
29.01.2021 04:30:00;  68,3
03.02.2021 11:00:00;  6,08
24.03.2021 23:10:00;  3,82
20.04.2021 13:35:00;  29,3
23.05.2021 19:55:00;  3,83
13.06.2021 15:00:00;  1,18
18.07.2021 12:55:00;   172
16.08.2021 23:50:00;  85,3
17.09.2021 10:25:00;  8,79
07.10.2021 15:00:00;  10,2
02.11.2021 10:45:00;  6,12
13.12.2021 20:35:00;  47,7
