Messstelle:                ;Oberwart (Landeshauptstraße L382)
17.09.2013 04:10:00;  26,8
11.10.2013 15:40:00;  3,40
24.11.2013 09:40:00;  13,7
27.12.2013 04:10:00;  2,47
05.01.2014 20:55:00;  2,36
17.02.2014 12:40:00;  9,81
24.03.2014 00:10:00;  3,55
06.04.2014 14:55:00;  4,12
16.05.2014 13:00:00;  39,8
30.06.2014 07:30:00;  6,95
14.07.2014 13:45:00;  22,1
04.08.2014 14:14:55;  24,4
13.09.2014 08:30:00;  15,2
22.10.2014 02:30:00;  13,2
08.11.2014 08:45:00;  12,0
08.12.2014 02:30:00;  6,65
11.01.2015 15:45:00;  6,29
24.02.2015 22:15:00;  2,62
26.03.2015 03:00:00;  2,02
28.04.2015 17:15:00;  4,21
13.05.2015 21:15:00;  27,1
23.06.2015 16:00:00;  3,28
23.07.2015 14:15:00;  15,2
17.08.2015 00:30:00;  6,07
15.09.2015 04:30:00;  1,58
15.10.2015 21:00:00;  7,16
21.11.2015 07:15:00; 0,754
02.12.2015 09:30:00; 0,622
11.01.2016 21:00:00;  2,57
10.02.2016 08:15:00;  2,58
29.03.2016 16:45:00;  4,38
27.04.2016 13:30:00;  2,08
27.05.2016 22:15:00;  38,9
14.06.2016 14:30:00;  16,9
22.07.2016 03:30:00;  34,2
15.08.2016 14:45:00;  25,5
06.09.2016 14:45:00;  5,70
20.10.2016 08:45:00;  5,70
06.11.2016 23:45:00;  16,1
02.12.2016 18:30:00;  1,80
03.01.2017 02:30:00;  1,07
06.02.2017 10:30:00;  5,55
01.03.2017 04:15:00;  2,27
28.04.2017 12:30:00;  3,70
14.05.2017 17:30:00;  18,7
04.06.2017 19:30:00;  8,97
10.07.2017 05:00:00;  35,5
04.08.2017 21:45:00;  16,1
19.09.2017 15:00:00;  7,30
03.10.2017 18:00:00;  1,67
08.11.2017 14:45:00;  1,35
13.12.2017 01:00:00;  2,36
10.01.2018 13:15:00;  1,35
02.02.2018 03:00:00;  1,86
30.03.2018 04:00:00;  4,51
01.04.2018 04:30:00;  7,02
29.05.2018 19:45:00;  22,5
01.06.2018 18:00:00;  46,9
05.07.2018 18:45:00;  5,79
11.08.2018 04:00:00;  4,35
14.09.2018 15:15:00;  14,8
27.10.2018 23:30:00;  2,65
26.11.2018 19:00:00;  4,34
08.12.2018 06:15:00;  1,35
04.01.2019 09:45:00; 0,926
03.02.2019 22:00:00;  4,44
08.03.2019 16:45:00;  1,02
30.04.2019 23:59:55;  1,53
12.05.2019 01:24:00;  15,2
21.06.2019 23:45:00;  7,75
07.07.2019 00:00:00;  10,6
01.08.2019 00:15:00;  3,25
02.09.2019 16:00:00;  8,99
02.10.2019 17:00:00;  2,98
13.11.2019 18:59:55;  8,74
21.12.2019 21:45:00;  7,59
01.01.2020 18:30:00;  1,15
26.02.2020 15:45:00;  1,46
06.03.2020 14:00:00;  2,01
29.04.2020 14:00:00;  1,72
01.05.2020 22:15:00;  1,14
14.06.2020 15:45:00;  12,0
21.07.2020 18:15:00;  24,5
18.08.2020 11:15:00;  9,27
28.09.2020 10:45:00;  11,3
03.10.2020 19:00:00;  17,5
03.11.2020 18:00:00;  1,67
10.12.2020 06:00:00;  3,43
23.01.2021 19:45:00;  3,55
08.02.2021 06:00:00;  3,95
12.03.2021 21:45:00;  3,72
12.04.2021 18:00:00;  4,33
14.05.2021 21:45:00;  5,31
06.06.2021 14:45:00;  5,82
17.07.2021 17:30:00;  16,3
22.08.2021 18:45:00;  17,8
17.09.2021 07:00:00;  4,73
07.10.2021 15:45:00;  1,05
02.11.2021 07:00:00;  2,92
02.12.2021 17:30:00;  1,23
