Messstelle:                ;Au St. Georgen
01.12.2013 00:00:00; 0,769
27.01.2014 21:30:00;  1,88
14.02.2014 13:00:00; 0,949
25.03.2014 18:30:00;  2,35
21.04.2014 18:00:00; 0,955
28.05.2014 15:15:00;  10,2
01.06.2014 00:00:00;  3,43
31.07.2014 12:45:00;  6,03
05.08.2014 17:15:00;  9,28
14.09.2014 10:00:00;  5,55
23.10.2014 17:15:00;  12,7
19.11.2014 11:15:00;  1,83
20.12.2014 09:30:00; 0,905
11.01.2015 16:45:00;  8,58
24.02.2015 18:30:00;  2,25
02.03.2015 16:30:00;  4,16
01.04.2015 11:15:00;  3,77
24.05.2015 10:45:00;  8,58
02.06.2015 01:45:00;  1,46
11.07.2015 20:45:00; 0,573
21.08.2015 09:30:00; 0,222
05.09.2015 09:15:00; 0,352
07.10.2015 20:00:00; 0,352
21.11.2015 03:15:00;  1,22
02.12.2015 17:45:00; 0,476
31.01.2016 22:15:00;  7,80
01.02.2016 10:15:00;  8,40
03.03.2016 05:00:00;  3,87
18.04.2016 09:15:00;  2,34
25.05.2016 01:15:00;  6,52
01.06.2016 21:15:00;  32,5
27.07.2016 23:15:00;  14,0
11.08.2016 00:00:00;  2,20
20.09.2016 01:30:00;  7,29
26.10.2016 08:15:00;  1,66
17.11.2016 03:45:00;  4,46
28.12.2016 14:45:00; 0,695
31.01.2017 23:59:55;  4,06
01.02.2017 11:30:00;  5,10
09.03.2017 23:30:00;  9,89
29.04.2017 00:45:00;  5,79
09.05.2017 00:00:00;  6,03
06.06.2017 02:00:00; 0,882
26.07.2017 18:15:00;  6,99
11.08.2017 21:00:00;  1,14
03.09.2017 08:30:00;  5,23
09.10.2017 14:15:00;  3,49
12.11.2017 22:30:00;  5,79
22.12.2017 13:30:00;  6,27
05.01.2018 00:30:00;  10,5
16.02.2018 18:00:00;  2,12
29.03.2018 13:30:00; 0,989
02.04.2018 05:30:00; 0,671
31.05.2018 21:00:00; 0,430
07.06.2018 17:00:00; 0,752
07.07.2018 06:15:00; 0,955
26.08.2018 12:15:00; 0,555
19.09.2018 04:30:00; 0,969
28.10.2018 12:30:00; 0,428
03.11.2018 17:00:00; 0,428
24.12.2018 13:45:00;  8,98
14.01.2019 14:15:00;  12,8
22.02.2019 22:30:00;  6,27
15.03.2019 23:30:00;  3,14
30.04.2019 04:00:00; 0,431
21.05.2019 17:30:00;  8,68
01.06.2019 00:00:00;  2,04
29.07.2019 05:45:00;  1,70
30.08.2019 11:00:00;  1,03
09.09.2019 21:45:00;  1,21
09.10.2019 23:45:00;  2,34
05.11.2019 15:45:00;  1,79
25.12.2019 21:15:00;  2,97
31.01.2020 10:15:00;  1,31
04.02.2020 09:00:00;  16,0
11.03.2020 03:30:00;  4,06
29.04.2020 12:15:00; 0,695
15.05.2020 22:30:00; 0,752
28.06.2020 21:00:00;  13,0
17.07.2020 07:15:00;  5,32
04.08.2020 06:15:00;  13,7
25.09.2020 17:30:00;  2,78
30.10.2020 16:30:00;  5,10
01.11.2020 00:00:00;  2,38
25.12.2020 23:15:00;  1,92
29.01.2021 09:15:00;  6,27
01.02.2021 00:00:00;  2,41
19.03.2021 21:30:00;  1,85
08.04.2021 19:30:00; 0,814
13.05.2021 12:30:00;  4,13
06.06.2021 02:45:00;  4,53
26.07.2021 22:00:00;  19,7
30.08.2021 11:15:00;  23,7
01.09.2021 00:00:00;  12,5
07.10.2021 15:30:00; 0,624
04.11.2021 13:30:00;  2,71
30.12.2021 08:00:00;  6,02
01.01.2022 00:00:00;  2,25
