Messstelle:                ;Siegersdorf
01.09.2018 10:40:00;  4,98
24.10.2018 20:10:00;  1,45
26.11.2018 18:55:00;  2,96
24.12.2018 11:45:00;  26,7
14.01.2019 07:20:00;  12,1
22.02.2019 13:45:00;  6,59
16.03.2019 11:10:00;  27,5
30.04.2019 20:45:00;  3,49
12.05.2019 01:35:00;  16,7
01.06.2019 00:05:00;  3,99
28.07.2019 22:55:00;  4,36
12.08.2019 21:20:00;  2,26
09.09.2019 05:05:00;  2,92
03.10.2019 05:00:00; 0,663
13.11.2019 21:10:00;  1,30
23.12.2019 12:50:00;  1,39
31.01.2020 23:20:00;  1,31
03.02.2020 17:40:00;  4,28
02.03.2020 06:25:00;  1,27
13.04.2020 23:16:10; 0,830
26.05.2020 21:20:00;  9,59
21.06.2020 12:50:00;  89,6
18.07.2020 15:25:00;  10,1
23.08.2020 00:40:00;  15,8
07.09.2020 00:45:00;  19,3
14.10.2020 01:15:00;  27,3
02.11.2020 00:55:00;  2,99
10.12.2020 23:30:00;  1,33
29.01.2021 09:50:00;  10,2
01.02.2021 00:00:00;  2,74
27.03.2021 06:10:00;  2,34
20.04.2021 14:20:00;  2,14
13.05.2021 14:40:00;  2,39
06.06.2021 12:05:00;  2,23
17.07.2021 10:15:00;  22,9
17.08.2021 00:15:00;  11,3
17.09.2021 08:45:00;  1,15
22.10.2021 13:15:00;  3,24
02.11.2021 05:55:00;  1,50
14.12.2021 05:40:00;  2,05
