Messstelle:                ;St. Andrä-See
03.07.1965 07:00:00;   149
01.08.1965 00:00:00;   155
01.09.1965 00:00:00;   166
31.10.1965 23:59:55;   143
09.11.1965 07:00:00;   138
31.12.1965 07:00:00;   131
30.01.1966 07:00:00;   120
11.02.1966 07:00:00;   116
30.03.1966 07:00:00;   130
06.04.1966 07:00:00;   127
31.05.1966 23:59:55;   115
30.06.1966 23:59:55;   109
11.07.1966 07:00:00;   105
01.08.1966 00:00:00;   105
30.09.1966 23:59:55;   117
15.10.1966 07:00:00;   110
01.11.1966 07:00:00;   113
31.12.1966 07:00:00;   133
23.01.1967 07:00:00;   118
26.02.1967 07:00:00;   110
01.03.1967 00:00:00;   110
01.04.1967 00:00:00;   126
27.05.1967 07:00:00;   127
30.06.1967 07:00:00;   114
16.07.1967 07:00:00;   107
17.08.1967 07:00:00;   106
01.09.1967 00:00:00;   109
26.10.1967 07:00:00;   109
01.11.1967 00:00:00;   110
24.12.1967 07:00:00;   106
24.01.1968 07:00:00;   100
02.02.1968 07:00:00;   100
17.03.1968 07:00:00;   106
28.04.1968 07:00:00;   105
10.05.1968 07:00:00;   100
01.06.1968 00:00:00;   110
10.07.1968 07:00:00;   113
01.08.1968 00:00:00;   119
29.09.1968 07:00:00;   121
31.10.1968 07:00:00;   113
01.11.1968 00:00:00;   113
16.12.1968 07:00:00;   114
09.01.1969 07:00:00;   110
20.02.1969 07:00:00;   116
11.03.1969 07:00:00;   114
12.04.1969 07:00:00;   136
31.05.1969 23:59:55;   122
01.06.1969 07:00:00;   122
07.07.1969 07:00:00;   120
14.08.1969 07:00:00;   126
30.09.1969 23:59:55;   133
31.10.1969 07:00:00;   116
12.11.1969 07:00:00;   111
31.12.1969 07:00:00;   119
31.01.1970 07:00:00;   116
27.02.1970 07:00:00;   114
02.03.1970 07:00:00;   113
01.04.1970 00:00:00;   128
30.05.1970 07:00:00;   138
28.06.1970 07:00:00;   116
14.07.1970 07:00:00;   117
06.08.1970 07:00:00;   120
30.09.1970 23:59:55;   127
20.10.1970 07:00:00;   116
13.11.1970 07:00:00;   114
25.12.1970 07:00:00;   108
20.01.1971 07:00:00;   107
28.02.1971 23:59:55;   108
17.03.1971 07:00:00;   104
24.04.1971 07:00:00;   116
28.05.1971 07:00:00;   106
22.06.1971 07:00:00;   104
30.07.1971 07:00:00;    91
08.08.1971 07:00:00;    89
01.09.1971 00:00:00;    98
31.10.1971 23:59:55;   102
07.11.1971 07:00:00;   100
27.12.1971 07:00:00;    99
23.01.1972 07:00:00;    97
07.02.1972 07:00:00;    97
01.03.1972 00:00:00;   109
03.04.1972 07:00:00;   119
12.05.1972 07:00:00;   137
16.06.1972 07:00:00;   144
11.07.1972 07:00:00;   142
31.08.1972 23:59:55;   126
30.09.1972 07:00:00;   118
25.10.1972 07:00:00;   109
09.11.1972 07:00:00;   106
31.12.1972 23:59:55;   107
15.01.1973 07:00:00;    99
01.02.1973 00:00:00;   100
01.03.1973 00:00:00;   101
01.04.1973 00:00:00;   110
31.05.1973 07:00:00;   107
06.06.1973 07:00:00;   103
17.07.1973 07:00:00;   122
28.08.1973 07:00:00;   114
18.09.1973 07:00:00;   109
31.10.1973 23:59:55;   149
30.11.1973 23:59:55;   122
20.12.1973 07:00:00;   115
24.01.1974 07:00:00;   110
01.02.1974 00:00:00;   110
01.03.1974 07:00:00;   111
24.04.1974 07:00:00;   114
22.05.1974 07:00:00;   109
04.06.1974 07:00:00;   109
24.07.1974 07:00:00;   123
17.08.1974 07:00:00;   116
19.09.1974 07:00:00;   117
31.10.1974 23:59:55;   121
30.11.1974 07:00:00;   110
31.12.1974 23:59:55;   101
14.01.1975 07:00:00;    98
25.02.1975 07:00:00;    98
04.03.1975 07:00:00;    96
01.04.1975 00:00:00;   130
29.05.1975 07:00:00;   142
01.06.1975 00:00:00;   144
01.07.1975 00:00:00;   158
31.08.1975 23:59:55;   132
30.09.1975 07:00:00;   114
09.10.1975 07:00:00;   110
09.11.1975 07:00:00;   108
31.12.1975 23:59:55;   108
21.01.1976 07:00:00;   100
01.02.1976 00:00:00;   100
01.03.1976 00:00:00;   110
20.04.1976 07:00:00;   101
08.05.1976 07:00:00;   109
30.06.1976 23:59:55;   106
21.07.1976 07:00:00;   103
31.08.1976 07:00:00;   109
01.09.1976 00:00:00;   110
28.10.1976 07:00:00;   109
04.11.1976 07:00:00;   112
01.12.1976 00:00:00;   117
01.01.1977 00:00:00;   117
01.02.1977 00:00:00;   125
20.03.1977 07:00:00;   139
26.04.1977 07:00:00;   133
31.05.1977 07:00:00;   126
14.06.1977 07:00:00;   117
04.07.1977 07:00:00;   119
09.08.1977 07:00:00;   121
30.09.1977 23:59:55;   117
25.10.1977 07:00:00;   108
11.11.1977 07:00:00;   105
26.12.1977 07:00:00;   100
05.01.1978 07:00:00;    98
25.02.1978 07:00:00;   107
01.03.1978 00:00:00;   110
10.04.1978 07:00:00;   120
21.05.1978 07:00:00;   126
08.06.1978 07:00:00;   128
04.07.1978 07:00:00;   128
29.08.1978 07:00:00;   127
26.09.1978 07:00:00;   110
31.10.1978 23:59:55;   113
24.11.1978 07:00:00;   105
16.12.1978 07:00:00;   105
04.01.1979 10:00:00;   107
13.02.1979 10:00:00;   117
10.03.1979 10:00:00;   118
16.04.1979 08:00:00;   131
02.05.1979 08:00:00;   131
11.06.1979 08:00:00;   126
31.07.1979 08:00:00;   141
31.08.1979 23:59:55;   121
21.09.1979 10:00:00;   110
29.10.1979 10:00:00;   109
08.11.1979 10:00:00;   108
11.12.1979 08:00:00;   113
11.01.1980 08:00:00;   109
29.02.1980 23:59:55;   112
06.03.1980 10:00:00;   110
26.04.1980 10:00:00;   114
31.05.1980 23:59:55;   120
23.06.1980 08:00:00;   111
06.07.1980 10:00:00;   118
29.08.1980 10:00:00;   114
09.09.1980 08:00:00;   113
06.10.1980 10:00:00;   111
24.11.1980 10:00:00;   140
28.12.1980 10:00:00;   130
31.01.1981 23:59:55;   113
12.02.1981 10:00:00;   110
02.03.1981 10:00:00;   109
23.04.1981 08:00:00;   112
01.05.1981 02:00:00;   114
16.06.1981 10:00:00;   113
18.07.1981 08:00:00;   111
31.08.1981 23:59:55;   112
23.09.1981 08:00:00;   108
19.10.1981 10:00:00;   108
23.11.1981 10:00:00;   109
06.12.1981 10:00:00;   106
31.01.1982 23:59:55;   106
19.02.1982 10:00:00;   101
01.03.1982 00:00:00;   102
27.04.1982 10:00:00;   111
06.05.1982 10:00:00;   109
10.06.1982 10:00:00;   112
15.07.1982 10:00:00;   110
18.08.1982 08:00:00;   105
21.09.1982 10:00:00;   108
01.10.1982 02:00:00;   107
09.11.1982 08:00:00;   116
07.12.1982 08:00:00;   122
31.01.1983 23:59:55;   118
28.02.1983 23:59:55;   111
03.03.1983 10:00:00;   110
22.04.1983 10:00:00;   110
08.05.1983 08:00:00;   109
03.06.1983 10:00:00;   109
30.07.1983 10:00:00;    96
29.08.1983 10:00:00;    94
01.09.1983 00:00:00;    94
11.10.1983 08:00:00;    98
25.11.1983 10:00:00;    93
11.12.1983 10:00:00;    93
23.01.1984 08:00:00;    98
16.02.1984 10:00:00;    95
17.03.1984 10:00:00;    99
01.04.1984 00:00:00;   116
06.05.1984 08:00:00;   122
27.06.1984 10:00:00;   110
23.07.1984 08:00:00;   101
04.08.1984 10:00:00;   100
01.09.1984 02:00:00;    99
31.10.1984 23:59:55;   110
19.11.1984 08:00:00;   101
11.12.1984 10:00:00;    99
21.01.1985 10:00:00;    96
28.02.1985 10:00:00;    99
01.03.1985 00:00:00;    99
01.04.1985 00:00:00;   113
02.05.1985 08:00:00;   121
07.06.1985 08:00:00;   123
31.07.1985 23:59:55;   120
31.08.1985 23:59:55;   110
30.09.1985 23:59:55;    99
26.10.1985 10:00:00;    93
01.11.1985 00:00:00;    96
02.12.1985 10:00:00;   100
23.01.1986 10:00:00;   100
01.02.1986 00:00:00;   100
03.03.1986 08:00:00;   101
01.04.1986 00:00:00;   120
28.05.1986 08:00:00;   121
03.06.1986 10:00:00;   126
31.07.1986 10:00:00;   109
17.08.1986 10:00:00;   100
30.09.1986 23:59:55;   111
19.10.1986 10:00:00;   101
01.11.1986 00:00:00;   115
07.12.1986 10:00:00;   129
01.01.1987 00:00:00;   131
11.02.1987 10:00:00;   122
18.03.1987 10:00:00;   119
01.04.1987 00:00:00;   131
02.05.1987 10:00:00;   140
30.06.1987 08:00:00;   125
25.07.1987 08:00:00;   118
30.08.1987 10:00:00;   111
26.09.1987 08:00:00;   106
04.10.1987 08:00:00;   104
08.11.1987 10:00:00;   108
26.12.1987 08:00:00;   112
24.01.1988 08:00:00;   103
29.02.1988 08:00:00;   103
10.03.1988 08:00:00;   100
04.04.1988 08:00:00;   101
30.05.1988 08:00:00;   109
27.06.1988 08:00:00;   105
01.07.1988 02:00:00;   103
29.08.1988 08:00:00;   102
01.09.1988 00:00:00;   102
31.10.1988 23:59:55;    99
24.11.1988 10:00:00;    92
01.12.1988 00:00:00;    92
06.01.1989 08:00:00;    90
01.02.1989 00:00:00;    90
01.03.1989 00:00:00;    90
01.04.1989 00:00:00;    97
30.05.1989 10:00:00;    98
20.06.1989 10:00:00;    94
02.07.1989 08:00:00;   106
08.08.1989 08:00:00;   117
25.09.1989 08:00:00;   120
29.10.1989 10:00:00;   113
01.11.1989 02:00:00;   112
17.12.1989 08:00:00;   104
18.01.1990 10:00:00;   101
27.02.1990 10:00:00;   100
18.03.1990 10:00:00;    99
01.04.1990 00:00:00;   108
31.05.1990 23:59:55;   102
02.06.1990 10:00:00;   101
01.07.1990 00:00:00;   112
23.08.1990 10:00:00;   112
01.09.1990 00:00:00;   116
17.10.1990 08:00:00;   121
21.11.1990 08:00:00;   124
31.12.1990 08:00:00;   126
15.01.1991 08:00:00;   120
01.02.1991 02:00:00;   118
01.03.1991 00:00:00;   119
28.04.1991 10:00:00;   120
01.05.1991 00:00:00;   120
25.06.1991 10:00:00;   120
13.07.1991 08:00:00;   112
07.08.1991 08:00:00;   113
20.09.1991 08:00:00;   105
30.10.1991 10:00:00;   103
02.11.1991 08:00:00;   100
18.12.1991 08:00:00;   102
31.01.1992 23:59:55;   103
26.02.1992 10:00:00;    97
01.03.1992 00:00:00;    97
25.04.1992 08:00:00;   120
31.05.1992 23:59:55;   121
30.06.1992 23:59:55;   106
31.07.1992 23:59:55;   102
30.08.1992 10:00:00;    95
01.09.1992 00:00:00;    95
01.10.1992 00:00:00;    99
01.11.1992 00:00:00;   122
02.12.1992 10:00:00;   131
26.01.1993 10:00:00;   120
28.02.1993 23:59:55;   110
19.03.1993 10:00:00;   105
30.04.1993 23:59:55;   107
30.05.1993 10:00:00;   100
30.06.1993 23:59:55;    98
03.07.1993 10:00:00;    97
24.08.1993 08:00:00;   101
05.09.1993 10:00:00;   104
01.10.1993 00:00:00;   112
30.11.1993 08:00:00;   141
31.12.1993 10:00:00;   128
03.01.1994 08:00:00;   127
23.02.1994 10:00:00;   122
31.03.1994 10:00:00;   119
01.04.1994 00:00:00;   119
30.05.1994 10:00:00;   121
30.06.1994 08:00:00;   111
31.07.1994 23:59:55;   105
07.08.1994 10:00:00;   102
07.09.1994 08:00:00;   105
24.10.1994 08:00:00;   113
10.11.1994 08:00:00;   120
29.12.1994 08:00:00;   114
14.01.1995 08:00:00;   110
01.02.1995 02:00:00;   110
02.03.1995 08:00:00;   117
20.04.1995 08:00:00;   119
30.05.1995 10:00:00;   118
01.06.1995 00:00:00;   118
31.07.1995 23:59:55;   119
07.08.1995 08:00:00;   110
03.09.1995 08:00:00;   110
31.10.1995 23:59:55;   107
24.11.1995 10:00:00;   100
01.12.1995 00:00:00;   100
06.01.1996 10:00:00;   106
10.02.1996 10:00:00;   108
01.03.1996 00:00:00;   108
01.04.1996 00:00:00;   116
09.05.1996 10:00:00;   120
17.06.1996 10:00:00;   110
31.07.1996 23:59:55;   120
03.08.1996 08:00:00;   118
22.09.1996 08:00:00;   112
02.10.1996 08:00:00;   114
13.11.1996 08:00:00;   123
31.12.1996 10:00:00;   124
29.01.1997 07:00:00;   117
28.02.1997 23:59:55;   111
01.03.1997 07:00:00;   111
19.04.1997 07:00:00;   105
31.05.1997 07:00:00;   100
02.06.1997 07:00:00;    99
10.07.1997 07:00:00;   100
01.08.1997 00:00:00;   103
29.09.1997 07:00:00;   100
31.10.1997 07:00:00;    92
04.11.1997 07:00:00;    91
01.12.1997 00:00:00;   101
29.01.1998 06:45:00;   101
28.02.1998 13:45:00;    95
20.03.1998 11:45:00;    94
03.04.1998 14:15:00;    93
31.05.1998 15:45:00;    89
10.06.1998 19:15:00;    87
01.07.1998 14:15:00;    91
17.08.1998 18:15:00;   102
01.09.1998 18:15:00;   103
01.10.1998 00:00:00;   123
29.11.1998 20:30:00;   130
30.12.1998 14:45:00;   113
29.01.1999 14:00:00;   106
08.02.1999 14:30:00;   103
03.03.1999 14:15:00;   103
07.04.1999 18:00:00;   108
04.05.1999 07:30:00;   108
03.06.1999 03:00:00;   108
08.07.1999 20:30:00;   105
11.08.1999 01:15:00;   122
30.09.1999 14:00:00;   123
22.10.1999 18:45:00;   119
30.11.1999 00:00:00;   115
26.12.1999 01:30:00;   110
21.01.2000 16:15:00;   101
05.02.2000 09:30:00;   103
17.03.2000 18:00:00;   102
18.04.2000 01:30:00;   107
18.05.2000 17:45:00;   104
21.06.2000 15:30:00;    91
08.07.2000 04:15:00;    93
22.08.2000 15:15:00;    95
16.09.2000 14:30:00;    93
01.10.2000 00:00:00;    97
01.11.2000 00:00:00;   115
31.12.2000 15:45:00;   142
25.01.2001 20:30:00;   134
26.02.2001 17:45:00;   121
12.03.2001 03:30:00;   119
04.04.2001 13:00:00;   123
31.05.2001 23:54:55;   113
30.06.2001 23:59:55;   104
11.07.2001 22:00:00;    98
31.08.2001 06:00:00;    91
01.09.2001 00:00:00;    94
31.10.2001 23:00:00;    98
08.11.2001 18:00:00;    96
29.12.2001 16:00:00;    92
24.01.2002 00:00:00;    90
06.02.2002 05:00:00;    90
31.03.2002 09:00:00;    93
09.04.2002 11:00:00;    92
17.05.2002 18:00:00;    98
23.06.2002 14:00:00;    96
14.07.2002 08:00:00;    98
03.08.2002 14:00:00;   101
21.09.2002 11:00:00;   101
09.10.2002 14:00:00;   110
15.11.2002 06:00:00;   112
31.12.2002 04:00:00;   122
30.01.2003 04:00:00;   112
23.02.2003 20:00:00;   104
24.03.2003 00:00:00;   102
01.04.2003 00:00:00;   102
13.05.2003 16:00:00;    99
23.06.2003 19:00:00;    96
01.07.2003 14:00:00;    97
28.08.2003 15:00:00;    92
23.09.2003 15:00:00;   102
02.10.2003 05:00:00;   102
01.11.2003 00:00:00;   113
27.12.2003 09:00:00;   118
31.01.2004 00:00:00;   111
17.02.2004 18:00:00;   107
04.03.2004 07:00:00;   109
01.04.2004 01:00:00;   128
21.05.2004 16:00:00;   115
11.06.2004 18:00:00;   112
31.07.2004 11:00:00;   128
19.08.2004 07:00:00;   115
12.09.2004 12:00:00;   112
09.10.2004 06:00:00;   111
30.11.2004 07:00:00;   118
23.12.2004 08:00:00;   110
31.01.2005 11:00:00;   104
20.02.2005 09:00:00;   100
11.03.2005 17:00:00;    98
07.04.2005 22:00:00;   104
30.05.2005 17:00:00;   108
29.06.2005 17:00:00;    96
01.07.2005 00:00:00;    98
10.08.2005 14:00:00;   103
16.09.2005 14:00:00;   118
02.10.2005 05:00:00;   126
24.11.2005 23:00:00;   114
24.12.2005 05:00:00;   112
27.01.2006 19:00:00;   106
13.02.2006 18:00:00;   103
03.03.2006 13:30:05;   107
01.04.2006 00:30:05;   129
17.05.2006 13:00:00;   137
29.06.2006 17:00:00;   126
28.07.2006 22:30:00;   111
01.08.2006 01:30:00;   112
29.09.2006 13:30:00;   109
23.10.2006 10:30:00;   107
16.11.2006 18:30:00;   105
01.12.2006 00:00:00;   114
18.01.2007 20:30:00;   118
01.02.2007 00:30:00;   126
01.03.2007 16:30:00;   135
30.04.2007 23:59:55;   114
27.05.2007 02:15:05;    90
29.06.2007 21:15:05;    86
24.07.2007 17:45:05;    84
17.08.2007 19:30:05;    88
18.09.2007 15:45:05;    90
23.10.2007 20:45:05;    96
22.11.2007 13:30:05;    93
30.12.2007 13:45:05;    89
11.01.2008 12:00:05;    88
29.02.2008 17:00:05;    88
01.03.2008 09:15:05;    86
06.04.2008 17:45:05;    92
16.05.2008 15:00:05;    91
01.06.2008 15:00:05;    98
06.07.2008 20:45:05;    99
08.08.2008 19:45:05;   102
30.09.2008 21:45:05;    97
28.10.2008 12:15:05;    95
24.11.2008 06:30:05;   102
01.12.2008 02:15:05;   105
27.01.2009 03:00:05;   115
28.02.2009 08:00:05;   109
01.03.2009 14:30:05;   109
01.04.2009 01:45:05;   124
29.05.2009 15:30:05;   115
19.06.2009 18:45:05;   109
31.07.2009 20:15:05;   114
03.08.2009 12:45:05;   111
04.09.2009 02:30:05;   118
31.10.2009 18:30:05;   115
30.11.2009 08:00:05;   111
22.12.2009 19:00:05;   111
30.01.2010 14:00:00;   112
18.02.2010 08:00:00;   109
01.03.2010 00:00:00;   111
26.04.2010 20:00:00;   109
31.05.2010 19:00:00;   108
11.06.2010 17:45:00;   103
29.07.2010 05:30:00;    92
02.08.2010 15:15:00;    95
15.09.2010 18:15:00;   108
24.10.2010 18:00:00;   117
07.11.2010 04:00:00;   121
22.12.2010 19:00:00;   136
31.01.2011 15:15:00;   125
27.02.2011 16:00:00;   115
12.03.2011 11:30:00;   111
24.04.2011 15:15:00;   104
12.05.2011 05:35:00;   102
02.06.2011 20:25:00;   104
14.07.2011 21:00:00;   104
31.08.2011 02:15:00;   105
17.09.2011 15:25:00;   100
19.10.2011 12:10:00;   106
27.11.2011 23:05:00;   103
15.12.2011 03:45:00;   100
28.01.2012 21:35:00;    96
12.02.2012 06:35:00;    94
30.03.2012 17:20:00;    93
02.04.2012 19:50:00;    93
11.05.2012 23:05:00;    98
08.06.2012 02:05:00;    97
09.07.2012 17:40:00;    92
30.08.2012 22:10:00;   115
12.09.2012 11:15:00;   116
14.10.2012 19:00:00;   116
01.11.2012 00:00:00;   134
25.12.2012 12:15:00;   131
30.01.2013 01:20:00;   119
20.02.2013 04:15:00;   116
06.03.2013 00:25:00;   116
01.04.2013 00:00:00;   142
28.05.2013 12:00:00;   134
30.06.2013 12:00:00;   120
29.07.2013 15:35:00;   100
13.08.2013 13:45:00;    96
08.09.2013 10:15:00;   101
27.10.2013 14:30:00;   101
01.11.2013 06:45:00;   107
24.12.2013 14:10:00;   118
03.01.2014 21:10:00;   124
07.02.2014 10:25:00;   133
16.03.2014 13:35:00;   153
26.04.2014 07:10:00;   137
31.05.2014 22:50:00;   120
22.06.2014 16:55:00;   108
29.07.2014 21:55:00;   109
09.08.2014 16:50:00;   109
01.09.2014 00:00:00;   123
30.10.2014 09:10:00;   116
03.11.2014 15:30:00;   114
30.12.2014 18:40:00;   129
28.01.2015 15:25:00;   120
21.02.2015 11:20:00;   112
25.03.2015 10:10:00;   108
27.04.2015 12:50:00;   100
14.05.2015 00:05:00;    96
14.06.2015 13:15:00;    96
08.07.2015 17:30:00;   102
31.08.2015 15:30:00;   105
01.09.2015 16:05:00;   104
03.10.2015 07:15:00;   118
29.11.2015 17:15:00;   115
29.12.2015 07:50:00;   104
06.01.2016 07:10:00;   102
02.02.2016 08:05:00;   103
01.03.2016 00:00:00;   116
23.04.2016 15:40:00;   111
30.05.2016 19:35:00;   113
01.06.2016 02:50:00;   112
12.07.2016 16:10:00;   113
05.08.2016 13:00:00;   115
30.09.2016 16:00:00;   121
15.10.2016 01:00:00;   114
04.11.2016 05:15:00;   117
27.12.2016 18:00:00;   111
29.01.2017 18:45:00;   102
01.02.2017 00:00:00;   102
31.03.2017 00:50:00;   104
24.04.2017 15:05:00;    97
30.05.2017 10:15:00;   100
01.06.2017 17:15:00;    99
22.07.2017 14:55:00;    96
02.08.2017 18:05:00;    98
01.09.2017 00:00:00;   108
29.10.2017 15:00:00;   120
04.11.2017 19:25:00;   119
10.12.2017 16:00:00;   119
31.01.2018 08:00:00;   127
28.02.2018 21:55:00;   119
09.03.2018 15:15:00;   116
01.04.2018 00:00:00;   132
14.05.2018 08:15:00;   135
30.06.2018 07:00:00;   122
31.07.2018 08:55:00;   112
24.08.2018 12:30:00;    99
30.09.2018 18:50:00;   105
24.10.2018 08:45:00;    98
22.11.2018 22:40:00;   108
30.12.2018 00:05:00;   103
14.01.2019 14:55:00;    98
01.02.2019 00:00:00;   101
30.03.2019 18:55:00;   109
03.04.2019 15:00:00;   107
25.05.2019 13:30:00;   113
30.06.2019 14:15:00;   108
30.07.2019 18:05:00;    99
19.08.2019 17:30:00;    95
01.09.2019 00:00:00;    96
27.10.2019 09:45:00;    97
03.11.2019 06:35:00;    96
21.12.2019 02:35:00;   135
28.01.2020 02:15:00;   117
29.02.2020 20:35:00;   108
01.03.2020 00:00:00;   109
25.04.2020 13:55:00;   105
31.05.2020 11:25:00;   103
03.06.2020 20:15:00;   101
01.07.2020 17:15:00;   110
02.08.2020 01:35:00;   114
23.09.2020 22:30:00;   120
03.10.2020 10:50:00;   130
29.11.2020 18:20:00;   125
01.12.2020 06:15:00;   124
20.01.2021 23:35:00;   135
06.02.2021 16:15:00;   137
30.03.2021 12:25:00;   130
29.04.2021 10:50:00;   123
01.05.2021 00:00:00;   123
30.06.2021 18:30:00;   112
26.07.2021 16:30:00;   103
15.08.2021 14:10:00;   106
29.09.2021 16:55:00;   103
21.10.2021 07:30:00;   101
01.11.2021 00:00:00;   101
27.12.2021 02:40:00;   105
