Messstelle:                ;Pertisau (Seepegel)
01.11.1967 00:00:00; Lücke
01.12.1967 00:00:00; Lücke
31.01.1968 23:59:55;  -560
29.02.1968 23:59:55;  -835
23.03.1968 07:30:00;  -999
01.04.1968 00:00:00;  -890
01.05.1968 00:00:00;  -484
01.06.1968 00:00:00;  -238
06.07.1968 07:30:00;   -60
31.08.1968 07:30:00;    18
01.09.1968 00:00:00;    21
31.10.1968 23:59:55;     3
30.11.1968 23:59:55;  -118
30.12.1968 07:30:00;  -308
31.01.1969 23:59:55;  -568
28.02.1969 23:59:55;  -800
31.03.1969 23:59:55;  -875
01.04.1969 07:30:00;  -876
01.05.1969 00:00:00;  -627
01.06.1969 00:00:00;  -298
01.07.1969 00:00:00;   -14
26.08.1969 07:30:00;     9
30.09.1969 23:59:55;     0
31.10.1969 23:59:55;  -156
29.11.1969 07:30:00;  -250
31.12.1969 07:30:00;  -435
31.01.1970 00:00:00;  -572
28.02.1970 00:00:00;  -693
25.03.1970 00:00:00;  -846
17.04.1970 00:00:00;  -913
01.05.1970 00:00:00;  -629
01.06.1970 00:00:00;  -104
04.07.1970 00:00:00;     7
08.08.1970 00:00:00;    18
26.09.1970 00:00:00;    20
24.10.1970 00:00:00;    25
28.11.1970 00:00:00;    13
31.12.1970 23:59:55;  -124
31.01.1971 00:00:00;  -421
28.02.1971 23:59:55;  -644
31.03.1971 23:59:55;  -813
04.04.1971 00:00:00;  -834
01.05.1971 00:00:00;  -535
01.06.1971 00:00:00;  -290
28.07.1971 00:00:00;   -11
05.08.1971 00:00:00;     4
28.09.1971 00:00:00;   -30
31.10.1971 00:00:00;   -18
30.11.1971 23:59:55;  -203
21.12.1971 00:00:00;  -308
31.01.1972 23:59:55;  -507
29.02.1972 23:59:55;  -654
18.03.1972 00:00:00;  -732
01.04.1972 00:00:00;  -725
01.05.1972 00:00:00;  -478
01.06.1972 00:00:00;  -185
01.07.1972 00:00:00;     7
13.08.1972 00:00:00;    15
30.09.1972 23:59:55;   -35
07.10.1972 00:00:00;   -43
30.11.1972 23:59:55;   -44
31.12.1972 00:00:00;  -235
31.01.1973 23:59:55;  -444
28.02.1973 23:59:55;  -683
24.03.1973 07:30:00;  -825
20.04.1973 07:30:00;  -900
01.05.1973 00:00:00;  -796
01.06.1973 00:00:00;  -156
01.07.1973 00:00:00;    -9
18.08.1973 07:30:00;    12
14.09.1973 07:30:00;    24
31.10.1973 23:59:55;    30
30.11.1973 23:59:55;   -31
21.12.1973 07:30:00;  -209
01.01.1974 00:00:00; Lücke
01.02.1974 00:00:00; Lücke
01.03.1974 00:00:00; Lücke
01.04.1974 00:00:00; Lücke
01.05.1974 00:00:00; Lücke
01.06.1974 00:00:00; Lücke
01.07.1974 00:00:00; Lücke
01.08.1974 00:00:00; Lücke
01.09.1974 00:00:00; Lücke
01.10.1974 00:00:00; Lücke
01.11.1974 00:00:00; Lücke
01.12.1974 00:00:00; Lücke
01.01.1975 00:00:00; Lücke
01.02.1975 00:00:00; Lücke
01.03.1975 00:00:00; Lücke
01.04.1975 00:00:00; Lücke
01.05.1975 00:00:00; Lücke
01.06.1975 00:00:00; Lücke
01.07.1975 00:00:00; Lücke
01.08.1975 00:00:00; Lücke
01.09.1975 00:00:00; Lücke
01.10.1975 00:00:00; Lücke
01.11.1975 00:00:00; Lücke
01.12.1975 00:00:00; Lücke
31.01.1976 08:00:00;   577
28.02.1976 08:00:00;   286
27.03.1976 08:00:00;   154
01.04.1976 00:00:00;   164
01.05.1976 00:00:00;   411
01.06.1976 00:00:00;   758
01.07.1976 00:00:00;   857
07.08.1976 08:00:00;   929
24.09.1976 08:00:00;   937
01.10.1976 00:00:00;   954
30.11.1976 08:00:00;   916
31.12.1976 08:00:00;   662
29.01.1977 08:00:00;   528
28.02.1977 08:00:00;   296
22.03.1977 08:00:00;   181
20.04.1977 08:00:00;   209
01.05.1977 00:00:00;   446
04.06.1977 08:00:00;   720
01.07.1977 00:00:00;   896
31.08.1977 08:00:00;   917
28.09.1977 08:00:00;   894
01.10.1977 00:00:00;   894
30.11.1977 08:00:00;   889
31.12.1977 08:00:00;   754
31.01.1978 08:00:00;   488
25.02.1978 08:00:00;   257
25.03.1978 08:00:00;    37
01.04.1978 00:00:00;    70
01.05.1978 00:00:00;   335
01.06.1978 00:00:00;   692
01.07.1978 00:00:00;   882
19.08.1978 08:00:00;   930
22.09.1978 08:00:00;   932
01.10.1978 00:00:00;   943
30.11.1978 08:00:00;   869
31.12.1978 08:00:00;   714
31.01.1979 08:00:00;   602
28.02.1979 08:00:00;   337
31.03.1979 08:00:00;   107
10.04.1979 08:00:00;    83
01.05.1979 00:00:00;   203
01.06.1979 00:00:00;   879
31.07.1979 08:00:00;   947
01.08.1979 02:00:00;   942
14.09.1979 08:00:00;  1017
01.10.1979 00:00:00;  1024
27.11.1979 08:00:00;  1041
29.12.1979 08:00:00;   844
31.01.1980 08:00:00;   568
29.02.1980 08:00:00;   302
31.03.1980 08:00:00;   124
01.04.1980 02:00:00;   120
01.05.1980 00:00:00;   314
01.06.1980 00:00:00;   800
03.07.1980 08:00:00;  1002
08.08.1980 08:00:00;  1016
20.09.1980 08:00:00;  1027
01.10.1980 00:00:00;  1043
15.11.1980 08:00:00;  1021
31.12.1980 08:00:00;   899
31.01.1981 08:00:00;   614
28.02.1981 08:00:00;   312
24.03.1981 08:00:00;   120
01.04.1981 00:00:00;   287
01.05.1981 02:00:00;   533
01.06.1981 00:00:00;   793
01.07.1981 02:00:00;   937
23.08.1981 08:00:00;  1024
19.09.1981 08:00:00;  1017
01.10.1981 02:00:00;  1031
28.11.1981 08:00:00;  1031
31.12.1981 08:00:00;   902
31.01.1982 08:00:00;   587
28.02.1982 08:00:00;   293
27.03.1982 08:00:00;   112
01.04.1982 00:00:00;   124
01.05.1982 00:00:00;   259
01.06.1982 00:00:00;   912
03.07.1982 08:00:00;   969
14.08.1982 08:00:00;   996
22.09.1982 08:00:00;   983
01.10.1982 00:00:00;  1019
26.11.1982 10:00:00;  1051
31.12.1982 08:00:00;   945
26.01.1983 08:00:00;   748
28.02.1983 08:00:00;   311
19.03.1983 08:00:00;   202
01.04.1983 02:00:00;   211
01.05.1983 00:00:00;   606
01.06.1983 00:00:00;   814
22.07.1983 08:00:00;  1009
20.08.1983 08:00:00;   961
29.09.1983 08:00:00;   941
01.10.1983 00:00:00;   943
25.11.1983 08:00:00;   991
23.12.1983 08:00:00;   914
31.01.1984 08:00:00;   594
29.02.1984 08:00:00;   337
31.03.1984 08:00:00;   110
10.04.1984 08:00:00;    96
01.05.1984 00:00:00;   328
01.06.1984 00:00:00;   779
01.07.1984 02:00:00;  1016
11.08.1984 08:00:00;  1012
01.09.1984 02:00:00;  1003
01.10.1984 00:00:00;  1024
23.11.1984 08:00:00;   988
31.12.1984 08:00:00;   883
31.01.1985 08:00:00;   579
28.02.1985 08:00:00;   371
23.03.1985 08:00:00;   223
01.04.1985 00:00:00;   234
01.05.1985 00:00:00;   488
06.06.1985 08:00:00;   843
01.07.1985 00:00:00;   994
31.08.1985 08:00:00;  1013
14.09.1985 08:00:00;   994
01.10.1985 00:00:00;  1011
30.11.1985 08:00:00;   914
31.12.1985 08:00:00;   819
31.01.1986 08:00:00;   599
28.02.1986 08:00:00;   279
28.03.1986 08:00:00;    87
01.04.1986 00:00:00;   115
01.05.1986 00:00:00;   476
01.06.1986 00:00:00;   856
01.07.1986 00:00:00;   976
15.08.1986 08:00:00;  1012
13.09.1986 08:00:00;  1014
24.10.1986 08:00:00;  1028
29.11.1986 08:00:00;   985
31.12.1986 08:00:00;   902
31.01.1987 08:00:00;   639
28.02.1987 10:00:00;   322
28.03.1987 08:00:00;   119
03.04.1987 08:00:00;    95
01.05.1987 00:00:00;   598
01.06.1987 00:00:00;   830
07.07.1987 08:00:00;   987
20.08.1987 08:00:00;  1018
05.09.1987 08:00:00;  1016
01.10.1987 02:00:00;  1050
07.11.1987 08:00:00;  1047
31.12.1987 08:00:00;   906
31.01.1988 08:00:00;   688
29.02.1988 08:00:00;   412
31.03.1988 08:00:00;   107
02.04.1988 08:00:00;    91
01.05.1988 00:00:00;   407
01.06.1988 00:00:00;   800
01.07.1988 00:00:00;   945
20.08.1988 08:00:00;  1006
10.09.1988 08:00:00;   991
07.10.1988 08:00:00;  1018
30.11.1988 23:59:55;  1015
31.12.1988 08:00:00;   929
31.01.1989 08:00:00;   654
28.02.1989 08:00:00;   495
27.03.1989 08:00:00;   200
01.04.1989 00:00:00;   250
01.05.1989 00:00:00;   530
01.06.1989 00:00:00;   884
25.07.1989 08:00:00;  1005
12.08.1989 08:00:00;  1005
09.09.1989 08:00:00;  1026
01.10.1989 00:00:00;  1058
30.11.1989 08:00:00;  1012
31.12.1989 08:00:00;   934
31.01.1990 08:00:00;   686
28.02.1990 08:00:00;   547
31.03.1990 08:00:00;   400
05.04.1990 08:00:00;   384
01.05.1990 00:00:00;   523
01.06.1990 00:00:00;   813
26.07.1990 08:00:00;   975
01.08.1990 00:00:00;   997
01.09.1990 00:00:00;  1027
01.10.1990 00:00:00;  1038
30.11.1990 08:00:00;  1049
31.12.1990 08:00:00;   909
31.01.1991 08:00:00;   688
28.02.1991 08:00:00;   446
16.03.1991 08:00:00;   417
01.04.1991 00:00:00;   508
04.05.1991 08:00:00;   603
01.06.1991 02:00:00;   855
06.07.1991 08:00:00;  1008
10.08.1991 08:00:00;  1006
06.09.1991 08:00:00;  1012
26.10.1991 08:00:00;  1029
29.11.1991 08:00:00;   995
19.12.1991 08:00:00;   880
31.01.1992 08:00:00;   706
29.02.1992 08:00:00;   351
27.03.1992 08:00:00;   132
01.04.1992 00:00:00;   137
01.05.1992 00:00:00;   522
01.06.1992 00:00:00;   827
01.07.1992 00:00:00;   969
29.08.1992 08:00:00;  1002
01.09.1992 00:00:00;  1008
01.10.1992 00:00:00;  1035
19.11.1992 08:00:00;  1040
31.12.1992 08:00:00;   879
31.01.1993 08:00:00;   724
28.02.1993 08:00:00;   372
31.03.1993 08:00:00;   192
01.04.1993 02:00:00;   184
01.05.1993 00:00:00;   544
01.06.1993 00:00:00;   832
09.07.1993 08:00:00;  1001
21.08.1993 08:00:00;  1007
03.09.1993 08:00:00;  1029
22.10.1993 08:00:00;  1020
30.11.1993 08:00:00;  1024
31.12.1993 08:00:00;   930
31.01.1994 08:00:00;   725
28.02.1994 08:00:00;   442
24.03.1994 08:00:00;   366
12.04.1994 08:00:00;   408
01.05.1994 00:00:00;   627
01.06.1994 00:00:00;   884
16.07.1994 08:00:00;   999
11.08.1994 08:00:00;  1002
15.09.1994 08:00:00;  1017
01.10.1994 00:00:00;  1026
30.11.1994 08:00:00;  1022
30.12.1994 08:00:00;   917
31.01.1995 08:00:00;   696
28.02.1995 08:00:00;   346
31.03.1995 08:00:00;   130
01.04.1995 02:00:00;   114
01.05.1995 00:00:00;   561
01.06.1995 02:00:00;   961
15.07.1995 08:00:00;  1001
12.08.1995 08:00:00;  1002
15.09.1995 08:00:00;  1004
28.10.1995 08:00:00;  1015
30.11.1995 08:00:00;  1005
31.12.1995 08:00:00;   875
31.01.1996 08:00:00;   703
29.02.1996 08:00:00;   467
21.03.1996 08:00:00;   364
05.04.1996 08:00:00;   352
01.05.1996 00:00:00;   575
01.06.1996 00:00:00;   939
27.07.1996 08:00:00;  1001
02.08.1996 08:00:00;  1006
13.09.1996 08:00:00;  1007
31.10.1996 08:00:00;  1034
29.11.1996 08:00:00;   976
31.12.1996 08:00:00;   889
31.01.1997 08:00:00;   720
28.02.1997 08:00:00;   548
31.03.1997 08:00:00;   377
02.04.1997 08:00:00;   365
01.05.1997 00:00:00;   608
01.06.1997 00:00:00;   855
08.07.1997 08:00:00;   962
01.08.1997 00:00:00;   962
01.09.1997 02:00:00;   955
14.10.1997 08:00:00;   967
28.11.1997 08:00:00;   907
31.12.1997 08:00:00;   842
31.01.1998 23:59:55;   648
28.02.1998 23:59:55;   467
28.03.1998 08:00:00;   344
01.04.1998 00:00:00;   401
01.05.1998 00:00:00;   608
01.06.1998 00:00:00;   835
13.07.1998 08:00:00;   960
26.08.1998 08:00:00;   966
19.09.1998 08:00:00;   951
20.10.1998 08:00:00;   945
11.11.1998 08:00:00;   943
31.12.1998 23:59:55;   893
31.01.1999 23:59:55;   635
27.02.1999 08:00:00;   478
28.03.1999 08:00:00;   301
01.04.1999 00:00:00;   312
01.05.1999 00:00:00;   630
09.06.1999 08:00:00;   952
03.07.1999 08:00:00;   971
28.08.1999 08:00:00;   972
12.09.1999 08:00:00;   972
21.10.1999 08:00:00;   980
30.11.1999 23:59:55;   946
31.12.1999 23:59:55;   883
30.01.2000 08:00:00;   640
29.02.2000 23:59:55;   409
08.03.2000 08:00:00;   386
08.04.2000 08:00:00;   335
01.05.2000 00:00:00;   666
01.06.2000 00:00:00;   880
01.07.2000 08:00:00;   973
19.08.2000 08:00:00;   982
30.09.2000 08:00:00;   979
24.10.2000 08:00:00;   911
30.11.2000 23:59:55;   901
31.12.2000 23:59:55;   781
31.01.2001 23:59:55;   570
28.02.2001 23:59:55;   398
08.03.2001 08:00:00;   349
01.04.2001 08:00:00;   431
01.05.2001 00:00:00;   566
01.06.2001 00:00:00;   842
12.07.2001 08:00:00;   968
09.08.2001 08:00:00;   977
25.09.2001 08:00:00;   985
31.10.2001 23:59:55;   913
30.11.2001 08:00:00;   785
22.12.2001 08:00:00;   675
25.01.2002 08:00:00;   592
28.02.2002 23:59:55;   456
15.03.2002 08:00:00;   363
21.04.2002 08:00:00;   454
01.05.2002 00:00:00;   592
01.06.2002 00:00:00;   828
17.07.2002 08:00:00;   975
02.08.2002 08:00:00;   971
20.09.2002 08:00:00;   961
05.10.2002 08:00:00;   980
29.11.2002 08:00:00;   956
21.12.2002 08:00:00;   842
31.01.2003 23:59:55;   672
28.02.2003 23:59:55;   383
21.03.2003 08:00:00;   312
12.04.2003 08:00:00;   369
01.05.2003 00:00:00;   614
01.06.2003 00:00:00;   819
01.07.2003 00:00:00;   952
29.08.2003 08:00:00;   969
06.09.2003 08:00:00;   975
31.10.2003 08:00:00;   915
30.11.2003 23:59:55;   863
19.12.2003 08:00:00;   756
31.01.2004 23:59:55;   631
28.02.2004 08:00:00;   460
14.03.2004 08:00:00;   316
01.04.2004 00:00:00;   341
01.05.2004 00:00:00;   640
01.06.2004 00:00:00;   841
01.07.2004 00:00:00;   975
05.08.2004 08:00:00;   972
11.09.2004 08:00:00;   964
23.10.2004 08:00:00;   950
30.11.2004 23:59:55;   938
23.12.2004 08:00:00;   755
31.01.2005 23:59:55;   637
28.02.2005 23:59:55;   446
17.03.2005 08:00:00;   416
01.04.2005 00:00:00;   684
01.05.2005 00:00:00;   839
14.06.2005 08:00:00;   964
01.07.2005 00:00:00;   975
14.08.2005 08:00:00;   985
24.09.2005 08:00:00;   980
21.10.2005 08:00:00;   958
30.11.2005 23:59:55;   760
22.12.2005 08:00:00;   639
31.01.2006 23:59:55;   630
28.02.2006 23:59:55;   464
16.03.2006 08:00:00;   408
01.04.2006 00:00:00;   513
03.05.2006 08:00:00;   850
13.06.2006 08:00:00;   978
08.07.2006 08:00:00;   958
24.08.2006 08:00:00;   967
30.09.2006 08:00:00;   977
20.10.2006 08:00:00;   967
09.11.2006 08:00:00;   957
30.12.2006 08:00:00;   823
31.01.2007 23:59:55;   666
23.02.2007 08:00:00;   561
31.03.2007 23:59:55;   538
01.04.2007 08:00:00;   536
01.05.2007 00:00:00;   729
29.06.2007 08:00:00;   955
01.07.2007 00:00:00;   960
29.08.2007 08:00:00;   976
27.09.2007 08:00:00;   979
31.10.2007 23:59:55;   894
01.11.2007 08:00:00;   893
25.12.2007 08:00:00;   869
31.01.2008 23:59:55;   636
22.02.2008 08:00:00;   515
31.03.2008 23:59:55;   552
10.04.2008 08:00:00;   496
01.05.2008 00:00:00;   782
20.06.2008 08:00:00;   971
12.07.2008 08:00:00;   971
15.08.2008 08:00:00;   969
06.09.2008 08:00:00;   970
31.10.2008 23:59:55;   899
30.11.2008 08:00:00;   877
19.12.2008 08:00:00;   774
31.01.2009 08:00:00;   672
28.02.2009 20:45:00;   500
25.03.2009 08:00:00;   427
01.04.2009 08:00:00;   432
01.05.2009 08:00:00;   800
07.06.2009 08:00:00;   960
18.07.2009 08:00:00;   958
28.08.2009 08:00:00;   958
30.09.2009 23:59:55;   950
31.10.2009 23:59:55;   392
01.11.2009 08:00:00;   386
01.12.2009 00:00:00;   583
31.01.2010 23:59:55;   677
24.02.2010 08:00:00;   528
19.03.2010 08:00:00;   499
01.04.2010 00:00:00;   602
01.05.2010 00:00:00;   785
12.06.2010 08:00:00;   979
14.07.2010 08:00:00;   959
19.08.2010 08:00:00;   972
11.09.2010 08:00:00;   982
29.10.2010 08:00:00;   929
30.11.2010 23:59:55;   821
21.12.2010 08:00:00;   754
05.01.2011 08:00:00;   773
28.02.2011 23:59:55;   597
10.03.2011 08:00:00;   521
01.04.2011 00:00:00;   648
01.05.2011 00:00:00;   812
18.06.2011 08:00:00;   961
01.07.2011 00:00:00;   980
27.08.2011 08:00:00;   950
14.09.2011 08:00:00;   964
07.10.2011 08:00:00;   986
30.11.2011 23:59:55;   849
10.12.2011 08:00:00;   819
31.01.2012 23:59:55;   715
24.02.2012 22:00:00;   472
16.03.2012 06:00:00;   455
20.04.2012 18:45:00;   562
01.05.2012 00:00:00;   728
30.06.2012 21:00:00;   977
03.07.2012 18:00:00;   972
06.08.2012 16:30:00;   984
11.09.2012 23:00:00;  1012
31.10.2012 06:15:00;   962
30.11.2012 22:45:00;   906
23.12.2012 08:00:00;   801
29.01.2013 19:00:00;   750
28.02.2013 15:30:00;   612
31.03.2013 23:30:00;   521
08.04.2013 17:45:00;   471
01.05.2013 00:00:00;   778
19.06.2013 10:45:00;   975
16.07.2013 02:45:00;   977
18.08.2013 18:00:00;   983
06.09.2013 19:45:00;   983
10.10.2013 09:45:00;   960
27.11.2013 18:45:00;   919
31.12.2013 23:59:55;   751
29.01.2014 20:00:00;   618
18.02.2014 08:45:00;   580
05.03.2014 08:45:00;   564
01.04.2014 00:00:00;   650
07.05.2014 11:45:00;   830
11.06.2014 20:30:00;   973
08.07.2014 09:45:00;   968
11.08.2014 06:45:00;   991
19.09.2014 18:45:00;   984
20.10.2014 02:00:00;   956
30.11.2014 23:59:55;   903
31.12.2014 06:15:00;   801
31.01.2015 23:59:55;   670
13.02.2015 10:30:00;   644
18.03.2015 01:30:00;   619
01.04.2015 00:00:00;   700
01.05.2015 12:30:00;   968
18.06.2015 16:45:00;   989
16.07.2015 18:45:00;   980
15.08.2015 03:45:00;   979
01.09.2015 18:15:00;   980
31.10.2015 20:15:00;   970
30.11.2015 18:30:00;   847
31.12.2015 17:30:00;   739
25.01.2016 16:15:00;   660
29.02.2016 23:15:00;   598
10.03.2016 07:30:00;   524
01.04.2016 00:00:00;   611
01.05.2016 00:00:00;   853
30.06.2016 22:30:00;   999
24.07.2016 06:30:00;   965
04.08.2016 23:45:00;   970
11.09.2016 18:15:00;   965
26.10.2016 18:45:00;   875
14.11.2016 23:30:00;   840
31.12.2016 23:30:00;   698
31.01.2017 14:45:00;   584
01.02.2017 00:00:00;   585
01.03.2017 00:00:00;   696
14.04.2017 02:00:00;   757
01.05.2017 00:00:00;   849
28.06.2017 18:30:00;   965
01.07.2017 00:00:00;   981
31.08.2017 21:00:00;   975
01.09.2017 00:00:00;   975
20.10.2017 20:00:00;   999
30.11.2017 21:30:00;   983
22.12.2017 23:45:00;   860
31.01.2018 23:45:00;   726
28.02.2018 20:45:00;   518
09.03.2018 23:45:00;   504
01.04.2018 00:00:00;   549
05.05.2018 12:00:00;   890
20.06.2018 22:15:00;   964
30.07.2018 21:15:00;   963
01.08.2018 00:00:00;   966
13.09.2018 19:15:00;   967
23.10.2018 07:15:00;   915
30.11.2018 19:00:00;   827
18.12.2018 10:15:00;   779
31.01.2019 20:30:00;   722
27.02.2019 20:30:00;   595
31.03.2019 06:15:00;   554
01.04.2019 00:00:00;   557
01.05.2019 00:00:00;   809
21.06.2019 14:15:00;   986
02.07.2019 22:00:00;   984
11.08.2019 03:45:00;   974
27.09.2019 05:30:00;   964
30.10.2019 20:00:00;   947
30.11.2019 23:45:00;   838
16.12.2019 18:15:00;   732
30.01.2020 01:15:00;   634
01.02.2020 00:00:00;   644
10.03.2020 19:45:00;   619
04.04.2020 21:00:00;   598
01.05.2020 00:00:00;   784
05.06.2020 19:30:00;   964
24.07.2020 21:00:00;   972
28.08.2020 23:45:00;   960
24.09.2020 20:45:00;   979
16.10.2020 20:15:00;   966
30.11.2020 23:59:55;   762
18.12.2020 17:30:00;   665
28.01.2021 02:00:00;   640
27.02.2021 00:00:00;   582
11.03.2021 02:45:00;   530
01.04.2021 00:00:00;   608
01.05.2021 00:00:00;   801
04.06.2021 22:30:00;   966
16.07.2021 22:00:00;   957
04.08.2021 21:00:00;   971
15.09.2021 19:00:00;   974
28.10.2021 08:30:00;   916
30.11.2021 08:15:00;   842
22.12.2021 18:15:00;   790
