Messstelle:                ;Kremsdorf
16.02.1989 00:00:00;   224
17.02.1989 00:00:00;   225
18.02.1989 00:00:00;   221
19.02.1989 00:00:00;   241
20.02.1989 00:00:00;   230
21.02.1989 00:00:00;   240
22.02.1989 00:00:00;   237
23.02.1989 00:00:00;   226
24.02.1989 00:00:00;   224
25.02.1989 00:00:00;   222
26.02.1989 00:00:00;   223
27.02.1989 00:00:00;   221
28.02.1989 00:00:00;   220
01.03.1989 00:00:00;   218
02.03.1989 00:00:00;   217
03.03.1989 00:00:00;   217
04.03.1989 00:00:00;   217
05.03.1989 00:00:00;   220
06.03.1989 00:00:00;   218
07.03.1989 00:00:00;   217
08.03.1989 00:00:00;   218
09.03.1989 00:00:00;   217
10.03.1989 00:00:00;   216
11.03.1989 00:00:00;   215
12.03.1989 00:00:00;   216
13.03.1989 00:00:00;   217
14.03.1989 00:00:00;   235
15.03.1989 00:00:00;   223
16.03.1989 00:00:00;   220
17.03.1989 00:00:00;   219
18.03.1989 00:00:00;   222
19.03.1989 00:00:00;   238
20.03.1989 00:00:00;   225
21.03.1989 00:00:00;   222
22.03.1989 00:00:00;   219
23.03.1989 00:00:00;   218
24.03.1989 00:00:00;   220
25.03.1989 00:00:00;   218
26.03.1989 00:00:00;   217
27.03.1989 00:00:00;   216
28.03.1989 00:00:00;   215
29.03.1989 00:00:00;   215
30.03.1989 00:00:00;   216
31.03.1989 00:00:00;   215
01.04.1989 00:00:00;   215
02.04.1989 00:00:00;   228
03.04.1989 00:00:00;   233
04.04.1989 00:00:00;   221
05.04.1989 00:00:00;   217
06.04.1989 00:00:00;   215
07.04.1989 00:00:00;   214
08.04.1989 00:00:00;   213
09.04.1989 00:00:00;   211
10.04.1989 00:00:00;   211
11.04.1989 00:00:00;   210
12.04.1989 00:00:00;   210
13.04.1989 00:00:00;   210
14.04.1989 00:00:00;   210
15.04.1989 00:00:00;   219
16.04.1989 00:00:00;   222
17.04.1989 00:00:00;   215
18.04.1989 00:00:00;   233
19.04.1989 00:00:00;   220
20.04.1989 00:00:00;   214
21.04.1989 00:00:00;   212
22.04.1989 00:00:00;   211
23.04.1989 00:00:00;   210
24.04.1989 00:00:00;   210
25.04.1989 00:00:00;   209
26.04.1989 00:00:00;   209
27.04.1989 00:00:00;   208
28.04.1989 00:00:00;   209
29.04.1989 00:00:00;   209
30.04.1989 00:00:00;   208
01.05.1989 00:00:00;   268
02.05.1989 00:00:00;   240
03.05.1989 00:00:00;   222
04.05.1989 00:00:00;   218
05.05.1989 00:00:00;   215
06.05.1989 00:00:00;   214
07.05.1989 00:00:00;   213
08.05.1989 00:00:00;   211
09.05.1989 00:00:00;   211
10.05.1989 00:00:00;   210
11.05.1989 00:00:00;   209
12.05.1989 00:00:00;   210
13.05.1989 00:00:00;   211
14.05.1989 00:00:00;   221
15.05.1989 00:00:00;   237
16.05.1989 00:00:00;   218
17.05.1989 00:00:00;   213
18.05.1989 00:00:00;   211
19.05.1989 00:00:00;   210
20.05.1989 00:00:00;   209
21.05.1989 00:00:00;   208
22.05.1989 00:00:00;   207
23.05.1989 00:00:00;   206
24.05.1989 00:00:00;   205
25.05.1989 00:00:00;   205
26.05.1989 00:00:00;   205
27.05.1989 00:00:00;   205
28.05.1989 00:00:00;   204
29.05.1989 00:00:00;   204
30.05.1989 00:00:00;   204
31.05.1989 00:00:00;   204
01.06.1989 00:00:00;   204
02.06.1989 00:00:00;   205
03.06.1989 00:00:00;   204
04.06.1989 00:00:00;   206
05.06.1989 00:00:00;   207
06.06.1989 00:00:00;   207
07.06.1989 00:00:00;   205
08.06.1989 00:00:00;   205
09.06.1989 00:00:00;   204
10.06.1989 00:00:00;   204
11.06.1989 00:00:00;   204
12.06.1989 00:00:00;   204
13.06.1989 00:00:00;   204
14.06.1989 00:00:00;   206
15.06.1989 00:00:00;   203
16.06.1989 00:00:00;   203
17.06.1989 00:00:00;   204
18.06.1989 00:00:00;   212
19.06.1989 00:00:00;   232
20.06.1989 00:00:00;   209
21.06.1989 00:00:00;   205
22.06.1989 00:00:00;   204
23.06.1989 00:00:00;   210
24.06.1989 00:00:00;   215
25.06.1989 00:00:00;   208
26.06.1989 00:00:00;   205
27.06.1989 00:00:00;   204
28.06.1989 00:00:00;   205
29.06.1989 00:00:00;   205
30.06.1989 00:00:00;   203
01.07.1989 00:00:00;   203
02.07.1989 00:00:00;   202
03.07.1989 00:00:00;   207
04.07.1989 00:00:00;   207
05.07.1989 00:00:00;   206
06.07.1989 00:00:00;   202
07.07.1989 00:00:00;   201
08.07.1989 00:00:00;   200
09.07.1989 00:00:00;   203
10.07.1989 00:00:00;   203
11.07.1989 00:00:00;   204
12.07.1989 00:00:00;   225
13.07.1989 00:00:00;   206
14.07.1989 00:00:00;   209
15.07.1989 00:00:00;   207
16.07.1989 00:00:00;   203
17.07.1989 00:00:00;   199
18.07.1989 00:00:00;   200
19.07.1989 00:00:00;   199
20.07.1989 00:00:00;   199
21.07.1989 00:00:00;   200
22.07.1989 00:00:00;   197
23.07.1989 00:00:00;   197
24.07.1989 00:00:00;   198
25.07.1989 00:00:00;   196
26.07.1989 00:00:00;   205
27.07.1989 00:00:00;   220
28.07.1989 00:00:00;   207
29.07.1989 00:00:00;   208
30.07.1989 00:00:00;   202
31.07.1989 00:00:00;   207
01.08.1989 00:00:00;   209
02.08.1989 00:00:00;   211
03.08.1989 00:00:00;   211
04.08.1989 00:00:00;   208
05.08.1989 00:00:00;   204
06.08.1989 00:00:00;   203
07.08.1989 00:00:00;   207
08.08.1989 00:00:00;   203
09.08.1989 00:00:00;   209
10.08.1989 00:00:00;   238
11.08.1989 00:00:00;   207
12.08.1989 00:00:00;   204
13.08.1989 00:00:00;   202
14.08.1989 00:00:00;   201
15.08.1989 00:00:00;   201
16.08.1989 00:00:00;   199
17.08.1989 00:00:00;   198
18.08.1989 00:00:00;   209
19.08.1989 00:00:00;   211
20.08.1989 00:00:00;   208
21.08.1989 00:00:00;   203
22.08.1989 00:00:00;   201
23.08.1989 00:00:00;   200
24.08.1989 00:00:00;   200
25.08.1989 00:00:00;   200
26.08.1989 00:00:00;   200
27.08.1989 00:00:00;   202
28.08.1989 00:00:00;   203
29.08.1989 00:00:00;   201
30.08.1989 00:00:00;   214
31.08.1989 00:00:00;   203
01.09.1989 00:00:00;   201
02.09.1989 00:00:00;   199
03.09.1989 00:00:00;   211
04.09.1989 00:00:00;   219
05.09.1989 00:00:00;   233
06.09.1989 00:00:00;   213
07.09.1989 00:00:00;   206
08.09.1989 00:00:00;   205
09.09.1989 00:00:00;   203
10.09.1989 00:00:00;   203
11.09.1989 00:00:00;   202
12.09.1989 00:00:00;   206
13.09.1989 00:00:00;   204
14.09.1989 00:00:00;   219
15.09.1989 00:00:00;   216
16.09.1989 00:00:00;   225
17.09.1989 00:00:00;   211
18.09.1989 00:00:00;   207
19.09.1989 00:00:00;   205
20.09.1989 00:00:00;   203
21.09.1989 00:00:00;   202
22.09.1989 00:00:00;   202
23.09.1989 00:00:00;   202
24.09.1989 00:00:00;   201
25.09.1989 00:00:00;   201
26.09.1989 00:00:00;   201
27.09.1989 00:00:00;   204
28.09.1989 00:00:00;   217
29.09.1989 00:00:00;   213
30.09.1989 00:00:00;   216
01.10.1989 00:00:00;   210
02.10.1989 00:00:00;   211
03.10.1989 00:00:00;   217
04.10.1989 00:00:00;   214
05.10.1989 00:00:00;   209
06.10.1989 00:00:00;   206
07.10.1989 00:00:00;   212
08.10.1989 00:00:00;   221
09.10.1989 00:00:00;   213
10.10.1989 00:00:00;   212
11.10.1989 00:00:00;   214
12.10.1989 00:00:00;   212
13.10.1989 00:00:00;   211
14.10.1989 00:00:00;   209
15.10.1989 00:00:00;   216
16.10.1989 00:00:00;   216
17.10.1989 00:00:00;   211
18.10.1989 00:00:00;   208
19.10.1989 00:00:00;   207
20.10.1989 00:00:00;   207
21.10.1989 00:00:00;   207
22.10.1989 00:00:00;   206
23.10.1989 00:00:00;   205
24.10.1989 00:00:00;   205
25.10.1989 00:00:00;   204
26.10.1989 00:00:00;   205
27.10.1989 00:00:00;   204
28.10.1989 00:00:00;   202
29.10.1989 00:00:00;   202
30.10.1989 00:00:00;   205
31.10.1989 00:00:00;   219
01.11.1989 00:00:00;   249
02.11.1989 00:00:00;   216
03.11.1989 00:00:00;   211
04.11.1989 00:00:00;   210
05.11.1989 00:00:00;   212
06.11.1989 00:00:00;   217
07.11.1989 00:00:00;   222
08.11.1989 00:00:00;   212
09.11.1989 00:00:00;   216
10.11.1989 00:00:00;   217
11.11.1989 00:00:00;   211
12.11.1989 00:00:00;   209
13.11.1989 00:00:00;   208
14.11.1989 00:00:00;   208
15.11.1989 00:00:00;   207
16.11.1989 00:00:00;   205
17.11.1989 00:00:00;   205
18.11.1989 00:00:00;   206
19.11.1989 00:00:00;   204
20.11.1989 00:00:00;   203
21.11.1989 00:00:00;   202
22.11.1989 00:00:00;   203
23.11.1989 00:00:00;   206
24.11.1989 00:00:00;   204
25.11.1989 00:00:00;   203
26.11.1989 00:00:00;   201
27.11.1989 00:00:00;   201
28.11.1989 00:00:00;   203
29.11.1989 00:00:00;   207
30.11.1989 00:00:00;   203
01.12.1989 00:00:00;   201
02.12.1989 00:00:00;   200
03.12.1989 00:00:00;   200
04.12.1989 00:00:00;   199
05.12.1989 00:00:00;   199
06.12.1989 00:00:00;   196
07.12.1989 00:00:00;   196
08.12.1989 00:00:00;   197
09.12.1989 00:00:00;   196
10.12.1989 00:00:00;   195
11.12.1989 00:00:00;   193
12.12.1989 00:00:00;   191
13.12.1989 00:00:00;   193
14.12.1989 00:00:00;   203
15.12.1989 00:00:00;   205
16.12.1989 00:00:00;   216
17.12.1989 00:00:00;   212
18.12.1989 00:00:00;   230
19.12.1989 00:00:00;   227
20.12.1989 00:00:00;   227
21.12.1989 00:00:00;   211
22.12.1989 00:00:00;   208
23.12.1989 00:00:00;   208
24.12.1989 00:00:00;   208
25.12.1989 00:00:00;   224
26.12.1989 00:00:00;   210
27.12.1989 00:00:00;   206
28.12.1989 00:00:00;   203
29.12.1989 00:00:00;   201
30.12.1989 00:00:00;   200
31.12.1989 00:00:00;   199
01.01.1990 00:00:00;   199
02.01.1990 00:00:00;   198
03.01.1990 00:00:00;   198
04.01.1990 00:00:00;   197
05.01.1990 00:00:00;   196
06.01.1990 00:00:00;   196
07.01.1990 00:00:00;   195
08.01.1990 00:00:00;   194
09.01.1990 00:00:00;   192
10.01.1990 00:00:00;   192
11.01.1990 00:00:00;   193
12.01.1990 00:00:00;   193
13.01.1990 00:00:00;   193
14.01.1990 00:00:00;   192
15.01.1990 00:00:00;   192
16.01.1990 00:00:00;   191
17.01.1990 00:00:00;   194
18.01.1990 00:00:00;   195
19.01.1990 00:00:00;   193
20.01.1990 00:00:00;   193
21.01.1990 00:00:00;   197
22.01.1990 00:00:00;   196
23.01.1990 00:00:00;   194
24.01.1990 00:00:00;   194
25.01.1990 00:00:00;   195
26.01.1990 00:00:00;   203
27.01.1990 00:00:00;   199
28.01.1990 00:00:00;   196
29.01.1990 00:00:00;   196
30.01.1990 00:00:00;   197
31.01.1990 00:00:00;   195
01.02.1990 00:00:00;   194
02.02.1990 00:00:00;   194
03.02.1990 00:00:00;   193
04.02.1990 00:00:00;   192
05.02.1990 00:00:00;   192
06.02.1990 00:00:00;   191
07.02.1990 00:00:00;   192
08.02.1990 00:00:00;   191
09.02.1990 00:00:00;   191
10.02.1990 00:00:00;   192
11.02.1990 00:00:00;   194
12.02.1990 00:00:00;   200
13.02.1990 00:00:00;   196
14.02.1990 00:00:00;   228
15.02.1990 00:00:00;   320
16.02.1990 00:00:00;   273
17.02.1990 00:00:00;   225
18.02.1990 00:00:00;   216
19.02.1990 00:00:00;   214
20.02.1990 00:00:00;   212
21.02.1990 00:00:00;   209
22.02.1990 00:00:00;   208
23.02.1990 00:00:00;   206
24.02.1990 00:00:00;   205
25.02.1990 00:00:00;   204
26.02.1990 00:00:00;   203
27.02.1990 00:00:00;   210
28.02.1990 00:00:00;   221
01.03.1990 00:00:00;   226
02.03.1990 00:00:00;   214
03.03.1990 00:00:00;   212
04.03.1990 00:00:00;   210
05.03.1990 00:00:00;   210
06.03.1990 00:00:00;   208
07.03.1990 00:00:00;   206
08.03.1990 00:00:00;   205
09.03.1990 00:00:00;   204
10.03.1990 00:00:00;   205
11.03.1990 00:00:00;   206
12.03.1990 00:00:00;   205
13.03.1990 00:00:00;   203
14.03.1990 00:00:00;   202
15.03.1990 00:00:00;   201
16.03.1990 00:00:00;   201
17.03.1990 00:00:00;   199
18.03.1990 00:00:00;   198
19.03.1990 00:00:00;   197
20.03.1990 00:00:00;   195
21.03.1990 00:00:00;   193
22.03.1990 00:00:00;   192
23.03.1990 00:00:00;   195
24.03.1990 00:00:00;   195
25.03.1990 00:00:00;   193
26.03.1990 00:00:00;   193
27.03.1990 00:00:00;   193
28.03.1990 00:00:00;   194
29.03.1990 00:00:00;   209
30.03.1990 00:00:00;   220
31.03.1990 00:00:00;   209
01.04.1990 00:00:00;   203
02.04.1990 00:00:00;   200
03.04.1990 00:00:00;   197
04.04.1990 00:00:00;   196
05.04.1990 00:00:00;   195
06.04.1990 00:00:00;   194
07.04.1990 00:00:00;   194
08.04.1990 00:00:00;   220
09.04.1990 00:00:00;   215
10.04.1990 00:00:00;   207
11.04.1990 00:00:00;   202
12.04.1990 00:00:00;   205
13.04.1990 00:00:00;   205
14.04.1990 00:00:00;   200
15.04.1990 00:00:00;   198
16.04.1990 00:00:00;   198
17.04.1990 00:00:00;   196
18.04.1990 00:00:00;   195
19.04.1990 00:00:00;   198
20.04.1990 00:00:00;   209
21.04.1990 00:00:00;   200
22.04.1990 00:00:00;   197
23.04.1990 00:00:00;   197
24.04.1990 00:00:00;   218
25.04.1990 00:00:00;   222
26.04.1990 00:00:00;   226
27.04.1990 00:00:00;   227
28.04.1990 00:00:00;   236
29.04.1990 00:00:00;   215
30.04.1990 00:00:00;   208
01.05.1990 00:00:00;   204
02.05.1990 00:00:00;   201
03.05.1990 00:00:00;   199
04.05.1990 00:00:00;   198
05.05.1990 00:00:00;   196
06.05.1990 00:00:00;   197
07.05.1990 00:00:00;   196
08.05.1990 00:00:00;   196
09.05.1990 00:00:00;   196
10.05.1990 00:00:00;   194
11.05.1990 00:00:00;   193
12.05.1990 00:00:00;   196
13.05.1990 00:00:00;   193
14.05.1990 00:00:00;   191
15.05.1990 00:00:00;   193
16.05.1990 00:00:00;   193
17.05.1990 00:00:00;   190
18.05.1990 00:00:00;   188
19.05.1990 00:00:00;   188
20.05.1990 00:00:00;   185
21.05.1990 00:00:00;   185
22.05.1990 00:00:00;   188
23.05.1990 00:00:00;   185
24.05.1990 00:00:00;   185
25.05.1990 00:00:00;   195
26.05.1990 00:00:00;   203
27.05.1990 00:00:00;   191
28.05.1990 00:00:00;   187
29.05.1990 00:00:00;   185
30.05.1990 00:00:00;   184
31.05.1990 00:00:00;   185
01.06.1990 00:00:00;   184
02.06.1990 00:00:00;   183
03.06.1990 00:00:00;   184
04.06.1990 00:00:00;   187
05.06.1990 00:00:00;   185
06.06.1990 00:00:00;   183
07.06.1990 00:00:00;   183
08.06.1990 00:00:00;   183
09.06.1990 00:00:00;   184
10.06.1990 00:00:00;   199
11.06.1990 00:00:00;   195
12.06.1990 00:00:00;   204
13.06.1990 00:00:00;   193
14.06.1990 00:00:00;   198
15.06.1990 00:00:00;   227
16.06.1990 00:00:00;   236
17.06.1990 00:00:00;   220
18.06.1990 00:00:00;   204
19.06.1990 00:00:00;   200
20.06.1990 00:00:00;   196
21.06.1990 00:00:00;   206
22.06.1990 00:00:00;   199
23.06.1990 00:00:00;   207
24.06.1990 00:00:00;   209
25.06.1990 00:00:00;   199
26.06.1990 00:00:00;   194
27.06.1990 00:00:00;   190
28.06.1990 00:00:00;   189
29.06.1990 00:00:00;   190
30.06.1990 00:00:00;   186
01.07.1990 00:00:00;   185
02.07.1990 00:00:00;   188
03.07.1990 00:00:00;   189
04.07.1990 00:00:00;   213
05.07.1990 00:00:00;   209
06.07.1990 00:00:00;   208
07.07.1990 00:00:00;   200
08.07.1990 00:00:00;   210
09.07.1990 00:00:00;   220
10.07.1990 00:00:00;   253
11.07.1990 00:00:00;   215
12.07.1990 00:00:00;   205
13.07.1990 00:00:00;   198
14.07.1990 00:00:00;   196
15.07.1990 00:00:00;   192
16.07.1990 00:00:00;   191
17.07.1990 00:00:00;   197
18.07.1990 00:00:00;   205
19.07.1990 00:00:00;   194
20.07.1990 00:00:00;   190
21.07.1990 00:00:00;   188
22.07.1990 00:00:00;   187
23.07.1990 00:00:00;   185
24.07.1990 00:00:00;   184
25.07.1990 00:00:00;   184
26.07.1990 00:00:00;   184
27.07.1990 00:00:00;   183
28.07.1990 00:00:00;   182
29.07.1990 00:00:00;   180
30.07.1990 00:00:00;   179
31.07.1990 00:00:00;   179
01.08.1990 00:00:00;   187
02.08.1990 00:00:00;   182
03.08.1990 00:00:00;   180
04.08.1990 00:00:00;   177
05.08.1990 00:00:00;   178
06.08.1990 00:00:00;   179
07.08.1990 00:00:00;   202
08.08.1990 00:00:00;   194
09.08.1990 00:00:00;   186
10.08.1990 00:00:00;   182
11.08.1990 00:00:00;   181
12.08.1990 00:00:00;   179
13.08.1990 00:00:00;   179
14.08.1990 00:00:00;   179
15.08.1990 00:00:00;   186
16.08.1990 00:00:00;   185
17.08.1990 00:00:00;   190
18.08.1990 00:00:00;   190
19.08.1990 00:00:00;   182
20.08.1990 00:00:00;   180
21.08.1990 00:00:00;   182
22.08.1990 00:00:00;   186
23.08.1990 00:00:00;   187
24.08.1990 00:00:00;   181
25.08.1990 00:00:00;   180
26.08.1990 00:00:00;   180
27.08.1990 00:00:00;   181
28.08.1990 00:00:00;   179
29.08.1990 00:00:00;   177
30.08.1990 00:00:00;   175
31.08.1990 00:00:00;   176
01.09.1990 00:00:00;   175
02.09.1990 00:00:00;   176
03.09.1990 00:00:00;   178
04.09.1990 00:00:00;   183
05.09.1990 00:00:00;   186
06.09.1990 00:00:00;   185
07.09.1990 00:00:00;   185
08.09.1990 00:00:00;   207
09.09.1990 00:00:00;   196
10.09.1990 00:00:00;   187
11.09.1990 00:00:00;   203
12.09.1990 00:00:00;   200
13.09.1990 00:00:00;   191
14.09.1990 00:00:00;   185
15.09.1990 00:00:00;   181
16.09.1990 00:00:00;   179
17.09.1990 00:00:00;   178
18.09.1990 00:00:00;   198
19.09.1990 00:00:00;   204
20.09.1990 00:00:00;   191
21.09.1990 00:00:00;   186
22.09.1990 00:00:00;   211
23.09.1990 00:00:00;   228
24.09.1990 00:00:00;   238
25.09.1990 00:00:00;   218
26.09.1990 00:00:00;   204
27.09.1990 00:00:00;   197
28.09.1990 00:00:00;   193
29.09.1990 00:00:00;   190
30.09.1990 00:00:00;   188
01.10.1990 00:00:00;   186
02.10.1990 00:00:00;   217
03.10.1990 00:00:00;   205
04.10.1990 00:00:00;   198
05.10.1990 00:00:00;   209
06.10.1990 00:00:00;   200
07.10.1990 00:00:00;   195
08.10.1990 00:00:00;   230
09.10.1990 00:00:00;   217
10.10.1990 00:00:00;   205
11.10.1990 00:00:00;   199
12.10.1990 00:00:00;   196
13.10.1990 00:00:00;   193
14.10.1990 00:00:00;   191
15.10.1990 00:00:00;   190
16.10.1990 00:00:00;   189
17.10.1990 00:00:00;   187
18.10.1990 00:00:00;   187
19.10.1990 00:00:00;   185
20.10.1990 00:00:00;   184
21.10.1990 00:00:00;   187
22.10.1990 00:00:00;   185
23.10.1990 00:00:00;   183
24.10.1990 00:00:00;   184
25.10.1990 00:00:00;   182
26.10.1990 00:00:00;   183
27.10.1990 00:00:00;   183
28.10.1990 00:00:00;   196
29.10.1990 00:00:00;   192
30.10.1990 00:00:00;   202
31.10.1990 00:00:00;   202
01.11.1990 00:00:00;   215
02.11.1990 00:00:00;   212
03.11.1990 00:00:00;   203
04.11.1990 00:00:00;   209
05.11.1990 00:00:00;   210
06.11.1990 00:00:00;   205
07.11.1990 00:00:00;   200
08.11.1990 00:00:00;   196
09.11.1990 00:00:00;   194
10.11.1990 00:00:00;   191
11.11.1990 00:00:00;   192
12.11.1990 00:00:00;   197
13.11.1990 00:00:00;   197
14.11.1990 00:00:00;   194
15.11.1990 00:00:00;   194
16.11.1990 00:00:00;   199
17.11.1990 00:00:00;   195
18.11.1990 00:00:00;   195
19.11.1990 00:00:00;   237
20.11.1990 00:00:00;   273
21.11.1990 00:00:00;   226
22.11.1990 00:00:00;   215
23.11.1990 00:00:00;   209
24.11.1990 00:00:00;   206
25.11.1990 00:00:00;   202
26.11.1990 00:00:00;   202
27.11.1990 00:00:00;   205
28.11.1990 00:00:00;   218
29.11.1990 00:00:00;   209
30.11.1990 00:00:00;   207
01.12.1990 00:00:00;   206
02.12.1990 00:00:00;   203
03.12.1990 00:00:00;   201
04.12.1990 00:00:00;   200
05.12.1990 00:00:00;   203
06.12.1990 00:00:00;   203
07.12.1990 00:00:00;   200
08.12.1990 00:00:00;   199
09.12.1990 00:00:00;   197
10.12.1990 00:00:00;   199
11.12.1990 00:00:00;   203
12.12.1990 00:00:00;   198
13.12.1990 00:00:00;   196
14.12.1990 00:00:00;   194
15.12.1990 00:00:00;   194
16.12.1990 00:00:00;   194
17.12.1990 00:00:00;   193
18.12.1990 00:00:00;   192
19.12.1990 00:00:00;   192
20.12.1990 00:00:00;   192
21.12.1990 00:00:00;   192
22.12.1990 00:00:00;   202
23.12.1990 00:00:00;   241
24.12.1990 00:00:00;   227
25.12.1990 00:00:00;   212
26.12.1990 00:00:00;   206
27.12.1990 00:00:00;   204
28.12.1990 00:00:00;   206
29.12.1990 00:00:00;   203
30.12.1990 00:00:00;   216
31.12.1990 00:00:00;   215
01.01.1991 00:00:00;   211
02.01.1991 00:00:00;   210
03.01.1991 00:00:00;   227
04.01.1991 00:00:00;   217
05.01.1991 00:00:00;   214
06.01.1991 00:00:00;   212
07.01.1991 00:00:00;   210
08.01.1991 00:00:00;   210
09.01.1991 00:00:00;   207
10.01.1991 00:00:00;   204
11.01.1991 00:00:00;   203
12.01.1991 00:00:00;   204
13.01.1991 00:00:00;   214
14.01.1991 00:00:00;   215
15.01.1991 00:00:00;   208
16.01.1991 00:00:00;   202
17.01.1991 00:00:00;   199
18.01.1991 00:00:00;   197
19.01.1991 00:00:00;   195
20.01.1991 00:00:00;   194
21.01.1991 00:00:00;   193
22.01.1991 00:00:00;   194
23.01.1991 00:00:00;   192
24.01.1991 00:00:00;   192
25.01.1991 00:00:00;   191
26.01.1991 00:00:00;   190
27.01.1991 00:00:00;   190
28.01.1991 00:00:00;   189
29.01.1991 00:00:00;   188
30.01.1991 00:00:00;   188
31.01.1991 00:00:00;   183
01.02.1991 00:00:00;   179
02.02.1991 00:00:00;   181
03.02.1991 00:00:00;   181
04.02.1991 00:00:00;   184
05.02.1991 00:00:00;   183
06.02.1991 00:00:00;   179
07.02.1991 00:00:00;   180
08.02.1991 00:00:00;   184
09.02.1991 00:00:00;   183
10.02.1991 00:00:00;   184
11.02.1991 00:00:00;   184
12.02.1991 00:00:00;   183
13.02.1991 00:00:00;   182
14.02.1991 00:00:00;   180
15.02.1991 00:00:00;   182
16.02.1991 00:00:00;   183
17.02.1991 00:00:00;   180
18.02.1991 00:00:00;   181
19.02.1991 00:00:00;   179
20.02.1991 00:00:00;   181
21.02.1991 00:00:00;   180
22.02.1991 00:00:00;   181
23.02.1991 00:00:00;   181
24.02.1991 00:00:00;   188
25.02.1991 00:00:00;   205
26.02.1991 00:00:00;   204
27.02.1991 00:00:00;   201
28.02.1991 00:00:00;   193
01.03.1991 00:00:00;   189
02.03.1991 00:00:00;   187
03.03.1991 00:00:00;   186
04.03.1991 00:00:00;   186
05.03.1991 00:00:00;   193
06.03.1991 00:00:00;   193
07.03.1991 00:00:00;   194
08.03.1991 00:00:00;   197
09.03.1991 00:00:00;   203
10.03.1991 00:00:00;   201
11.03.1991 00:00:00;   202
12.03.1991 00:00:00;   198
13.03.1991 00:00:00;   196
14.03.1991 00:00:00;   192
15.03.1991 00:00:00;   189
16.03.1991 00:00:00;   186
17.03.1991 00:00:00;   186
18.03.1991 00:00:00;   184
19.03.1991 00:00:00;   185
20.03.1991 00:00:00;   199
21.03.1991 00:00:00;   204
22.03.1991 00:00:00;   196
23.03.1991 00:00:00;   197
24.03.1991 00:00:00;   192
25.03.1991 00:00:00;   187
26.03.1991 00:00:00;   188
27.03.1991 00:00:00;   186
28.03.1991 00:00:00;   187
29.03.1991 00:00:00;   194
30.03.1991 00:00:00;   196
31.03.1991 00:00:00;   196
01.04.1991 00:00:00;   195
02.04.1991 00:00:00;   193
03.04.1991 00:00:00;   191
04.04.1991 00:00:00;   196
05.04.1991 00:00:00;   195
06.04.1991 00:00:00;   190
07.04.1991 00:00:00;   187
08.04.1991 00:00:00;   187
09.04.1991 00:00:00;   194
10.04.1991 00:00:00;   190
11.04.1991 00:00:00;   186
12.04.1991 00:00:00;   183
13.04.1991 00:00:00;   183
14.04.1991 00:00:00;   181
15.04.1991 00:00:00;   180
16.04.1991 00:00:00;   181
17.04.1991 00:00:00;   197
18.04.1991 00:00:00;   194
19.04.1991 00:00:00;   200
20.04.1991 00:00:00;   203
21.04.1991 00:00:00;   196
22.04.1991 00:00:00;   192
23.04.1991 00:00:00;   190
24.04.1991 00:00:00;   188
25.04.1991 00:00:00;   186
26.04.1991 00:00:00;   184
27.04.1991 00:00:00;   184
28.04.1991 00:00:00;   182
29.04.1991 00:00:00;   189
30.04.1991 00:00:00;   187
01.05.1991 00:00:00;   185
02.05.1991 00:00:00;   185
03.05.1991 00:00:00;   191
04.05.1991 00:00:00;   212
05.05.1991 00:00:00;   202
06.05.1991 00:00:00;   195
07.05.1991 00:00:00;   191
08.05.1991 00:00:00;   188
09.05.1991 00:00:00;   184
10.05.1991 00:00:00;   182
11.05.1991 00:00:00;   189
12.05.1991 00:00:00;   196
13.05.1991 00:00:00;   199
14.05.1991 00:00:00;   196
15.05.1991 00:00:00;   199
16.05.1991 00:00:00;   200
17.05.1991 00:00:00;   206
18.05.1991 00:00:00;   324
19.05.1991 00:00:00;   253
20.05.1991 00:00:00;   220
21.05.1991 00:00:00;   212
22.05.1991 00:00:00;   210
23.05.1991 00:00:00;   206
24.05.1991 00:00:00;   200
25.05.1991 00:00:00;   197
26.05.1991 00:00:00;   205
27.05.1991 00:00:00;   221
28.05.1991 00:00:00;   205
29.05.1991 00:00:00;   197
30.05.1991 00:00:00;   193
31.05.1991 00:00:00;   189
01.06.1991 00:00:00;   187
02.06.1991 00:00:00;   185
03.06.1991 00:00:00;   185
04.06.1991 00:00:00;   186
05.06.1991 00:00:00;   189
06.06.1991 00:00:00;   186
07.06.1991 00:00:00;   203
08.06.1991 00:00:00;   196
09.06.1991 00:00:00;   215
10.06.1991 00:00:00;   197
11.06.1991 00:00:00;   190
12.06.1991 00:00:00;   182
13.06.1991 00:00:00;   181
14.06.1991 00:00:00;   219
15.06.1991 00:00:00;   202
16.06.1991 00:00:00;   191
17.06.1991 00:00:00;   189
18.06.1991 00:00:00;   201
19.06.1991 00:00:00;   191
20.06.1991 00:00:00;   185
21.06.1991 00:00:00;   186
22.06.1991 00:00:00;   182
23.06.1991 00:00:00;   178
24.06.1991 00:00:00;   178
25.06.1991 00:00:00;   179
26.06.1991 00:00:00;   181
27.06.1991 00:00:00;   242
28.06.1991 00:00:00;   254
29.06.1991 00:00:00;   211
30.06.1991 00:00:00;   201
01.07.1991 00:00:00;   194
02.07.1991 00:00:00;   187
03.07.1991 00:00:00;   183
04.07.1991 00:00:00;   182
05.07.1991 00:00:00;   185
06.07.1991 00:00:00;   177
07.07.1991 00:00:00;   173
08.07.1991 00:00:00;   172
