Messstelle:                ;Oberkappel
28.11.1981 00:00:00;   162
29.11.1981 00:00:00;   156
30.11.1981 00:00:00;   152
01.12.1981 00:00:00;   152
02.12.1981 00:00:00;   149
03.12.1981 00:00:00;   148
04.12.1981 00:00:00;   149
05.12.1981 00:00:00;   148
06.12.1981 00:00:00;   147
07.12.1981 00:00:00;   147
08.12.1981 00:00:00;   149
09.12.1981 00:00:00;   157
10.12.1981 00:00:00;   152
11.12.1981 00:00:00;   149
12.12.1981 00:00:00;   177
13.12.1981 00:00:00;   163
14.12.1981 00:00:00;   156
15.12.1981 00:00:00;   154
16.12.1981 00:00:00;   153
17.12.1981 00:00:00;   150
18.12.1981 00:00:00;   150
19.12.1981 00:00:00;   149
20.12.1981 00:00:00;   147
21.12.1981 00:00:00;   146
22.12.1981 00:00:00;   146
23.12.1981 00:00:00;   145
24.12.1981 00:00:00;   144
25.12.1981 00:00:00;   144
26.12.1981 00:00:00;   143
27.12.1981 00:00:00;   143
28.12.1981 00:00:00;   142
29.12.1981 00:00:00;   143
30.12.1981 00:00:00;   142
31.12.1981 00:00:00;   143
01.01.1982 00:00:00;   147
02.01.1982 00:00:00;   147
03.01.1982 00:00:00;   147
04.01.1982 00:00:00;   147
05.01.1982 00:00:00;   166
06.01.1982 00:00:00;   212
07.01.1982 00:00:00;   183
08.01.1982 00:00:00;   163
09.01.1982 00:00:00;   159
10.01.1982 00:00:00;   156
11.01.1982 00:00:00;   153
12.01.1982 00:00:00;   152
13.01.1982 00:00:00;   149
14.01.1982 00:00:00;   149
15.01.1982 00:00:00;   147
16.01.1982 00:00:00;   146
17.01.1982 00:00:00;   145
18.01.1982 00:00:00;   145
19.01.1982 00:00:00;   145
20.01.1982 00:00:00;   145
21.01.1982 00:00:00;   144
22.01.1982 00:00:00;   143
23.01.1982 00:00:00;   143
24.01.1982 00:00:00;   143
25.01.1982 00:00:00;   142
26.01.1982 00:00:00;   141
27.01.1982 00:00:00;   142
28.01.1982 00:00:00;   141
29.01.1982 00:00:00;   141
30.01.1982 00:00:00;   151
31.01.1982 00:00:00;   209
01.02.1982 00:00:00;   167
02.02.1982 00:00:00;   155
03.02.1982 00:00:00;   151
04.02.1982 00:00:00;   148
05.02.1982 00:00:00;   146
06.02.1982 00:00:00;   145
07.02.1982 00:00:00;   144
08.02.1982 00:00:00;   143
09.02.1982 00:00:00;   147
10.02.1982 00:00:00;   145
11.02.1982 00:00:00;   144
12.02.1982 00:00:00;   143
13.02.1982 00:00:00;   143
14.02.1982 00:00:00;   141
15.02.1982 00:00:00;   141
16.02.1982 00:00:00;   140
17.02.1982 00:00:00;   140
18.02.1982 00:00:00;   140
19.02.1982 00:00:00;   139
20.02.1982 00:00:00;   138
21.02.1982 00:00:00;   137
22.02.1982 00:00:00;   137
23.02.1982 00:00:00;   137
24.02.1982 00:00:00;   136
25.02.1982 00:00:00;   136
26.02.1982 00:00:00;   135
27.02.1982 00:00:00;   135
28.02.1982 00:00:00;   134
01.03.1982 00:00:00;   136
02.03.1982 00:00:00;   139
03.03.1982 00:00:00;   139
04.03.1982 00:00:00;   141
05.03.1982 00:00:00;   146
06.03.1982 00:00:00;   147
07.03.1982 00:00:00;   142
08.03.1982 00:00:00;   147
09.03.1982 00:00:00;   151
10.03.1982 00:00:00;   150
11.03.1982 00:00:00;   162
12.03.1982 00:00:00;   154
13.03.1982 00:00:00;   150
14.03.1982 00:00:00;   147
15.03.1982 00:00:00;   145
16.03.1982 00:00:00;   146
17.03.1982 00:00:00;   150
18.03.1982 00:00:00;   160
19.03.1982 00:00:00;   155
20.03.1982 00:00:00;   151
21.03.1982 00:00:00;   150
22.03.1982 00:00:00;   151
23.03.1982 00:00:00;   152
24.03.1982 00:00:00;   151
25.03.1982 00:00:00;   153
26.03.1982 00:00:00;   156
27.03.1982 00:00:00;   168
28.03.1982 00:00:00;   176
29.03.1982 00:00:00;   176
30.03.1982 00:00:00;   180
31.03.1982 00:00:00;   197
01.04.1982 00:00:00;   190
02.04.1982 00:00:00;   187
03.04.1982 00:00:00;   180
04.04.1982 00:00:00;   176
05.04.1982 00:00:00;   176
06.04.1982 00:00:00;   175
07.04.1982 00:00:00;   180
08.04.1982 00:00:00;   177
09.04.1982 00:00:00;   175
10.04.1982 00:00:00;   167
11.04.1982 00:00:00;   166
12.04.1982 00:00:00;   165
13.04.1982 00:00:00;   161
14.04.1982 00:00:00;   158
15.04.1982 00:00:00;   156
16.04.1982 00:00:00;   155
17.04.1982 00:00:00;   154
18.04.1982 00:00:00;   153
19.04.1982 00:00:00;   151
20.04.1982 00:00:00;   150
21.04.1982 00:00:00;   149
22.04.1982 00:00:00;   149
23.04.1982 00:00:00;   148
24.04.1982 00:00:00;   147
25.04.1982 00:00:00;   147
26.04.1982 00:00:00;   147
27.04.1982 00:00:00;   145
28.04.1982 00:00:00;   145
29.04.1982 00:00:00;   145
30.04.1982 00:00:00;   149
01.05.1982 00:00:00;   146
02.05.1982 00:00:00;   145
03.05.1982 00:00:00;   144
04.05.1982 00:00:00;   143
05.05.1982 00:00:00;   142
06.05.1982 00:00:00;   142
07.05.1982 00:00:00;   143
08.05.1982 00:00:00;   141
09.05.1982 00:00:00;   140
10.05.1982 00:00:00;   140
11.05.1982 00:00:00;   151
12.05.1982 00:00:00;   142
13.05.1982 00:00:00;   140
14.05.1982 00:00:00;   139
15.05.1982 00:00:00;   138
16.05.1982 00:00:00;   137
17.05.1982 00:00:00;   136
18.05.1982 00:00:00;   135
19.05.1982 00:00:00;   135
20.05.1982 00:00:00;   135
21.05.1982 00:00:00;   137
22.05.1982 00:00:00;   137
23.05.1982 00:00:00;   136
24.05.1982 00:00:00;   141
25.05.1982 00:00:00;   136
26.05.1982 00:00:00;   134
27.05.1982 00:00:00;   133
28.05.1982 00:00:00;   132
29.05.1982 00:00:00;   133
30.05.1982 00:00:00;   132
31.05.1982 00:00:00;   131
01.06.1982 00:00:00;   130
02.06.1982 00:00:00;   130
03.06.1982 00:00:00;   129
04.06.1982 00:00:00;   128
05.06.1982 00:00:00;   128
06.06.1982 00:00:00;   129
07.06.1982 00:00:00;   129
08.06.1982 00:00:00;   129
09.06.1982 00:00:00;   129
10.06.1982 00:00:00;   130
11.06.1982 00:00:00;   129
12.06.1982 00:00:00;   138
13.06.1982 00:00:00;   136
14.06.1982 00:00:00;   136
15.06.1982 00:00:00;   133
16.06.1982 00:00:00;   134
17.06.1982 00:00:00;   138
18.06.1982 00:00:00;   133
19.06.1982 00:00:00;   136
20.06.1982 00:00:00;   135
21.06.1982 00:00:00;   132
22.06.1982 00:00:00;   131
23.06.1982 00:00:00;   132
24.06.1982 00:00:00;   134
25.06.1982 00:00:00;   131
26.06.1982 00:00:00;   137
27.06.1982 00:00:00;   160
28.06.1982 00:00:00;   147
29.06.1982 00:00:00;   141
30.06.1982 00:00:00;   138
01.07.1982 00:00:00;   135
02.07.1982 00:00:00;   132
03.07.1982 00:00:00;   130
04.07.1982 00:00:00;   130
05.07.1982 00:00:00;   130
06.07.1982 00:00:00;   129
07.07.1982 00:00:00;   129
08.07.1982 00:00:00;   128
09.07.1982 00:00:00;   127
10.07.1982 00:00:00;   127
11.07.1982 00:00:00;   127
12.07.1982 00:00:00;   126
13.07.1982 00:00:00;   126
14.07.1982 00:00:00;   126
15.07.1982 00:00:00;   125
16.07.1982 00:00:00;   125
17.07.1982 00:00:00;   128
18.07.1982 00:00:00;   130
19.07.1982 00:00:00;   127
20.07.1982 00:00:00;   127
21.07.1982 00:00:00;   126
22.07.1982 00:00:00;   125
23.07.1982 00:00:00;   126
24.07.1982 00:00:00;   126
25.07.1982 00:00:00;   126
26.07.1982 00:00:00;   126
27.07.1982 00:00:00;   126
28.07.1982 00:00:00;   125
29.07.1982 00:00:00;   125
30.07.1982 00:00:00;   124
31.07.1982 00:00:00;   129
01.08.1982 00:00:00;   141
02.08.1982 00:00:00;   128
03.08.1982 00:00:00;   125
04.08.1982 00:00:00;   127
05.08.1982 00:00:00;   125
06.08.1982 00:00:00;   124
07.08.1982 00:00:00;   140
08.08.1982 00:00:00;   128
09.08.1982 00:00:00;   126
10.08.1982 00:00:00;   126
11.08.1982 00:00:00;   125
12.08.1982 00:00:00;   124
13.08.1982 00:00:00;   124
14.08.1982 00:00:00;   124
15.08.1982 00:00:00;   123
16.08.1982 00:00:00;   131
17.08.1982 00:00:00;   136
18.08.1982 00:00:00;   135
19.08.1982 00:00:00;   129
20.08.1982 00:00:00;   128
21.08.1982 00:00:00;   134
22.08.1982 00:00:00;   128
23.08.1982 00:00:00;   127
24.08.1982 00:00:00;   126
25.08.1982 00:00:00;   125
26.08.1982 00:00:00;   124
27.08.1982 00:00:00;   124
28.08.1982 00:00:00;   128
29.08.1982 00:00:00;   130
30.08.1982 00:00:00;   127
31.08.1982 00:00:00;   126
01.09.1982 00:00:00;   127
02.09.1982 00:00:00;   126
03.09.1982 00:00:00;   125
04.09.1982 00:00:00;   124
05.09.1982 00:00:00;   123
06.09.1982 00:00:00;   124
07.09.1982 00:00:00;   130
08.09.1982 00:00:00;   127
09.09.1982 00:00:00;   126
10.09.1982 00:00:00;   125
11.09.1982 00:00:00;   123
12.09.1982 00:00:00;   123
13.09.1982 00:00:00;   122
14.09.1982 00:00:00;   121
15.09.1982 00:00:00;   121
16.09.1982 00:00:00;   121
17.09.1982 00:00:00;   122
18.09.1982 00:00:00;   121
19.09.1982 00:00:00;   121
20.09.1982 00:00:00;   121
21.09.1982 00:00:00;   121
22.09.1982 00:00:00;   121
23.09.1982 00:00:00;   128
24.09.1982 00:00:00;   126
25.09.1982 00:00:00;   124
26.09.1982 00:00:00;   122
27.09.1982 00:00:00;   121
28.09.1982 00:00:00;   121
29.09.1982 00:00:00;   121
30.09.1982 00:00:00;   120
01.10.1982 00:00:00;   121
02.10.1982 00:00:00;   123
03.10.1982 00:00:00;   122
04.10.1982 00:00:00;   121
05.10.1982 00:00:00;   121
06.10.1982 00:00:00;   121
07.10.1982 00:00:00;   121
08.10.1982 00:00:00;   120
09.10.1982 00:00:00;   120
10.10.1982 00:00:00;   120
11.10.1982 00:00:00;   122
12.10.1982 00:00:00;   124
13.10.1982 00:00:00;   124
14.10.1982 00:00:00;   127
15.10.1982 00:00:00;   127
16.10.1982 00:00:00;   126
17.10.1982 00:00:00;   125
18.10.1982 00:00:00;   124
19.10.1982 00:00:00;   122
20.10.1982 00:00:00;   122
21.10.1982 00:00:00;   122
22.10.1982 00:00:00;   122
23.10.1982 00:00:00;   122
24.10.1982 00:00:00;   123
25.10.1982 00:00:00;   123
26.10.1982 00:00:00;   123
27.10.1982 00:00:00;   122
28.10.1982 00:00:00;   123
29.10.1982 00:00:00;   122
30.10.1982 00:00:00;   122
31.10.1982 00:00:00;   122
01.11.1982 00:00:00;   123
02.11.1982 00:00:00;   123
03.11.1982 00:00:00;   123
04.11.1982 00:00:00;   123
05.11.1982 00:00:00;   122
06.11.1982 00:00:00;   122
07.11.1982 00:00:00;   122
08.11.1982 00:00:00;   122
09.11.1982 00:00:00;   121
10.11.1982 00:00:00;   122
11.11.1982 00:00:00;   122
12.11.1982 00:00:00;   121
13.11.1982 00:00:00;   122
14.11.1982 00:00:00;   126
15.11.1982 00:00:00;   125
16.11.1982 00:00:00;   123
17.11.1982 00:00:00;   124
18.11.1982 00:00:00;   127
19.11.1982 00:00:00;   154
20.11.1982 00:00:00;   140
21.11.1982 00:00:00;   130
22.11.1982 00:00:00;   128
23.11.1982 00:00:00;   126
24.11.1982 00:00:00;   126
25.11.1982 00:00:00;   125
26.11.1982 00:00:00;   124
27.11.1982 00:00:00;   124
28.11.1982 00:00:00;   123
29.11.1982 00:00:00;   123
30.11.1982 00:00:00;   124
01.12.1982 00:00:00;   124
02.12.1982 00:00:00;   123
03.12.1982 00:00:00;   123
04.12.1982 00:00:00;   123
05.12.1982 00:00:00;   123
06.12.1982 00:00:00;   122
07.12.1982 00:00:00;   123
08.12.1982 00:00:00;   128
09.12.1982 00:00:00;   138
10.12.1982 00:00:00;   139
11.12.1982 00:00:00;   149
12.12.1982 00:00:00;   135
13.12.1982 00:00:00;   131
14.12.1982 00:00:00;   129
15.12.1982 00:00:00;   130
16.12.1982 00:00:00;   155
17.12.1982 00:00:00;   164
18.12.1982 00:00:00;   144
19.12.1982 00:00:00;   137
20.12.1982 00:00:00;   133
21.12.1982 00:00:00;   137
22.12.1982 00:00:00;   135
23.12.1982 00:00:00;   132
24.12.1982 00:00:00;   130
25.12.1982 00:00:00;   129
26.12.1982 00:00:00;   129
27.12.1982 00:00:00;   128
28.12.1982 00:00:00;   145
29.12.1982 00:00:00;   138
30.12.1982 00:00:00;   133
31.12.1982 00:00:00;   130
01.01.1983 00:00:00;   129
02.01.1983 00:00:00;   128
03.01.1983 00:00:00;   130
04.01.1983 00:00:00;   183
05.01.1983 00:00:00;   170
06.01.1983 00:00:00;   183
07.01.1983 00:00:00;   155
08.01.1983 00:00:00;   149
09.01.1983 00:00:00;   143
10.01.1983 00:00:00;   142
11.01.1983 00:00:00;   142
12.01.1983 00:00:00;   141
13.01.1983 00:00:00;   138
14.01.1983 00:00:00;   136
15.01.1983 00:00:00;   137
16.01.1983 00:00:00;   151
17.01.1983 00:00:00;   222
18.01.1983 00:00:00;   187
19.01.1983 00:00:00;   162
20.01.1983 00:00:00;   155
21.01.1983 00:00:00;   150
22.01.1983 00:00:00;   148
23.01.1983 00:00:00;   146
24.01.1983 00:00:00;   144
25.01.1983 00:00:00;   142
26.01.1983 00:00:00;   153
27.01.1983 00:00:00;   172
28.01.1983 00:00:00;   190
29.01.1983 00:00:00;   199
30.01.1983 00:00:00;   197
31.01.1983 00:00:00;   180
01.02.1983 00:00:00;   180
02.02.1983 00:00:00;   175
03.02.1983 00:00:00;   166
04.02.1983 00:00:00;   162
05.02.1983 00:00:00;   159
06.02.1983 00:00:00;   158
07.02.1983 00:00:00;   155
08.02.1983 00:00:00;   154
09.02.1983 00:00:00;   152
10.02.1983 00:00:00;   150
11.02.1983 00:00:00;   149
12.02.1983 00:00:00;   148
13.02.1983 00:00:00;   147
14.02.1983 00:00:00;   146
15.02.1983 00:00:00;   145
16.02.1983 00:00:00;   142
17.02.1983 00:00:00;   144
18.02.1983 00:00:00;   142
19.02.1983 00:00:00;   141
20.02.1983 00:00:00;   141
21.02.1983 00:00:00;   140
22.02.1983 00:00:00;   138
23.02.1983 00:00:00;   139
24.02.1983 00:00:00;   139
25.02.1983 00:00:00;   138
26.02.1983 00:00:00;   138
27.02.1983 00:00:00;   139
28.02.1983 00:00:00;   144
01.03.1983 00:00:00;   146
02.03.1983 00:00:00;   143
03.03.1983 00:00:00;   142
04.03.1983 00:00:00;   141
05.03.1983 00:00:00;   140
06.03.1983 00:00:00;   140
07.03.1983 00:00:00;   145
08.03.1983 00:00:00;   160
09.03.1983 00:00:00;   156
10.03.1983 00:00:00;   156
11.03.1983 00:00:00;   153
12.03.1983 00:00:00;   150
13.03.1983 00:00:00;   145
14.03.1983 00:00:00;   143
15.03.1983 00:00:00;   144
16.03.1983 00:00:00;   144
17.03.1983 00:00:00;   144
18.03.1983 00:00:00;   145
19.03.1983 00:00:00;   158
20.03.1983 00:00:00;   168
21.03.1983 00:00:00;   153
22.03.1983 00:00:00;   150
23.03.1983 00:00:00;   149
24.03.1983 00:00:00;   147
25.03.1983 00:00:00;   150
26.03.1983 00:00:00;   151
27.03.1983 00:00:00;   149
28.03.1983 00:00:00;   150
29.03.1983 00:00:00;   152
30.03.1983 00:00:00;   152
31.03.1983 00:00:00;   149
01.04.1983 00:00:00;   147
02.04.1983 00:00:00;   146
03.04.1983 00:00:00;   149
04.04.1983 00:00:00;   147
05.04.1983 00:00:00;   145
06.04.1983 00:00:00;   145
07.04.1983 00:00:00;   150
08.04.1983 00:00:00;   169
09.04.1983 00:00:00;   170
10.04.1983 00:00:00;   186
11.04.1983 00:00:00;   165
12.04.1983 00:00:00;   161
13.04.1983 00:00:00;   162
14.04.1983 00:00:00;   160
15.04.1983 00:00:00;   178
16.04.1983 00:00:00;   173
17.04.1983 00:00:00;   162
18.04.1983 00:00:00;   157
19.04.1983 00:00:00;   155
20.04.1983 00:00:00;   152
21.04.1983 00:00:00;   151
22.04.1983 00:00:00;   152
23.04.1983 00:00:00;   150
24.04.1983 00:00:00;   149
25.04.1983 00:00:00;   146
26.04.1983 00:00:00;   145
27.04.1983 00:00:00;   150
28.04.1983 00:00:00;   148
29.04.1983 00:00:00;   146
30.04.1983 00:00:00;   141
01.05.1983 00:00:00;   142
02.05.1983 00:00:00;   164
03.05.1983 00:00:00;   147
04.05.1983 00:00:00;   141
05.05.1983 00:00:00;   142
06.05.1983 00:00:00;   139
07.05.1983 00:00:00;   134
08.05.1983 00:00:00;   143
09.05.1983 00:00:00;   169
10.05.1983 00:00:00;   154
11.05.1983 00:00:00;   149
12.05.1983 00:00:00;   149
13.05.1983 00:00:00;   144
14.05.1983 00:00:00;   142
15.05.1983 00:00:00;   140
16.05.1983 00:00:00;   139
17.05.1983 00:00:00;   138
18.05.1983 00:00:00;   137
19.05.1983 00:00:00;   136
20.05.1983 00:00:00;   136
21.05.1983 00:00:00;   135
22.05.1983 00:00:00;   135
23.05.1983 00:00:00;   134
24.05.1983 00:00:00;   137
25.05.1983 00:00:00;   140
26.05.1983 00:00:00;   136
27.05.1983 00:00:00;   135
28.05.1983 00:00:00;   134
29.05.1983 00:00:00;   133
30.05.1983 00:00:00;   135
31.05.1983 00:00:00;   134
01.06.1983 00:00:00;   133
02.06.1983 00:00:00;   133
03.06.1983 00:00:00;   134
04.06.1983 00:00:00;   132
05.06.1983 00:00:00;   132
06.06.1983 00:00:00;   132
07.06.1983 00:00:00;   132
08.06.1983 00:00:00;   132
09.06.1983 00:00:00;   131
10.06.1983 00:00:00;   132
11.06.1983 00:00:00;   133
12.06.1983 00:00:00;   133
13.06.1983 00:00:00;   136
14.06.1983 00:00:00;   144
15.06.1983 00:00:00;   140
16.06.1983 00:00:00;   138
17.06.1983 00:00:00;   135
18.06.1983 00:00:00;   134
19.06.1983 00:00:00;   135
20.06.1983 00:00:00;   135
21.06.1983 00:00:00;   136
22.06.1983 00:00:00;   133
23.06.1983 00:00:00;   135
24.06.1983 00:00:00;   131
25.06.1983 00:00:00;   130
26.06.1983 00:00:00;   130
27.06.1983 00:00:00;   133
28.06.1983 00:00:00;   138
29.06.1983 00:00:00;   132
30.06.1983 00:00:00;   130
01.07.1983 00:00:00;   131
02.07.1983 00:00:00;   132
03.07.1983 00:00:00;   130
04.07.1983 00:00:00;   129
05.07.1983 00:00:00;   129
06.07.1983 00:00:00;   128
07.07.1983 00:00:00;   127
08.07.1983 00:00:00;   127
09.07.1983 00:00:00;   127
10.07.1983 00:00:00;   128
11.07.1983 00:00:00;   127
12.07.1983 00:00:00;   126
13.07.1983 00:00:00;   126
14.07.1983 00:00:00;   126
15.07.1983 00:00:00;   126
16.07.1983 00:00:00;   125
17.07.1983 00:00:00;   124
18.07.1983 00:00:00;   124
19.07.1983 00:00:00;   124
20.07.1983 00:00:00;   126
21.07.1983 00:00:00;   125
22.07.1983 00:00:00;   124
23.07.1983 00:00:00;   124
24.07.1983 00:00:00;   124
25.07.1983 00:00:00;   124
26.07.1983 00:00:00;   123
27.07.1983 00:00:00;   123
28.07.1983 00:00:00;   122
29.07.1983 00:00:00;   124
30.07.1983 00:00:00;   123
31.07.1983 00:00:00;   123
01.08.1983 00:00:00;   122
02.08.1983 00:00:00;   133
03.08.1983 00:00:00;   157
04.08.1983 00:00:00;   133
05.08.1983 00:00:00;   142
06.08.1983 00:00:00;   147
07.08.1983 00:00:00;   138
08.08.1983 00:00:00;   131
09.08.1983 00:00:00;   128
10.08.1983 00:00:00;   128
11.08.1983 00:00:00;   152
12.08.1983 00:00:00;   133
13.08.1983 00:00:00;   129
14.08.1983 00:00:00;   127
15.08.1983 00:00:00;   126
16.08.1983 00:00:00;   125
17.08.1983 00:00:00;   133
18.08.1983 00:00:00;   129
19.08.1983 00:00:00;   126
20.08.1983 00:00:00;   125
21.08.1983 00:00:00;   125
22.08.1983 00:00:00;   124
23.08.1983 00:00:00;   124
24.08.1983 00:00:00;   123
25.08.1983 00:00:00;   123
26.08.1983 00:00:00;   123
27.08.1983 00:00:00;   123
28.08.1983 00:00:00;   123
29.08.1983 00:00:00;   123
30.08.1983 00:00:00;   123
31.08.1983 00:00:00;   123
01.09.1983 00:00:00;   122
02.09.1983 00:00:00;   123
03.09.1983 00:00:00;   124
04.09.1983 00:00:00;   125
05.09.1983 00:00:00;   124
06.09.1983 00:00:00;   124
07.09.1983 00:00:00;   124
08.09.1983 00:00:00;   123
09.09.1983 00:00:00;   123
10.09.1983 00:00:00;   123
11.09.1983 00:00:00;   123
12.09.1983 00:00:00;   123
13.09.1983 00:00:00;   124
14.09.1983 00:00:00;   123
15.09.1983 00:00:00;   123
16.09.1983 00:00:00;   124
17.09.1983 00:00:00;   126
18.09.1983 00:00:00;   126
19.09.1983 00:00:00;   125
20.09.1983 00:00:00;   124
21.09.1983 00:00:00;   124
22.09.1983 00:00:00;   123
23.09.1983 00:00:00;   123
24.09.1983 00:00:00;   123
25.09.1983 00:00:00;   123
26.09.1983 00:00:00;   123
27.09.1983 00:00:00;   123
28.09.1983 00:00:00;   123
29.09.1983 00:00:00;   122
30.09.1983 00:00:00;   122
01.10.1983 00:00:00;   123
02.10.1983 00:00:00;   122
03.10.1983 00:00:00;   123
04.10.1983 00:00:00;   122
05.10.1983 00:00:00;   121
06.10.1983 00:00:00;   122
07.10.1983 00:00:00;   122
08.10.1983 00:00:00;   122
09.10.1983 00:00:00;   130
10.10.1983 00:00:00;   130
11.10.1983 00:00:00;   128
12.10.1983 00:00:00;   134
13.10.1983 00:00:00;   129
14.10.1983 00:00:00;   127
15.10.1983 00:00:00;   126
16.10.1983 00:00:00;   126
17.10.1983 00:00:00;   126
18.10.1983 00:00:00;   126
19.10.1983 00:00:00;   125
20.10.1983 00:00:00;   125
21.10.1983 00:00:00;   125
22.10.1983 00:00:00;   125
23.10.1983 00:00:00;   124
24.10.1983 00:00:00;   123
25.10.1983 00:00:00;   123
26.10.1983 00:00:00;   122
27.10.1983 00:00:00;   123
28.10.1983 00:00:00;   122
29.10.1983 00:00:00;   122
30.10.1983 00:00:00;   122
31.10.1983 00:00:00;   122
01.11.1983 00:00:00;   121
02.11.1983 00:00:00;   121
03.11.1983 00:00:00;   120
04.11.1983 00:00:00;   120
05.11.1983 00:00:00;   120
06.11.1983 00:00:00;   120
07.11.1983 00:00:00;   120
08.11.1983 00:00:00;   120
09.11.1983 00:00:00;   121
10.11.1983 00:00:00;   121
11.11.1983 00:00:00;   120
12.11.1983 00:00:00;   120
13.11.1983 00:00:00;   120
14.11.1983 00:00:00;   120
15.11.1983 00:00:00;   120
16.11.1983 00:00:00;   120
17.11.1983 00:00:00;   120
18.11.1983 00:00:00;   120
19.11.1983 00:00:00;   120
20.11.1983 00:00:00;   120
21.11.1983 00:00:00;   120
22.11.1983 00:00:00;   120
23.11.1983 00:00:00;   119
24.11.1983 00:00:00;   118
25.11.1983 00:00:00;   121
26.11.1983 00:00:00;   137
27.11.1983 00:00:00;   161
28.11.1983 00:00:00;   164
29.11.1983 00:00:00;   146
30.11.1983 00:00:00;   143
01.12.1983 00:00:00;   136
02.12.1983 00:00:00;   133
03.12.1983 00:00:00;   126
04.12.1983 00:00:00;   121
05.12.1983 00:00:00;   120
06.12.1983 00:00:00;   120
07.12.1983 00:00:00;   120
08.12.1983 00:00:00;   122
09.12.1983 00:00:00;   120
10.12.1983 00:00:00;   119
11.12.1983 00:00:00;   118
12.12.1983 00:00:00;   119
13.12.1983 00:00:00;   120
14.12.1983 00:00:00;   120
15.12.1983 00:00:00;   120
16.12.1983 00:00:00;   120
17.12.1983 00:00:00;   120
18.12.1983 00:00:00;   120
19.12.1983 00:00:00;   120
20.12.1983 00:00:00;   120
21.12.1983 00:00:00;   120
22.12.1983 00:00:00;   120
23.12.1983 00:00:00;   120
24.12.1983 00:00:00;   160
25.12.1983 00:00:00;   151
26.12.1983 00:00:00;   143
27.12.1983 00:00:00;   152
28.12.1983 00:00:00;   140
29.12.1983 00:00:00;   133
30.12.1983 00:00:00;   131
31.12.1983 00:00:00;   131
01.01.1984 00:00:00;   130
02.01.1984 00:00:00;   129
03.01.1984 00:00:00;   128
04.01.1984 00:00:00;   128
05.01.1984 00:00:00;   128
06.01.1984 00:00:00;   127
07.01.1984 00:00:00;   127
08.01.1984 00:00:00;   128
09.01.1984 00:00:00;   127
10.01.1984 00:00:00;   126
11.01.1984 00:00:00;   126
12.01.1984 00:00:00;   124
13.01.1984 00:00:00;   128
14.01.1984 00:00:00;   153
15.01.1984 00:00:00;   170
16.01.1984 00:00:00;   146
17.01.1984 00:00:00;   165
18.01.1984 00:00:00;   170
19.01.1984 00:00:00;   151
20.01.1984 00:00:00;   144
21.01.1984 00:00:00;   141
22.01.1984 00:00:00;   139
23.01.1984 00:00:00;   138
24.01.1984 00:00:00;   137
25.01.1984 00:00:00;   136
26.01.1984 00:00:00;   135
27.01.1984 00:00:00;   134
28.01.1984 00:00:00;   133
29.01.1984 00:00:00;   133
30.01.1984 00:00:00;   132
31.01.1984 00:00:00;   133
01.02.1984 00:00:00;   132
02.02.1984 00:00:00;   131
03.02.1984 00:00:00;   130
04.02.1984 00:00:00;   130
05.02.1984 00:00:00;   132
06.02.1984 00:00:00;   147
07.02.1984 00:00:00;   191
08.02.1984 00:00:00;   163
09.02.1984 00:00:00;   151
10.02.1984 00:00:00;   146
11.02.1984 00:00:00;   141
12.02.1984 00:00:00;   137
13.02.1984 00:00:00;   136
14.02.1984 00:00:00;   136
15.02.1984 00:00:00;   136
16.02.1984 00:00:00;   135
17.02.1984 00:00:00;   135
18.02.1984 00:00:00;   134
19.02.1984 00:00:00;   134
20.02.1984 00:00:00;   133
21.02.1984 00:00:00;   133
22.02.1984 00:00:00;   132
23.02.1984 00:00:00;   131
24.02.1984 00:00:00;   131
25.02.1984 00:00:00;   131
26.02.1984 00:00:00;   132
27.02.1984 00:00:00;   133
28.02.1984 00:00:00;   132
29.02.1984 00:00:00;   132
01.03.1984 00:00:00;   132
02.03.1984 00:00:00;   131
03.03.1984 00:00:00;   131
04.03.1984 00:00:00;   131
05.03.1984 00:00:00;   130
06.03.1984 00:00:00;   130
07.03.1984 00:00:00;   130
08.03.1984 00:00:00;   130
09.03.1984 00:00:00;   129
10.03.1984 00:00:00;   129
11.03.1984 00:00:00;   128
12.03.1984 00:00:00;   128
13.03.1984 00:00:00;   128
14.03.1984 00:00:00;   128
15.03.1984 00:00:00;   128
16.03.1984 00:00:00;   129
17.03.1984 00:00:00;   130
18.03.1984 00:00:00;   133
19.03.1984 00:00:00;   134
20.03.1984 00:00:00;   134
21.03.1984 00:00:00;   134
22.03.1984 00:00:00;   136
23.03.1984 00:00:00;   138
24.03.1984 00:00:00;   140
25.03.1984 00:00:00;   143
26.03.1984 00:00:00;   150
27.03.1984 00:00:00;   152
28.03.1984 00:00:00;   157
29.03.1984 00:00:00;   161
30.03.1984 00:00:00;   175
31.03.1984 00:00:00;   157
01.04.1984 00:00:00;   149
02.04.1984 00:00:00;   149
03.04.1984 00:00:00;   151
04.04.1984 00:00:00;   145
05.04.1984 00:00:00;   144
06.04.1984 00:00:00;   145
07.04.1984 00:00:00;   144
08.04.1984 00:00:00;   152
09.04.1984 00:00:00;   153
10.04.1984 00:00:00;   149
11.04.1984 00:00:00;   154
12.04.1984 00:00:00;   158
13.04.1984 00:00:00;   150
14.04.1984 00:00:00;   148
15.04.1984 00:00:00;   147
16.04.1984 00:00:00;   146
17.04.1984 00:00:00;   150
18.04.1984 00:00:00;   148
19.04.1984 00:00:00;   144
