Messstelle:                ;Kleinstetteldorf
20.05.1997 00:00:00;   119
21.05.1997 00:00:00;   134
22.05.1997 00:00:00;   138
23.05.1997 00:00:00;   131
24.05.1997 00:00:00;   125
25.05.1997 00:00:00;   123
26.05.1997 00:00:00;   123
27.05.1997 00:00:00;   124
28.05.1997 00:00:00;   124
29.05.1997 00:00:00;   123
30.05.1997 00:00:00;   123
31.05.1997 00:00:00;   122
01.06.1997 00:00:00;   121
02.06.1997 00:00:00;   121
03.06.1997 00:00:00;   121
04.06.1997 00:00:00;   120
05.06.1997 00:00:00;   120
06.06.1997 00:00:00;   120
07.06.1997 00:00:00;   120
08.06.1997 00:00:00;   120
09.06.1997 00:00:00;   119
10.06.1997 00:00:00;   119
11.06.1997 00:00:00;   119
12.06.1997 00:00:00;   120
13.06.1997 00:00:00;   119
14.06.1997 00:00:00;   120
15.06.1997 00:00:00;   120
16.06.1997 00:00:00;   119
17.06.1997 00:00:00;   125
18.06.1997 00:00:00;   122
19.06.1997 00:00:00;   121
20.06.1997 00:00:00;   121
21.06.1997 00:00:00;   119
22.06.1997 00:00:00;   119
23.06.1997 00:00:00;   121
24.06.1997 00:00:00;   120
25.06.1997 00:00:00;   119
26.06.1997 00:00:00;   119
27.06.1997 00:00:00;   118
28.06.1997 00:00:00;   117
29.06.1997 00:00:00;   117
30.06.1997 00:00:00;   117
01.07.1997 00:00:00;   121
02.07.1997 00:00:00;   119
03.07.1997 00:00:00;   119
04.07.1997 00:00:00;   118
05.07.1997 00:00:00;   118
06.07.1997 00:00:00;   145
07.07.1997 00:00:00;   157
08.07.1997 00:00:00;   180
09.07.1997 00:00:00;   163
10.07.1997 00:00:00;   142
11.07.1997 00:00:00;   137
12.07.1997 00:00:00;   138
13.07.1997 00:00:00;   139
14.07.1997 00:00:00;   134
15.07.1997 00:00:00;   134
16.07.1997 00:00:00;   142
17.07.1997 00:00:00;   135
18.07.1997 00:00:00;   134
19.07.1997 00:00:00;   141
20.07.1997 00:00:00;   142
21.07.1997 00:00:00;   138
22.07.1997 00:00:00;   143
23.07.1997 00:00:00;   147
24.07.1997 00:00:00;   140
25.07.1997 00:00:00;   137
26.07.1997 00:00:00;   135
27.07.1997 00:00:00;   133
28.07.1997 00:00:00;   133
29.07.1997 00:00:00;   132
30.07.1997 00:00:00;   132
31.07.1997 00:00:00;   131
01.08.1997 00:00:00;   140
02.08.1997 00:00:00;   136
03.08.1997 00:00:00;   135
04.08.1997 00:00:00;   135
05.08.1997 00:00:00;   134
06.08.1997 00:00:00;   133
07.08.1997 00:00:00;   133
08.08.1997 00:00:00;   132
09.08.1997 00:00:00;   133
10.08.1997 00:00:00;   135
11.08.1997 00:00:00;   134
12.08.1997 00:00:00;   134
13.08.1997 00:00:00;   134
14.08.1997 00:00:00;   133
15.08.1997 00:00:00;   134
16.08.1997 00:00:00;   133
17.08.1997 00:00:00;   133
18.08.1997 00:00:00;   134
19.08.1997 00:00:00;   136
20.08.1997 00:00:00;   134
21.08.1997 00:00:00;   133
22.08.1997 00:00:00;   133
23.08.1997 00:00:00;   133
24.08.1997 00:00:00;   133
25.08.1997 00:00:00;   133
26.08.1997 00:00:00;   133
27.08.1997 00:00:00;   132
28.08.1997 00:00:00;   132
29.08.1997 00:00:00;   135
30.08.1997 00:00:00;   136
31.08.1997 00:00:00;   134
01.09.1997 00:00:00;   133
02.09.1997 00:00:00;   133
03.09.1997 00:00:00;   132
04.09.1997 00:00:00;   132
05.09.1997 00:00:00;   132
06.09.1997 00:00:00;   133
07.09.1997 00:00:00;   134
08.09.1997 00:00:00;   132
09.09.1997 00:00:00;   131
10.09.1997 00:00:00;   130
11.09.1997 00:00:00;   129
12.09.1997 00:00:00;   129
13.09.1997 00:00:00;   128
14.09.1997 00:00:00;   129
15.09.1997 00:00:00;   128
16.09.1997 00:00:00;   127
17.09.1997 00:00:00;   127
18.09.1997 00:00:00;   127
19.09.1997 00:00:00;   127
20.09.1997 00:00:00;   127
21.09.1997 00:00:00;   127
22.09.1997 00:00:00;   127
23.09.1997 00:00:00;   127
24.09.1997 00:00:00;   127
25.09.1997 00:00:00;   127
26.09.1997 00:00:00;   126
27.09.1997 00:00:00;   126
28.09.1997 00:00:00;   126
29.09.1997 00:00:00;   126
30.09.1997 00:00:00;   126
01.10.1997 00:00:00;   125
02.10.1997 00:00:00;   125
03.10.1997 00:00:00;   125
04.10.1997 00:00:00;   125
05.10.1997 00:00:00;   124
06.10.1997 00:00:00;   124
07.10.1997 00:00:00;   124
08.10.1997 00:00:00;   124
09.10.1997 00:00:00;   124
10.10.1997 00:00:00;   124
11.10.1997 00:00:00;   125
12.10.1997 00:00:00;   126
13.10.1997 00:00:00;   125
14.10.1997 00:00:00;   124
15.10.1997 00:00:00;   124
16.10.1997 00:00:00;   124
17.10.1997 00:00:00;   124
18.10.1997 00:00:00;   124
19.10.1997 00:00:00;   124
20.10.1997 00:00:00;   124
21.10.1997 00:00:00;   124
22.10.1997 00:00:00;   124
23.10.1997 00:00:00;   124
24.10.1997 00:00:00;   124
25.10.1997 00:00:00;   124
26.10.1997 00:00:00;   124
27.10.1997 00:00:00;   124
28.10.1997 00:00:00;   124
29.10.1997 00:00:00;   124
30.10.1997 00:00:00;   124
31.10.1997 00:00:00;   124
01.11.1997 00:00:00;   124
02.11.1997 00:00:00;   124
03.11.1997 00:00:00;   124
04.11.1997 00:00:00;   124
05.11.1997 00:00:00;   125
06.11.1997 00:00:00;   124
07.11.1997 00:00:00;   124
08.11.1997 00:00:00;   125
09.11.1997 00:00:00;   125
10.11.1997 00:00:00;   124
11.11.1997 00:00:00;   124
12.11.1997 00:00:00;   124
13.11.1997 00:00:00;   124
14.11.1997 00:00:00;   135
15.11.1997 00:00:00;   128
16.11.1997 00:00:00;   129
17.11.1997 00:00:00;   128
18.11.1997 00:00:00;   128
19.11.1997 00:00:00;   127
20.11.1997 00:00:00;   126
21.11.1997 00:00:00;   126
22.11.1997 00:00:00;   126
23.11.1997 00:00:00;   126
24.11.1997 00:00:00;   126
25.11.1997 00:00:00;   127
26.11.1997 00:00:00;   127
27.11.1997 00:00:00;   127
28.11.1997 00:00:00;   127
29.11.1997 00:00:00;   128
30.11.1997 00:00:00;   130
01.12.1997 00:00:00;   134
02.12.1997 00:00:00;   135
03.12.1997 00:00:00;   140
04.12.1997 00:00:00;   138
05.12.1997 00:00:00;   134
06.12.1997 00:00:00;   133
07.12.1997 00:00:00;   131
08.12.1997 00:00:00;   130
09.12.1997 00:00:00;   130
10.12.1997 00:00:00;   130
11.12.1997 00:00:00;   130
12.12.1997 00:00:00;   131
13.12.1997 00:00:00;   131
14.12.1997 00:00:00;   130
15.12.1997 00:00:00;   129
16.12.1997 00:00:00;   129
17.12.1997 00:00:00;   129
18.12.1997 00:00:00;   132
19.12.1997 00:00:00;   128
20.12.1997 00:00:00;   128
21.12.1997 00:00:00;   127
22.12.1997 00:00:00;   126
23.12.1997 00:00:00;   126
24.12.1997 00:00:00;   127
25.12.1997 00:00:00;   128
26.12.1997 00:00:00;   129
27.12.1997 00:00:00;   128
28.12.1997 00:00:00;   127
29.12.1997 00:00:00;   127
30.12.1997 00:00:00;   128
31.12.1997 00:00:00;   128
01.01.1998 00:00:00;   127
02.01.1998 00:00:00;   127
03.01.1998 00:00:00;   127
04.01.1998 00:00:00;   127
05.01.1998 00:00:00;   127
06.01.1998 00:00:00;   127
07.01.1998 00:00:00;   127
08.01.1998 00:00:00;   126
09.01.1998 00:00:00;   126
10.01.1998 00:00:00;   126
11.01.1998 00:00:00;   126
12.01.1998 00:00:00;   126
13.01.1998 00:00:00;   126
14.01.1998 00:00:00;   126
15.01.1998 00:00:00;   126
16.01.1998 00:00:00;   126
17.01.1998 00:00:00;   126
18.01.1998 00:00:00;   126
19.01.1998 00:00:00;   126
20.01.1998 00:00:00;   126
21.01.1998 00:00:00;   126
22.01.1998 00:00:00;   126
23.01.1998 00:00:00;   125
24.01.1998 00:00:00;   125
25.01.1998 00:00:00;   124
26.01.1998 00:00:00;   125
27.01.1998 00:00:00;   125
28.01.1998 00:00:00;   123
29.01.1998 00:00:00;   123
30.01.1998 00:00:00;   125
31.01.1998 00:00:00;   123
01.02.1998 00:00:00;   125
02.02.1998 00:00:00;   124
03.02.1998 00:00:00;   125
04.02.1998 00:00:00;   124
05.02.1998 00:00:00;   124
06.02.1998 00:00:00;   124
07.02.1998 00:00:00;   124
08.02.1998 00:00:00;   124
09.02.1998 00:00:00;   125
10.02.1998 00:00:00;   125
11.02.1998 00:00:00;   126
12.02.1998 00:00:00;   127
13.02.1998 00:00:00;   127
14.02.1998 00:00:00;   128
15.02.1998 00:00:00;   128
16.02.1998 00:00:00;   127
17.02.1998 00:00:00;   126
18.02.1998 00:00:00;   126
19.02.1998 00:00:00;   126
20.02.1998 00:00:00;   126
21.02.1998 00:00:00;   125
22.02.1998 00:00:00;   125
23.02.1998 00:00:00;   124
24.02.1998 00:00:00;   124
25.02.1998 00:00:00;   124
26.02.1998 00:00:00;   125
27.02.1998 00:00:00;   125
28.02.1998 00:00:00;   125
01.03.1998 00:00:00;   126
02.03.1998 00:00:00;   126
03.03.1998 00:00:00;   125
04.03.1998 00:00:00;   125
05.03.1998 00:00:00;   125
06.03.1998 00:00:00;   125
07.03.1998 00:00:00;   126
08.03.1998 00:00:00;   125
09.03.1998 00:00:00;   125
10.03.1998 00:00:00;   125
11.03.1998 00:00:00;   124
12.03.1998 00:00:00;   124
13.03.1998 00:00:00;   124
14.03.1998 00:00:00;   124
15.03.1998 00:00:00;   124
16.03.1998 00:00:00;   124
17.03.1998 00:00:00;   128
18.03.1998 00:00:00;   133
19.03.1998 00:00:00;   129
20.03.1998 00:00:00;   128
21.03.1998 00:00:00;   127
22.03.1998 00:00:00;   126
23.03.1998 00:00:00;   126
24.03.1998 00:00:00;   126
25.03.1998 00:00:00;   126
26.03.1998 00:00:00;   126
27.03.1998 00:00:00;   126
28.03.1998 00:00:00;   126
29.03.1998 00:00:00;   126
30.03.1998 00:00:00;   126
31.03.1998 00:00:00;   126
01.04.1998 00:00:00;   127
02.04.1998 00:00:00;   127
03.04.1998 00:00:00;   128
04.04.1998 00:00:00;   128
05.04.1998 00:00:00;   127
06.04.1998 00:00:00;   128
07.04.1998 00:00:00;   128
08.04.1998 00:00:00;   127
09.04.1998 00:00:00;   126
10.04.1998 00:00:00;   126
11.04.1998 00:00:00;   126
12.04.1998 00:00:00;   131
13.04.1998 00:00:00;   129
14.04.1998 00:00:00;   128
15.04.1998 00:00:00;   128
16.04.1998 00:00:00;   127
17.04.1998 00:00:00;   127
18.04.1998 00:00:00;   127
19.04.1998 00:00:00;   127
20.04.1998 00:00:00;   126
21.04.1998 00:00:00;   126
22.04.1998 00:00:00;   126
23.04.1998 00:00:00;   126
24.04.1998 00:00:00;   126
25.04.1998 00:00:00;   127
26.04.1998 00:00:00;   126
27.04.1998 00:00:00;   126
28.04.1998 00:00:00;   126
29.04.1998 00:00:00;   126
30.04.1998 00:00:00;   126
01.05.1998 00:00:00;   125
02.05.1998 00:00:00;   125
03.05.1998 00:00:00;   125
04.05.1998 00:00:00;   124
05.05.1998 00:00:00;   124
06.05.1998 00:00:00;   124
07.05.1998 00:00:00;   124
08.05.1998 00:00:00;   124
09.05.1998 00:00:00;   124
10.05.1998 00:00:00;   123
11.05.1998 00:00:00;   121
12.05.1998 00:00:00;   121
13.05.1998 00:00:00;   122
14.05.1998 00:00:00;   122
15.05.1998 00:00:00;   122
16.05.1998 00:00:00;   122
17.05.1998 00:00:00;   126
18.05.1998 00:00:00;   128
19.05.1998 00:00:00;   130
20.05.1998 00:00:00;   129
21.05.1998 00:00:00;   130
22.05.1998 00:00:00;   130
23.05.1998 00:00:00;   129
24.05.1998 00:00:00;   128
25.05.1998 00:00:00;   127
26.05.1998 00:00:00;   127
27.05.1998 00:00:00;   127
28.05.1998 00:00:00;   126
29.05.1998 00:00:00;   126
30.05.1998 00:00:00;   125
31.05.1998 00:00:00;   124
01.06.1998 00:00:00;   121
02.06.1998 00:00:00;   121
03.06.1998 00:00:00;   120
04.06.1998 00:00:00;   120
05.06.1998 00:00:00;   119
06.06.1998 00:00:00;   119
07.06.1998 00:00:00;   118
08.06.1998 00:00:00;   118
09.06.1998 00:00:00;   119
10.06.1998 00:00:00;   119
11.06.1998 00:00:00;   121
12.06.1998 00:00:00;   122
13.06.1998 00:00:00;   151
14.06.1998 00:00:00;   141
15.06.1998 00:00:00;   132
16.06.1998 00:00:00;   135
17.06.1998 00:00:00;   131
18.06.1998 00:00:00;   130
19.06.1998 00:00:00;   129
20.06.1998 00:00:00;   129
21.06.1998 00:00:00;   128
22.06.1998 00:00:00;   140
23.06.1998 00:00:00;   142
24.06.1998 00:00:00;   136
25.06.1998 00:00:00;   135
26.06.1998 00:00:00;   134
27.06.1998 00:00:00;   135
28.06.1998 00:00:00;   136
29.06.1998 00:00:00;   136
30.06.1998 00:00:00;   136
01.07.1998 00:00:00;   138
02.07.1998 00:00:00;   140
03.07.1998 00:00:00;   140
04.07.1998 00:00:00;   140
05.07.1998 00:00:00;   142
06.07.1998 00:00:00;   144
07.07.1998 00:00:00;   143
08.07.1998 00:00:00;   144
09.07.1998 00:00:00;   144
10.07.1998 00:00:00;   141
11.07.1998 00:00:00;   140
12.07.1998 00:00:00;   139
13.07.1998 00:00:00;   138
14.07.1998 00:00:00;   138
15.07.1998 00:00:00;   138
16.07.1998 00:00:00;   138
17.07.1998 00:00:00;   141
18.07.1998 00:00:00;   140
19.07.1998 00:00:00;   144
20.07.1998 00:00:00;   139
21.07.1998 00:00:00;   138
22.07.1998 00:00:00;   138
23.07.1998 00:00:00;   138
24.07.1998 00:00:00;   140
25.07.1998 00:00:00;   146
26.07.1998 00:00:00;   142
27.07.1998 00:00:00;   144
28.07.1998 00:00:00;   150
29.07.1998 00:00:00;   145
30.07.1998 00:00:00;   142
31.07.1998 00:00:00;   143
01.08.1998 00:00:00;   145
02.08.1998 00:00:00;   142
03.08.1998 00:00:00;   140
04.08.1998 00:00:00;   140
05.08.1998 00:00:00;   140
06.08.1998 00:00:00;   140
07.08.1998 00:00:00;   139
08.08.1998 00:00:00;   138
09.08.1998 00:00:00;   138
10.08.1998 00:00:00;   137
11.08.1998 00:00:00;   136
12.08.1998 00:00:00;   135
13.08.1998 00:00:00;   139
14.08.1998 00:00:00;   155
15.08.1998 00:00:00;   140
16.08.1998 00:00:00;   139
17.08.1998 00:00:00;   138
18.08.1998 00:00:00;   137
19.08.1998 00:00:00;   136
20.08.1998 00:00:00;   135
21.08.1998 00:00:00;   135
22.08.1998 00:00:00;   134
23.08.1998 00:00:00;   135
24.08.1998 00:00:00;   133
25.08.1998 00:00:00;   133
26.08.1998 00:00:00;   133
27.08.1998 00:00:00;   132
28.08.1998 00:00:00;   131
29.08.1998 00:00:00;   130
30.08.1998 00:00:00;   130
31.08.1998 00:00:00;   130
01.09.1998 00:00:00;   130
02.09.1998 00:00:00;   130
03.09.1998 00:00:00;   130
04.09.1998 00:00:00;   133
05.09.1998 00:00:00;   131
06.09.1998 00:00:00;   143
07.09.1998 00:00:00;   136
08.09.1998 00:00:00;   134
09.09.1998 00:00:00;   132
10.09.1998 00:00:00;   131
11.09.1998 00:00:00;   130
12.09.1998 00:00:00;   131
13.09.1998 00:00:00;   143
14.09.1998 00:00:00;   138
15.09.1998 00:00:00;   133
16.09.1998 00:00:00;   131
17.09.1998 00:00:00;   130
18.09.1998 00:00:00;   130
19.09.1998 00:00:00;   129
20.09.1998 00:00:00;   128
21.09.1998 00:00:00;   128
22.09.1998 00:00:00;   128
23.09.1998 00:00:00;   128
24.09.1998 00:00:00;   128
25.09.1998 00:00:00;   128
26.09.1998 00:00:00;   127
27.09.1998 00:00:00;   127
28.09.1998 00:00:00;   127
29.09.1998 00:00:00;   126
30.09.1998 00:00:00;   126
01.10.1998 00:00:00;   126
02.10.1998 00:00:00;   125
03.10.1998 00:00:00;   125
04.10.1998 00:00:00;   125
05.10.1998 00:00:00;   124
06.10.1998 00:00:00;   130
07.10.1998 00:00:00;   127
08.10.1998 00:00:00;   126
09.10.1998 00:00:00;   126
10.10.1998 00:00:00;   125
11.10.1998 00:00:00;   125
12.10.1998 00:00:00;   124
13.10.1998 00:00:00;   123
14.10.1998 00:00:00;   122
15.10.1998 00:00:00;   122
16.10.1998 00:00:00;   122
17.10.1998 00:00:00;   122
18.10.1998 00:00:00;   122
19.10.1998 00:00:00;   122
20.10.1998 00:00:00;   122
21.10.1998 00:00:00;   122
22.10.1998 00:00:00;   123
23.10.1998 00:00:00;   123
24.10.1998 00:00:00;   123
25.10.1998 00:00:00;   123
26.10.1998 00:00:00;   124
27.10.1998 00:00:00;   123
28.10.1998 00:00:00;   123
29.10.1998 00:00:00;   131
30.10.1998 00:00:00;   133
31.10.1998 00:00:00;   130
01.11.1998 00:00:00;   130
02.11.1998 00:00:00;   129
03.11.1998 00:00:00;   129
04.11.1998 00:00:00;   128
05.11.1998 00:00:00;   128
06.11.1998 00:00:00;   127
07.11.1998 00:00:00;   127
08.11.1998 00:00:00;   127
09.11.1998 00:00:00;   127
10.11.1998 00:00:00;   127
11.11.1998 00:00:00;   128
12.11.1998 00:00:00;   129
13.11.1998 00:00:00;   129
14.11.1998 00:00:00;   130
15.11.1998 00:00:00;   131
16.11.1998 00:00:00;   131
17.11.1998 00:00:00;   132
18.11.1998 00:00:00;   133
19.11.1998 00:00:00;   134
20.11.1998 00:00:00;   134
21.11.1998 00:00:00;   135
22.11.1998 00:00:00;   137
23.11.1998 00:00:00;   137
24.11.1998 00:00:00;   138
25.11.1998 00:00:00;   138
26.11.1998 00:00:00;   139
27.11.1998 00:00:00;   139
28.11.1998 00:00:00;   139
29.11.1998 00:00:00;   140
30.11.1998 00:00:00;   141
01.12.1998 00:00:00;   146
02.12.1998 00:00:00;   156
03.12.1998 00:00:00;   162
04.12.1998 00:00:00;   159
05.12.1998 00:00:00;   164
06.12.1998 00:00:00;   166
07.12.1998 00:00:00;   166
08.12.1998 00:00:00;   166
09.12.1998 00:00:00;   166
10.12.1998 00:00:00;   166
11.12.1998 00:00:00;   166
12.12.1998 00:00:00;   166
13.12.1998 00:00:00;   166
14.12.1998 00:00:00;   166
15.12.1998 00:00:00;   167
16.12.1998 00:00:00;   167
17.12.1998 00:00:00;   168
18.12.1998 00:00:00;   168
19.12.1998 00:00:00;   168
20.12.1998 00:00:00;   167
21.12.1998 00:00:00;   166
22.12.1998 00:00:00;   166
23.12.1998 00:00:00;   166
24.12.1998 00:00:00;   166
25.12.1998 00:00:00;   166
26.12.1998 00:00:00;   166
27.12.1998 00:00:00;   165
28.12.1998 00:00:00;   165
29.12.1998 00:00:00;   165
30.12.1998 00:00:00;   165
31.12.1998 00:00:00;   165
01.01.1999 00:00:00;   165
02.01.1999 00:00:00;   165
03.01.1999 00:00:00;   165
04.01.1999 00:00:00;   165
05.01.1999 00:00:00;   165
06.01.1999 00:00:00;   165
07.01.1999 00:00:00;   165
08.01.1999 00:00:00;   166
09.01.1999 00:00:00;   166
10.01.1999 00:00:00;   166
11.01.1999 00:00:00;   166
12.01.1999 00:00:00;   166
13.01.1999 00:00:00;   166
14.01.1999 00:00:00;   166
15.01.1999 00:00:00;   166
16.01.1999 00:00:00;   166
17.01.1999 00:00:00;   166
18.01.1999 00:00:00;   166
19.01.1999 00:00:00;   166
20.01.1999 00:00:00;   166
21.01.1999 00:00:00;   166
22.01.1999 00:00:00;   166
23.01.1999 00:00:00;   166
24.01.1999 00:00:00;   166
25.01.1999 00:00:00;   166
26.01.1999 00:00:00;   165
27.01.1999 00:00:00;   165
28.01.1999 00:00:00;   164
29.01.1999 00:00:00;   164
30.01.1999 00:00:00;   163
31.01.1999 00:00:00;   164
01.02.1999 00:00:00;   167
02.02.1999 00:00:00;   165
03.02.1999 00:00:00;   164
04.02.1999 00:00:00;   164
05.02.1999 00:00:00;   165
06.02.1999 00:00:00;   166
07.02.1999 00:00:00;   166
08.02.1999 00:00:00;   166
09.02.1999 00:00:00;   166
10.02.1999 00:00:00;   166
11.02.1999 00:00:00;   166
12.02.1999 00:00:00;   166
13.02.1999 00:00:00;   166
14.02.1999 00:00:00;   166
15.02.1999 00:00:00;   166
16.02.1999 00:00:00;   166
17.02.1999 00:00:00;   166
18.02.1999 00:00:00;   166
19.02.1999 00:00:00;   166
20.02.1999 00:00:00;   166
21.02.1999 00:00:00;   169
22.02.1999 00:00:00;   168
23.02.1999 00:00:00;   168
24.02.1999 00:00:00;   168
25.02.1999 00:00:00;   168
26.02.1999 00:00:00;   168
27.02.1999 00:00:00;   168
28.02.1999 00:00:00;   168
01.03.1999 00:00:00;   168
02.03.1999 00:00:00;   168
03.03.1999 00:00:00;   168
04.03.1999 00:00:00;   167
05.03.1999 00:00:00;   167
06.03.1999 00:00:00;   167
07.03.1999 00:00:00;   167
08.03.1999 00:00:00;   168
09.03.1999 00:00:00;   168
10.03.1999 00:00:00;   168
11.03.1999 00:00:00;   168
12.03.1999 00:00:00;   168
13.03.1999 00:00:00;   168
14.03.1999 00:00:00;   168
15.03.1999 00:00:00;   167
16.03.1999 00:00:00;   167
17.03.1999 00:00:00;   167
18.03.1999 00:00:00;   167
19.03.1999 00:00:00;   167
20.03.1999 00:00:00;   167
21.03.1999 00:00:00;   167
22.03.1999 00:00:00;   167
23.03.1999 00:00:00;   167
24.03.1999 00:00:00;   167
25.03.1999 00:00:00;   167
26.03.1999 00:00:00;   167
27.03.1999 00:00:00;   167
28.03.1999 00:00:00;   167
29.03.1999 00:00:00;   167
30.03.1999 00:00:00;   166
31.03.1999 00:00:00;   166
01.04.1999 00:00:00;   166
02.04.1999 00:00:00;   166
03.04.1999 00:00:00;   166
04.04.1999 00:00:00;   166
05.04.1999 00:00:00;   166
06.04.1999 00:00:00;   166
07.04.1999 00:00:00;   166
08.04.1999 00:00:00;   165
09.04.1999 00:00:00;   165
10.04.1999 00:00:00;   165
11.04.1999 00:00:00;   165
12.04.1999 00:00:00;   166
13.04.1999 00:00:00;   167
14.04.1999 00:00:00;   167
15.04.1999 00:00:00;   167
16.04.1999 00:00:00;   167
17.04.1999 00:00:00;   168
18.04.1999 00:00:00;   167
19.04.1999 00:00:00;   166
20.04.1999 00:00:00;   166
21.04.1999 00:00:00;   166
22.04.1999 00:00:00;   168
23.04.1999 00:00:00;   167
24.04.1999 00:00:00;   167
25.04.1999 00:00:00;   166
26.04.1999 00:00:00;   166
27.04.1999 00:00:00;   166
28.04.1999 00:00:00;   166
29.04.1999 00:00:00;   166
30.04.1999 00:00:00;   166
01.05.1999 00:00:00;   166
02.05.1999 00:00:00;   166
03.05.1999 00:00:00;   166
04.05.1999 00:00:00;   166
05.05.1999 00:00:00;   168
06.05.1999 00:00:00;   167
07.05.1999 00:00:00;   166
08.05.1999 00:00:00;   166
09.05.1999 00:00:00;   166
10.05.1999 00:00:00;   166
11.05.1999 00:00:00;   165
12.05.1999 00:00:00;   165
13.05.1999 00:00:00;   166
14.05.1999 00:00:00;   166
15.05.1999 00:00:00;   166
16.05.1999 00:00:00;   166
17.05.1999 00:00:00;   165
18.05.1999 00:00:00;   165
19.05.1999 00:00:00;   165
20.05.1999 00:00:00;   168
21.05.1999 00:00:00;   175
22.05.1999 00:00:00;   170
23.05.1999 00:00:00;   169
24.05.1999 00:00:00;   168
25.05.1999 00:00:00;   167
26.05.1999 00:00:00;   167
27.05.1999 00:00:00;   166
28.05.1999 00:00:00;   165
29.05.1999 00:00:00;   165
30.05.1999 00:00:00;   165
31.05.1999 00:00:00;   165
01.06.1999 00:00:00;   165
02.06.1999 00:00:00;   165
03.06.1999 00:00:00;   164
04.06.1999 00:00:00;   164
05.06.1999 00:00:00;   164
06.06.1999 00:00:00;   164
07.06.1999 00:00:00;   164
08.06.1999 00:00:00;   164
09.06.1999 00:00:00;   164
10.06.1999 00:00:00;   164
11.06.1999 00:00:00;   164
12.06.1999 00:00:00;   168
13.06.1999 00:00:00;   167
14.06.1999 00:00:00;   165
15.06.1999 00:00:00;   164
16.06.1999 00:00:00;   164
17.06.1999 00:00:00;   164
18.06.1999 00:00:00;   164
19.06.1999 00:00:00;   164
20.06.1999 00:00:00;   164
21.06.1999 00:00:00;   165
22.06.1999 00:00:00;   170
23.06.1999 00:00:00;   167
24.06.1999 00:00:00;   166
25.06.1999 00:00:00;   165
26.06.1999 00:00:00;   165
27.06.1999 00:00:00;   165
28.06.1999 00:00:00;   164
29.06.1999 00:00:00;   165
30.06.1999 00:00:00;   164
01.07.1999 00:00:00;   164
02.07.1999 00:00:00;   165
03.07.1999 00:00:00;   166
04.07.1999 00:00:00;   165
05.07.1999 00:00:00;   165
06.07.1999 00:00:00;   164
07.07.1999 00:00:00;   164
08.07.1999 00:00:00;   172
09.07.1999 00:00:00;   171
10.07.1999 00:00:00;   171
11.07.1999 00:00:00;   171
12.07.1999 00:00:00;   169
13.07.1999 00:00:00;   173
14.07.1999 00:00:00;   173
15.07.1999 00:00:00;   170
16.07.1999 00:00:00;   169
17.07.1999 00:00:00;   169
18.07.1999 00:00:00;   168
19.07.1999 00:00:00;   167
20.07.1999 00:00:00;   167
21.07.1999 00:00:00;   167
22.07.1999 00:00:00;   166
23.07.1999 00:00:00;   167
24.07.1999 00:00:00;   166
25.07.1999 00:00:00;   166
26.07.1999 00:00:00;   166
27.07.1999 00:00:00;   166
28.07.1999 00:00:00;   166
29.07.1999 00:00:00;   166
30.07.1999 00:00:00;   165
31.07.1999 00:00:00;   165
01.08.1999 00:00:00;   165
02.08.1999 00:00:00;   165
03.08.1999 00:00:00;   165
04.08.1999 00:00:00;   165
05.08.1999 00:00:00;   165
06.08.1999 00:00:00;   165
07.08.1999 00:00:00;   165
08.08.1999 00:00:00;   166
09.08.1999 00:00:00;   165
10.08.1999 00:00:00;   166
11.08.1999 00:00:00;   166
12.08.1999 00:00:00;   166
13.08.1999 00:00:00;   166
14.08.1999 00:00:00;   166
15.08.1999 00:00:00;   166
16.08.1999 00:00:00;   166
17.08.1999 00:00:00;   166
18.08.1999 00:00:00;   166
19.08.1999 00:00:00;   165
20.08.1999 00:00:00;   165
21.08.1999 00:00:00;   165
22.08.1999 00:00:00;   165
23.08.1999 00:00:00;   165
24.08.1999 00:00:00;   164
25.08.1999 00:00:00;   164
26.08.1999 00:00:00;   164
27.08.1999 00:00:00;   164
28.08.1999 00:00:00;   164
29.08.1999 00:00:00;   166
30.08.1999 00:00:00;   166
31.08.1999 00:00:00;   165
01.09.1999 00:00:00;   165
02.09.1999 00:00:00;   166
03.09.1999 00:00:00;   167
04.09.1999 00:00:00;   166
05.09.1999 00:00:00;   166
06.09.1999 00:00:00;   165
07.09.1999 00:00:00;   165
08.09.1999 00:00:00;   166
09.09.1999 00:00:00;   165
10.09.1999 00:00:00;   165
11.09.1999 00:00:00;   165
12.09.1999 00:00:00;   165
13.09.1999 00:00:00;   165
14.09.1999 00:00:00;   165
15.09.1999 00:00:00;   165
16.09.1999 00:00:00;   165
17.09.1999 00:00:00;   165
18.09.1999 00:00:00;   164
19.09.1999 00:00:00;   164
20.09.1999 00:00:00;   164
21.09.1999 00:00:00;   164
22.09.1999 00:00:00;   165
23.09.1999 00:00:00;   165
24.09.1999 00:00:00;   165
25.09.1999 00:00:00;   165
26.09.1999 00:00:00;   165
27.09.1999 00:00:00;   166
28.09.1999 00:00:00;   166
29.09.1999 00:00:00;   166
30.09.1999 00:00:00;   166
01.10.1999 00:00:00;   165
02.10.1999 00:00:00;   165
03.10.1999 00:00:00;   164
04.10.1999 00:00:00;   165
05.10.1999 00:00:00;   165
06.10.1999 00:00:00;   165
07.10.1999 00:00:00;   165
08.10.1999 00:00:00;   165
09.10.1999 00:00:00;   165
