Messstelle:                ;Maitratten-Gnesau
27.07.2013 23:15:00;  7,28
25.08.2013 14:45:00;  7,79
11.09.2013 04:15:00;  4,20
11.10.2013 11:45:00;  8,58
24.11.2013 00:00:00;  8,01
01.12.2013 00:00:00;  4,56
05.01.2014 17:30:00;  5,62
19.02.2014 22:45:00;  3,84
23.03.2014 17:15:00;  12,1
08.04.2014 23:15:00;  12,4
01.05.2014 04:15:00;  11,6
30.06.2014 04:45:00;  11,2
01.07.2014 00:00:00;  6,51
31.08.2014 23:45:00;  23,1
13.09.2014 11:00:00;  28,3
01.10.2014 15:00:00;  5,85
07.11.2014 01:45:00;  14,8
01.12.2014 13:15:00;  8,82
10.01.2015 08:30:00;  6,05
03.02.2015 09:45:00;  2,50
25.03.2015 21:45:00;  3,36
15.04.2015 18:15:00;  3,85
23.05.2015 05:00:00;  8,07
16.06.2015 20:00:00;  11,7
16.07.2015 20:30:00;  15,5
02.08.2015 09:30:00;  9,49
23.09.2015 22:30:00;  9,49
15.10.2015 06:45:00;  12,8
01.11.2015 06:15:00;  4,41
01.12.2015 00:15:00;  2,10
11.01.2016 20:45:00;  3,62
29.02.2016 11:30:00;  2,54
31.03.2016 19:00:00;  3,98
08.04.2016 17:45:00;  7,30
12.05.2016 13:45:00;  6,73
27.06.2016 05:45:00;  15,2
25.07.2016 04:45:00;  15,6
14.08.2016 20:00:00;  23,4
17.09.2016 11:30:00;  7,91
19.10.2016 22:15:00;  5,00
19.11.2016 13:45:00;  14,1
01.12.2016 13:45:00;  5,00
02.01.2017 11:45:00;  2,28
22.02.2017 18:30:00;  1,61
04.03.2017 23:00:00;  2,82
28.04.2017 08:15:00;  11,5
01.05.2017 10:15:00;  5,23
25.06.2017 15:30:00;  6,46
24.07.2017 22:15:00;  25,1
20.08.2017 05:00:00;  26,9
19.09.2017 16:30:00;  20,8
01.10.2017 00:00:00;  7,60
06.11.2017 06:15:00;  4,03
12.12.2017 07:15:00;  12,1
09.01.2018 18:30:00;  4,23
26.02.2018 12:45:00;  2,68
31.03.2018 14:45:00;  3,47
26.04.2018 19:00:00;  21,0
15.05.2018 13:15:00;  20,1
07.06.2018 18:30:00;  20,5
20.07.2018 16:45:00;  9,82
26.08.2018 05:30:00;  13,7
01.09.2018 12:30:00;  18,0
29.10.2018 22:30:00;  23,9
02.11.2018 21:45:00;  10,2
04.12.2018 07:45:00;  2,26
01.01.2019 00:00:00;  1,38
28.02.2019 21:15:00;  2,52
31.03.2019 22:45:00;  3,41
11.04.2019 15:00:00;  10,3
29.05.2019 19:30:00;  12,7
19.06.2019 19:15:00;  10,9
02.07.2019 14:15:00;  4,94
08.08.2019 21:45:00;  7,76
08.09.2019 19:30:00;  26,3
02.10.2019 15:45:00;  5,30
18.11.2019 07:30:00;  52,0
21.12.2019 15:30:00;  12,1
01.01.2020 00:00:00;  4,19
04.02.2020 09:00:00;  2,30
22.03.2020 19:15:00;  3,30
20.04.2020 04:15:00;  7,85
19.05.2020 22:45:00;  12,4
29.06.2020 16:45:00; 10,00
29.07.2020 22:15:00;  27,1
03.08.2020 23:30:00;  30,7
25.09.2020 21:15:00;  18,0
05.10.2020 06:45:00;  14,6
01.11.2020 07:15:00;  6,97
06.12.2020 20:15:00;  14,2
02.01.2021 21:30:00;  2,87
27.02.2021 19:45:00;  4,00
31.03.2021 21:00:00;  5,23
02.04.2021 23:45:00;  7,01
25.05.2021 01:15:00;  16,0
02.06.2021 20:30:00;  12,7
05.07.2021 02:15:00;  5,93
23.08.2021 04:30:00; 10,00
20.09.2021 03:15:00;  7,85
06.10.2021 18:45:00;  4,77
04.11.2021 09:15:00;  6,45
04.12.2021 04:15:00;  1,77
