Messstelle:                ;Atzenbrugg (Bundesstraßenbrücke)
10.02.2014 02:45:00;  2,01
01.03.2014 09:50:00;  1,08
20.04.2014 16:15:00; 0,936
17.05.2014 00:10:00;  87,9
01.06.2014 01:15:00;  3,25
31.07.2014 20:35:00;  9,32
01.08.2014 00:05:00;  5,72
13.09.2014 12:30:00;  41,6
23.10.2014 22:50:00;  39,9
01.11.2014 03:20:00;  1,98
08.12.2014 03:50:00;  5,88
10.01.2015 11:35:00;  12,2
25.02.2015 03:50:00;  13,1
02.03.2015 20:00:00;  9,18
18.04.2015 07:30:00;  3,05
23.05.2015 18:35:00;  51,0
19.06.2015 20:20:00;  3,55
09.07.2015 02:55:00;  1,75
17.08.2015 12:30:00;  4,73
04.09.2015 10:55:00;  2,42
20.10.2015 10:45:00;  11,5
21.11.2015 19:05:00;  1,73
10.12.2015 15:00:00;  1,43
26.01.2016 00:40:00;  5,65
19.02.2016 17:05:00;  6,76
18.03.2016 00:45:00;  4,58
14.04.2016 10:05:00;  2,59
04.05.2016 15:40:00;  21,2
20.06.2016 20:50:00;  60,3
26.07.2016 03:55:00;   105
06.08.2016 03:05:00;  5,27
06.09.2016 23:05:00;  6,09
04.10.2016 20:35:00;  10,1
16.11.2016 17:40:00;  14,0
28.12.2016 17:30:00;  7,69
01.01.2017 00:00:00;  1,98
21.02.2017 18:20:00;  13,0
19.03.2017 17:25:00;  6,39
23.04.2017 01:05:00;  14,3
31.05.2017 18:15:00;  6,94
01.06.2017 00:55:00;  4,05
24.07.2017 20:30:00;  9,40
07.08.2017 07:35:00;  1,88
20.09.2017 10:20:00;  29,9
06.10.2017 11:45:00;  2,63
22.11.2017 12:35:00;  1,60
22.12.2017 03:55:00;  6,24
19.01.2018 16:35:00;  5,24
25.02.2018 22:25:00;  2,34
08.03.2018 07:40:00;  7,94
01.04.2018 08:50:00;  5,36
16.05.2018 00:25:00;  1,70
28.06.2018 13:15:00;  26,6
01.07.2018 00:00:00;  2,20
24.08.2018 22:55:00;  3,60
03.09.2018 22:50:00;  5,47
25.10.2018 08:10:00;  1,19
27.11.2018 08:30:00;  2,78
24.12.2018 13:40:00;  30,5
14.01.2019 10:15:00;  13,5
22.02.2019 16:45:00;  6,20
16.03.2019 13:15:00;  49,1
30.04.2019 21:10:00;  4,43
12.05.2019 03:35:00;  18,4
01.06.2019 00:00:00;  4,28
10.07.2019 06:20:00;  2,17
28.08.2019 08:05:00;  1,82
03.09.2019 15:15:00;  1,26
29.10.2019 16:00:00; 0,819
15.11.2019 07:15:00;  1,24
19.12.2019 16:35:00;  1,84
30.01.2020 08:40:00;  1,08
03.02.2020 21:05:00;  5,09
03.03.2020 11:20:00;  1,28
15.04.2020 10:40:00; 0,898
24.05.2020 09:20:00;  2,57
21.06.2020 19:20:00;  87,8
18.07.2020 16:05:00;  35,7
23.08.2020 01:10:00;  75,5
07.09.2020 01:45:00;  45,5
14.10.2020 02:50:00;  30,1
02.11.2020 06:45:00;  3,24
26.12.2020 08:35:00;  1,93
29.01.2021 20:20:00;  7,83
01.02.2021 00:15:00;  3,12
25.03.2021 03:50:00;  3,85
21.04.2021 02:00:00;  3,25
13.05.2021 23:00:00;  2,14
06.06.2021 20:05:00;  2,88
17.07.2021 14:20:00;  16,7
17.08.2021 02:15:00;  9,34
01.09.2021 02:45:00;  1,96
07.10.2021 16:50:00;  4,19
02.11.2021 20:45:00;  1,44
14.12.2021 09:20:00;  5,02
