Messstelle:                ;Maria Luggau-Moos
27.04.2013 23:15:05;  19,6
19.05.2013 13:00:00;  20,0
24.06.2013 06:00:00;  16,3
09.07.2013 22:45:00;  7,44
19.08.2013 23:45:00;  8,95
11.09.2013 02:00:00;  5,25
11.10.2013 06:00:05;  10,0
09.11.2013 17:00:00;  10,8
01.12.2013 00:00:00;  3,33
24.01.2014 16:30:05;  2,90
01.02.2014 19:30:05;  2,90
23.03.2014 04:48:10;  14,9
08.04.2014 20:33:10;  28,6
11.05.2014 19:00:00;  37,9
09.06.2014 17:15:00;  15,7
21.07.2014 15:00:00;  15,2
12.08.2014 19:30:00;  19,2
01.09.2014 00:00:00;  16,0
13.10.2014 21:30:00;  8,95
06.11.2014 16:45:00;  42,6
01.12.2014 07:45:00;  8,70
10.01.2015 03:15:00;  2,90
01.02.2015 11:15:00;  2,12
31.03.2015 19:15:00;  2,99
27.04.2015 18:00:00;  5,84
20.05.2015 22:30:00;  16,4
16.06.2015 10:15:00;  10,5
31.07.2015 02:00:00;  8,65
05.08.2015 00:15:00;  12,0
14.09.2015 08:45:00;  9,79
16.10.2015 03:15:00;  7,78
01.11.2015 00:00:00;  4,28
01.12.2015 16:15:00;  2,58
11.01.2016 14:45:00;  1,99
29.02.2016 19:15:00;  1,84
31.03.2016 18:15:00;  3,25
08.04.2016 18:45:00;  9,99
31.05.2016 22:15:00;  10,8
17.06.2016 02:30:00;  13,3
22.07.2016 16:00:00;  19,5
10.08.2016 09:45:00;  17,8
17.09.2016 06:15:00;  8,62
14.10.2016 22:30:00;  3,42
06.11.2016 16:50:30;  4,13
01.12.2016 00:00:00;  2,11
15.01.2017 09:30:00;  1,55
23.02.2017 17:45:00;  1,74
20.03.2017 17:30:00;  2,04
28.04.2017 00:00:00;  6,96
15.05.2017 03:30:00;  7,57
25.06.2017 12:30:00;  4,44
24.07.2017 17:30:00;  17,0
20.08.2017 00:00:00;  7,44
12.09.2017 11:45:00;  13,7
01.10.2017 00:00:00;  3,25
06.11.2017 02:00:00;  3,12
12.12.2017 06:00:00;  5,29
09.01.2018 09:00:00;  2,61
15.02.2018 13:30:00;  1,74
31.03.2018 15:45:00;  2,61
26.04.2018 19:15:00;  22,7
04.05.2018 19:00:00;  20,5
01.06.2018 00:00:00;  10,2
02.07.2018 18:00:00;  5,36
26.08.2018 02:30:00;  19,4
02.09.2018 07:30:00;  11,3
29.10.2018 20:40:00;   220
01.11.2018 12:45:00;  18,1
01.12.2018 15:39:50;  3,45
01.01.2019 00:00:00;  2,49
05.02.2019 11:45:00;  2,72
24.03.2019 19:45:00;  3,34
26.04.2019 18:15:00;  17,8
29.05.2019 02:45:00;  18,2
05.06.2019 19:30:00;  17,0
03.07.2019 16:15:00;  6,31
02.08.2019 19:30:00;  11,7
08.09.2019 15:30:00;  13,6
02.10.2019 12:15:00;  6,31
17.11.2019 19:00:10;  39,4
21.12.2019 14:00:10;  12,7
01.01.2020 00:30:00;  3,15
24.02.2020 22:00:00;  3,06
21.03.2020 23:15:00;  4,10
29.04.2020 14:30:00;  12,4
15.05.2020 09:00:00;  19,2
14.06.2020 10:45:00;  13,0
03.07.2020 01:00:00;  10,3
30.08.2020 12:30:00;  28,6
01.09.2020 00:00:00;  17,4
27.10.2020 03:30:00;  18,8
01.11.2020 00:15:00;  7,75
06.12.2020 06:30:00;  5,77
12.01.2021 13:00:00;  2,73
28.02.2021 11:30:00;  3,40
31.03.2021 19:00:00;  7,33
30.04.2021 19:00:00;  12,8
02.05.2021 02:45:00;  29,1
09.06.2021 21:15:05;  28,1
08.07.2021 23:30:00;  16,0
17.08.2021 00:15:00;  17,5
03.09.2021 21:45:00;  3,65
06.10.2021 13:15:00;  7,99
04.11.2021 08:00:00;  5,10
02.12.2021 16:45:00;  2,34
