Messstelle:                ;Hannersdorf
17.09.2013 08:30:00;  4,36
30.10.2013 16:00:00; 0,589
24.11.2013 11:15:00;  15,0
27.12.2013 10:45:00;  1,85
06.01.2014 02:30:00;  1,66
12.02.2014 14:00:00;  20,3
24.03.2014 06:00:00;  1,85
26.04.2014 08:00:00;  1,85
16.05.2014 09:15:00;  24,9
30.06.2014 09:30:00;  3,86
30.07.2014 21:30:00;  26,6
14.08.2014 01:30:00;  17,6
13.09.2014 10:00:00;  15,9
22.10.2014 06:30:00;  21,3
18.11.2014 11:15:00;  8,62
07.12.2014 23:45:00;  13,3
11.01.2015 17:30:00;  5,37
24.02.2015 21:30:00;  3,08
26.03.2015 20:15:00;  1,57
28.04.2015 17:30:00;  1,39
23.05.2015 15:30:00;  2,98
23.06.2015 20:45:00;  1,39
23.07.2015 16:45:00;  6,08
03.08.2015 06:30:00; 0,594
25.09.2015 19:15:00; 0,649
20.10.2015 07:30:00;  3,68
11.11.2015 18:00:00; 0,707
03.12.2015 15:45:00; 0,492
12.01.2016 03:30:00; 0,967
19.02.2016 13:00:00;  2,19
29.03.2016 23:45:00; 0,707
23.04.2016 20:00:00;  1,64
28.05.2016 02:00:00;  14,5
15.06.2016 15:00:00;  12,3
27.07.2016 19:00:00;  9,64
21.08.2016 16:30:00;  4,66
05.09.2016 14:30:00; 0,993
26.10.2016 07:45:00;  1,39
07.11.2016 04:00:05;  3,46
06.12.2016 17:15:00; 0,598
01.01.2017 00:00:00; 0,414
06.02.2017 14:00:00;  8,96
01.03.2017 13:15:00; 0,792
28.04.2017 09:00:00;  1,07
14.05.2017 20:15:00;  2,88
25.06.2017 15:45:00;  1,39
24.07.2017 21:45:00;  1,30
11.08.2017 05:00:00;  2,41
20.09.2017 04:45:00;  2,60
22.10.2017 19:45:00; 0,616
11.11.2017 17:00:00; 0,616
13.12.2017 01:00:00; 0,856
10.01.2018 17:45:00;  1,14
02.02.2018 02:30:00; 0,464
30.03.2018 04:30:00;  2,50
01.04.2018 08:30:00;  1,30
15.05.2018 11:00:00;  7,24
08.06.2018 02:15:00;  13,9
28.07.2018 21:30:00;  1,22
06.08.2018 22:00:00;  2,22
01.09.2018 14:00:00;  2,07
27.10.2018 22:45:00; 0,967
26.11.2018 18:30:00;  1,62
18.12.2018 10:15:00; 0,707
04.01.2019 10:30:00; 0,649
04.02.2019 08:30:00; 0,727
13.03.2019 09:00:00; 0,297
25.04.2019 18:30:00; 0,832
28.05.2019 16:15:00;  2,72
21.06.2019 07:30:00;  2,55
27.07.2019 19:45:00;  3,39
25.08.2019 08:30:00;  3,78
09.09.2019 12:00:00;  3,68
02.10.2019 16:45:00;  1,80
13.11.2019 20:15:00;  2,72
22.12.2019 00:30:00;  4,16
01.01.2020 03:30:00; 0,377
06.02.2020 14:30:00; 0,993
06.03.2020 20:30:00; 0,730
29.04.2020 15:15:00;  1,04
03.05.2020 00:15:00;  1,30
21.06.2020 10:00:00;  3,95
22.07.2020 16:15:00;  7,03
29.08.2020 20:00:00;  6,91
28.09.2020 10:45:00;  11,6
04.10.2020 00:45:00;  23,3
16.11.2020 20:00:00;  1,25
10.12.2020 07:45:00;  6,09
24.01.2021 08:15:00;  3,31
09.02.2021 21:15:00;  2,44
13.03.2021 05:00:00; 0,806
13.04.2021 01:00:00;  1,28
17.05.2021 10:00:00;  10,0
12.06.2021 17:30:00;  3,53
17.07.2021 19:00:00;  4,59
23.08.2021 00:15:00;  4,56
29.09.2021 19:15:00; 0,661
30.10.2021 18:30:00; 0,900
02.11.2021 13:30:00;  1,35
05.12.2021 10:15:00; 0,480
