Messstelle:                ;Löbenau
27.12.2013 01:39:20;  4,71
01.01.2014 00:00:00;  3,48
01.02.2014 19:30:00;  3,75
22.03.2014 22:00:00;  5,40
08.04.2014 20:45:00;  11,0
21.05.2014 20:15:00;  14,2
11.06.2014 20:45:00;  13,1
31.07.2014 09:15:00;  12,2
09.08.2014 19:15:00;  24,3
01.09.2014 05:30:00;  20,7
22.10.2014 02:00:00;  4,31
06.11.2014 15:45:00;  18,7
01.12.2014 00:00:00;  4,07
10.01.2015 03:00:00;  10,6
01.02.2015 00:00:00;  3,52
31.03.2015 23:45:00;  6,54
27.04.2015 18:30:00;  15,8
06.05.2015 16:45:00;  22,6
07.06.2015 20:15:00;  34,1
23.07.2015 18:45:00;  29,0
02.08.2015 09:00:00;  20,4
05.09.2015 12:30:00;  10,6
08.10.2015 04:00:00;  11,9
01.11.2015 01:30:00;  4,20
01.12.2015 10:45:00;  4,88
19.01.2016 15:45:00;  3,99
01.02.2016 15:30:00;  9,72
31.03.2016 22:00:00;  5,59
04.04.2016 18:45:00;  8,14
31.05.2016 03:15:00;  9,50
27.06.2016 05:30:00;  23,6
13.07.2016 23:15:00;  25,0
10.08.2016 10:45:00;  24,5
06.09.2016 06:45:00;  21,5
26.10.2016 00:30:00;  5,82
19.11.2016 13:45:00;  6,06
27.12.2016 00:15:00;  3,35
01.01.2017 00:00:00;  2,67
01.02.2017 00:00:00;  2,51
19.03.2017 10:00:00;  5,83
01.04.2017 20:00:00;  6,55
25.05.2017 02:45:00;  11,0
06.06.2017 22:00:00;  8,10
24.07.2017 22:15:00;  19,6
05.08.2017 21:15:00;  77,6
02.09.2017 19:30:00;  11,0
29.10.2017 15:00:00;  14,4
02.11.2017 14:15:00;  4,31
12.12.2017 07:15:00;  4,11
09.01.2018 16:45:00;  7,30
26.02.2018 11:30:00;  2,84
31.03.2018 21:15:00;  3,36
24.04.2018 00:00:00;  19,5
15.05.2018 08:00:00;  11,8
22.06.2018 05:00:00;  14,2
06.07.2018 23:30:00;  11,5
26.08.2018 01:30:00;  9,29
01.09.2018 12:15:00;  9,59
30.10.2018 00:30:00;  18,3
01.11.2018 00:00:00;  3,72
24.12.2018 08:15:00;  7,59
14.01.2019 13:45:00;  3,91
22.02.2019 22:30:00;  3,53
16.03.2019 19:45:00;  5,59
26.04.2019 17:30:00;  18,4
29.05.2019 00:30:00;  20,8
05.06.2019 17:15:00;  18,7
29.07.2019 07:15:00;  21,2
02.08.2019 05:00:00;  5,70
08.09.2019 19:45:00;  25,8
09.10.2019 21:45:00;  4,51
17.11.2019 17:15:00;  38,7
13.12.2019 12:45:00;  9,42
13.01.2020 04:15:00;  3,62
03.02.2020 14:45:00;  6,93
21.03.2020 08:45:00;  5,93
20.04.2020 19:45:00;  10,7
26.05.2020 00:30:00;  14,7
15.06.2020 19:00:00;  10,8
03.07.2020 03:30:00;  33,7
29.08.2020 21:45:00;  35,3
01.09.2020 11:15:00;  13,9
30.10.2020 16:45:00;  7,67
01.11.2020 01:15:00;  6,29
06.12.2020 18:15:00;  7,89
29.01.2021 05:30:00;  3,61
08.02.2021 04:45:00;  3,42
31.03.2021 21:15:00;  4,22
30.04.2021 18:30:00;  9,66
12.05.2021 06:45:00;  14,3
05.06.2021 18:45:00;  17,1
18.07.2021 00:30:00;  19,2
16.08.2021 20:15:00;  17,5
19.09.2021 23:45:00;  15,5
07.10.2021 16:00:00;  4,86
04.11.2021 06:15:00;  8,72
30.12.2021 23:00:00;  5,60
01.01.2022 00:00:00;  4,59
