Messstelle:                ;Schwanberg
14.08.2013 09:12:15;  2,53
11.09.2013 05:12:15;  6,21
11.10.2013 13:57:15;  6,07
23.11.2013 23:57:15;  17,8
27.12.2013 07:42:15;  3,05
05.01.2014 12:42:15;  4,20
02.02.2014 01:56:40;  3,95
23.03.2014 21:11:40;  4,73
28.04.2014 03:11:40;  8,34
11.05.2014 20:56:40;  13,7
30.06.2014 07:11:40;  13,2
23.07.2014 03:11:40;  10,3
13.08.2014 21:56:40;  12,0
13.09.2014 05:26:40;  37,8
22.10.2014 04:41:40;  6,39
06.11.2014 20:00:00;  11,6
01.12.2014 05:00:00;  2,95
10.01.2015 04:15:00;  2,07
10.02.2015 06:15:00;  1,79
26.03.2015 01:45:00;  3,34
28.04.2015 19:15:00;  4,61
23.05.2015 16:00:00;  13,1
23.06.2015 15:45:00;  11,3
08.07.2015 21:43:25;  9,20
19.08.2015 00:00:00;  6,02
05.09.2015 16:30:00;  6,77
11.10.2015 07:00:00;  24,7
01.11.2015 00:00:00;  2,76
02.12.2015 18:00:00;  2,76
12.01.2016 00:00:00;  2,95
29.02.2016 11:30:00;  2,75
31.03.2016 20:24:00;  4,03
01.04.2016 19:39:00;  4,77
02.05.2016 09:09:00;  48,1
05.06.2016 14:54:00;  6,71
25.07.2016 03:54:00;  10,1
10.08.2016 15:39:00;  13,0
17.09.2016 12:13:25;  2,66
26.10.2016 03:58:25;  3,54
19.11.2016 18:30:00;  8,78
01.12.2016 16:30:00;  1,46
04.01.2017 07:15:00; 0,979
06.02.2017 12:39:25;  1,26
21.03.2017 00:09:25;  1,47
28.04.2017 11:02:50;  14,4
31.05.2017 19:17:50;  3,12
25.06.2017 15:47:50;  6,84
24.07.2017 14:02:50;  7,66
20.08.2017 06:32:50;  5,04
19.09.2017 18:17:50;  11,1
01.10.2017 02:32:50;  2,71
06.11.2017 11:02:50;  2,92
12.12.2017 12:47:50;  6,45
09.01.2018 23:32:50;  3,90
25.02.2018 08:32:50;  1,61
12.03.2018 20:32:50;  3,38
17.04.2018 06:17:50;  11,3
15.05.2018 12:32:50;  26,9
01.06.2018 15:17:50;  33,5
11.07.2018 04:47:50;  4,76
26.08.2018 03:02:50;  11,3
01.09.2018 04:17:50;  11,6
30.10.2018 05:17:50;  8,13
03.11.2018 01:32:50;  2,27
04.12.2018 13:02:50;  1,38
11.01.2019 20:47:50;  1,40
03.02.2019 08:47:50;  3,33
08.03.2019 10:02:50;  1,19
11.04.2019 11:02:50;  5,69
30.05.2019 05:17:50;  6,64
23.06.2019 07:17:50;  7,45
28.07.2019 18:17:50;  8,34
08.08.2019 23:47:50;  3,42
08.09.2019 02:17:50;  5,63
02.10.2019 19:32:50;  3,34
05.11.2019 15:47:50;  8,94
21.12.2019 19:17:50;  4,62
01.01.2020 10:17:50;  1,22
25.02.2020 17:17:50;  1,90
03.03.2020 12:32:50;  1,14
20.04.2020 04:32:50;  2,54
20.05.2020 08:47:50;  1,50
20.06.2020 02:02:00;  5,37
06.07.2020 22:47:00;  35,4
03.08.2020 22:13:00;  7,08
26.09.2020 00:17:50;  14,6
23.10.2020 14:47:50;  4,91
16.11.2020 18:32:50;  4,41
25.12.2020 15:32:50;  2,33
23.01.2021 09:47:50;  3,07
08.02.2021 06:02:50;  3,13
05.03.2021 20:02:50;  1,50
30.04.2021 22:47:50;  1,68
17.05.2021 10:02:50;  9,81
06.06.2021 14:47:50;  11,4
18.07.2021 16:02:50;  10,8
27.08.2021 00:47:50;  3,57
17.09.2021 11:47:50;  1,66
08.10.2021 02:02:50;  5,42
02.11.2021 06:47:50;  3,37
02.12.2021 16:02:50;  1,26
