Messstelle:                ;Wies
03.08.2013 10:45:00;  1,92
11.09.2013 03:15:00;  8,12
11.10.2013 13:00:00;  3,56
24.11.2013 01:15:00;  43,1
01.12.2013 11:15:00;  2,50
05.01.2014 22:30:00;  3,96
17.02.2014 05:00:00;  9,20
23.03.2014 21:30:00;  3,03
28.04.2014 00:45:00;  7,89
11.05.2014 23:15:00;  14,0
30.06.2014 07:30:00;  12,7
26.07.2014 18:00:00;  15,0
13.08.2014 21:00:00;  14,9
13.09.2014 05:15:00;  53,5
22.10.2014 04:00:00;  16,5
06.11.2014 18:45:00;  11,8
07.12.2014 01:45:00;  4,23
08.01.2015 07:45:00;  1,96
22.02.2015 19:15:00;  3,55
27.03.2015 12:30:00;  2,23
13.04.2015 08:45:00;  1,87
23.05.2015 02:30:00;  11,5
23.06.2015 14:45:00;  10,8
08.07.2015 20:30:00;  37,9
19.08.2015 20:45:00;  2,81
05.09.2015 03:30:00;  5,36
11.10.2015 07:30:00;  32,7
21.11.2015 12:45:00;  3,52
17.12.2015 08:36:35;  1,44
11.01.2016 22:21:00;  5,00
19.02.2016 03:36:00;  6,06
07.03.2016 00:36:00;  3,13
04.04.2016 19:36:15;  1,59
02.05.2016 09:36:00;  36,8
27.06.2016 05:21:00;  8,45
24.07.2016 22:51:00;  6,70
10.08.2016 15:06:00;  5,64
04.09.2016 18:05:55;  5,06
20.10.2016 06:36:35;  3,32
07.11.2016 00:51:35;  11,7
01.12.2016 10:06:35;  1,18
27.01.2017 06:21:35; 0,685
06.02.2017 16:19:15;  10,4
01.03.2017 07:34:15; 0,860
28.04.2017 11:04:00;  7,65
22.05.2017 21:49:00;  3,02
25.06.2017 13:34:00;  4,98
24.07.2017 13:19:00;  3,49
28.08.2017 16:04:00;  13,3
19.09.2017 16:49:00;  10,6
23.10.2017 01:49:00;  1,46
13.11.2017 03:34:00;  8,11
11.12.2017 22:19:00;  4,49
02.01.2018 01:49:00;  2,76
02.02.2018 10:49:00;  1,39
12.03.2018 16:34:00;  6,50
17.04.2018 03:19:00;  3,83
15.05.2018 12:04:00;  43,5
22.06.2018 06:34:00;  15,9
06.07.2018 13:49:00;  2,04
30.08.2018 20:34:00;  7,70
14.09.2018 18:04:00;  34,8
07.10.2018 23:49:00;  3,41
26.11.2018 10:49:00;  3,29
01.12.2018 03:49:00; 0,793
04.01.2019 11:19:00; 0,638
03.02.2019 20:34:00;  2,09
25.03.2019 19:04:00;  1,50
11.04.2019 09:04:00;  6,29
30.05.2019 05:34:00;  6,20
23.06.2019 11:34:00;  12,7
03.07.2019 18:34:00;  26,9
02.08.2019 14:49:00;  2,95
02.09.2019 20:04:00;  5,02
02.10.2019 18:04:00;  1,83
13.11.2019 15:45:00;  7,15
22.12.2019 17:15:00;  6,39
30.01.2020 09:00:00;  1,94
26.02.2020 12:15:00;  2,15
27.03.2020 18:00:00; 0,804
20.04.2020 03:30:00;  1,73
25.05.2020 08:15:00;  1,10
29.06.2020 17:45:00;  4,46
11.07.2020 21:45:00;  16,7
03.08.2020 23:00:00;  4,85
26.09.2020 00:00:00;  9,27
11.10.2020 22:45:00;  11,2
16.11.2020 18:00:00;  4,79
25.12.2020 15:15:00;  4,38
23.01.2021 06:00:00;  3,81
08.02.2021 13:45:00;  3,39
14.03.2021 13:15:00;  1,19
13.04.2021 00:16:55;  1,36
27.05.2021 19:30:00;  6,95
06.06.2021 13:00:00;  5,57
27.07.2021 07:45:00;  1,43
23.08.2021 05:15:00;  4,77
17.09.2021 14:45:00; 0,973
07.10.2021 20:45:00;  3,04
02.11.2021 09:45:00;  3,44
02.12.2021 18:45:00;  3,17
