Messstelle:                ;Nötsch
23.09.2015 23:15:00;  66,8
15.10.2015 08:30:00;   116
02.11.2015 12:00:00;  27,7
01.12.2015 10:00:00;  16,8
12.01.2016 01:45:00;  69,9
10.02.2016 07:15:00;  29,7
31.03.2016 23:30:00;  40,6
18.04.2016 08:15:00;  80,5
12.05.2016 20:15:00;  56,2
17.06.2016 08:00:00;   139
14.07.2016 02:30:00;   199
10.08.2016 14:00:00;  92,4
17.09.2016 16:45:00;  31,7
15.10.2016 07:30:00;  52,3
19.11.2016 16:15:00;   109
01.12.2016 00:00:00;  26,1
07.01.2017 01:15:00;  12,5
28.02.2017 23:45:00;  12,9
05.03.2017 03:15:00;  42,7
28.04.2017 05:30:00;   197
01.05.2017 00:00:00;  50,6
29.06.2017 13:30:00;  21,3
25.07.2017 00:00:00;  93,5
20.08.2017 06:45:00;  73,7
12.09.2017 18:30:00;   133
01.10.2017 04:30:00;  27,4
06.11.2017 09:00:00;  43,5
12.12.2017 10:00:00;   288
09.01.2018 20:30:00;   120
02.02.2018 02:15:00;  29,2
31.03.2018 13:45:00;   112
26.04.2018 23:15:00;   131
05.05.2018 02:45:00;  98,4
01.06.2018 06:45:00;  54,2
17.07.2018 04:15:00;  26,6
26.08.2018 11:00:00;  70,3
01.09.2018 14:30:00;   103
30.10.2018 20:00:00;   490
01.11.2018 23:15:00;   232
01.12.2018 00:00:00;  28,5
01.01.2019 00:00:00;  14,9
02.02.2019 12:00:00;  92,1
08.03.2019 00:30:00;  40,5
24.04.2019 18:00:00;  85,0
29.05.2019 10:00:00;   101
01.06.2019 00:00:00;  58,9
04.07.2019 01:45:00;  23,4
03.08.2019 05:45:00;  27,4
09.09.2019 07:00:00;  65,2
02.10.2019 18:15:00;  45,0
18.11.2019 03:30:00;   388
21.12.2019 17:00:00;   171
01.01.2020 00:00:00;  35,6
04.02.2020 17:15:00;  20,8
03.03.2020 19:45:00;  28,5
29.04.2020 22:30:00;  52,0
15.05.2020 23:15:00;   118
09.06.2020 14:00:00;  70,1
11.07.2020 23:45:00;  44,1
30.08.2020 17:15:00;   352
01.09.2020 00:30:00;   152
03.10.2020 23:45:00;   289
01.11.2020 00:00:00;  56,8
06.12.2020 14:15:00;   168
23.01.2021 14:30:00;  42,7
07.02.2021 22:45:00;  92,1
31.03.2021 23:59:55;  56,1
30.04.2021 23:30:00;  75,8
02.05.2021 20:30:00;   170
10.06.2021 05:15:00;  89,3
14.07.2021 14:45:00;  53,2
23.08.2021 05:15:00;  85,7
20.09.2021 07:15:00;  48,2
06.10.2021 21:30:00;  68,1
04.11.2021 10:30:00;   178
02.12.2021 18:30:00;  17,5
