Messstelle:                ;Innsbruck-Reichenau
27.05.2013 14:15:00;  32,7
01.06.2013 13:30:00;  42,1
31.07.2013 16:15:00;  36,8
31.08.2013 17:30:00;  26,2
25.09.2013 21:15:00;  22,5
03.10.2013 19:30:00;  21,1
30.11.2013 18:43:40;  12,7
22.12.2013 03:45:00;  8,45
15.01.2014 17:00:00;  7,44
17.02.2014 20:00:00;  7,67
06.03.2014 05:00:00;  7,84
01.04.2014 02:00:00;  14,9
05.05.2014 09:15:00;  24,1
04.06.2014 09:30:00;  32,4
25.07.2014 14:15:00;  34,9
29.08.2014 18:30:00;  33,4
29.09.2014 19:00:00;  16,7
19.10.2014 15:15:00;  15,6
01.11.2014 13:15:00;  17,3
29.12.2014 11:25:50;  10,8
31.01.2015 03:00:00;  7,94
10.02.2015 10:15:00;  5,94
16.03.2015 12:15:00;  6,82
05.04.2015 14:30:00;  8,00
01.05.2015 07:30:00;  25,5
26.06.2015 17:15:00;  44,2
31.07.2015 18:15:00;  27,9
31.08.2015 05:00:00;  9,58
23.09.2015 07:15:00;  19,6
23.10.2015 15:45:00;  18,2
24.11.2015 06:30:00;  10,8
10.12.2015 21:15:00;  7,20
01.01.2016 08:30:00;  3,87
17.02.2016 13:45:00;  6,07
08.03.2016 17:45:00;  5,08
01.04.2016 13:30:00;  15,3
04.05.2016 17:45:00;  22,0
03.06.2016 17:00:00;  48,3
30.07.2016 13:45:00;  43,3
31.08.2016 10:45:00;  27,5
30.09.2016 20:15:00;  17,9
20.10.2016 19:30:00;  12,2
12.11.2016 09:15:00;  11,2
19.12.2016 14:00:00;  5,48
31.01.2017 15:30:00;  3,82
16.02.2017 14:30:00;  5,88
14.03.2017 11:15:00;  6,04
06.04.2017 16:45:00;  8,87
01.05.2017 00:30:00;  10,3
26.06.2017 15:15:00;  36,2
22.07.2017 19:15:00;  30,2
03.08.2017 08:45:00;  32,7
30.09.2017 15:15:00;  34,1
24.10.2017 15:45:00;  11,0
09.11.2017 18:30:00;  14,5
30.12.2017 08:30:00;  8,83
27.01.2018 04:45:00;  8,24
26.02.2018 08:30:00;  4,94
01.03.2018 03:15:00;  4,77
02.04.2018 12:45:00;  7,27
21.05.2018 12:00:00;  36,7
28.06.2018 14:45:00;  27,6
31.07.2018 16:15:00;  23,2
18.08.2018 08:30:00;  21,2
30.09.2018 18:45:00;  15,1
23.10.2018 15:45:00;  8,15
24.11.2018 14:30:00;  8,55
11.12.2018 17:30:00;  7,28
19.01.2019 12:45:00;  6,58
26.02.2019 13:45:00;  6,39
04.03.2019 07:15:00;  3,60
01.04.2019 12:45:00;  11,7
08.05.2019 12:15:00;  21,7
01.06.2019 15:30:00;  49,4
26.07.2019 14:30:00;  33,7
28.08.2019 16:45:00;  23,5
29.09.2019 12:15:00;  15,1
23.10.2019 10:15:00;  10,5
19.11.2019 15:00:00;  11,7
30.12.2019 11:15:00;  9,43
22.01.2020 14:30:00;  6,80
15.02.2020 17:00:00;  5,81
07.03.2020 11:00:00;  6,28
02.04.2020 14:45:00;  9,57
03.05.2020 17:45:00;  19,8
01.06.2020 09:15:00;  23,5
20.07.2020 07:45:00;  24,0
27.08.2020 17:30:00;  20,6
22.09.2020 10:45:00;  23,0
23.10.2020 09:30:00;  15,3
30.11.2020 09:15:00;  13,7
31.12.2020 16:30:00;  11,5
12.01.2021 03:30:00;  7,74
11.02.2021 15:30:00;  7,54
30.03.2021 10:00:00;  8,05
20.04.2021 16:30:00;  8,40
08.05.2021 16:30:00;  23,3
01.06.2021 14:30:00;  35,4
30.07.2021 10:15:00;  38,4
27.08.2021 21:15:00;  30,1
27.09.2021 19:30:00;  17,7
30.10.2021 10:00:00;  12,0
27.11.2021 13:30:00;  9,42
07.12.2021 08:15:00;  3,23
