Messstelle:                ;Mellau
29.10.2013 03:05:00;  4,49
30.11.2013 04:05:00;  3,95
21.12.2013 15:45:00;  2,48
29.01.2014 10:10:00;  1,90
01.02.2014 08:40:00;  2,20
05.03.2014 12:40:00;  2,48
19.04.2014 12:55:00;  6,86
26.05.2014 13:45:00;  11,0
23.06.2014 14:00:00;  2,40
07.07.2014 22:20:00;  5,39
23.08.2014 19:20:00;  5,10
21.09.2014 14:00:00;  4,25
12.10.2014 23:25:00;  2,51
30.11.2014 23:05:00;  4,06
10.12.2014 10:30:00;  1,59
28.01.2015 04:15:00;  2,52
10.02.2015 08:15:00;  1,84
01.03.2015 06:50:00;  2,59
08.04.2015 08:10:00;  6,18
31.05.2015 14:15:00;  13,2
11.06.2015 14:55:00;  6,20
22.07.2015 14:25:00;  1,76
09.08.2015 17:15:00;  1,42
01.09.2015 12:55:00;  2,48
04.10.2015 03:55:00;  2,98
19.11.2015 19:20:00;  1,10
31.12.2015 07:35:00;  2,68
22.01.2016 09:50:00;  2,35
20.02.2016 10:50:00;  3,75
09.03.2016 10:10:00;  3,56
29.04.2016 11:15:00;  6,87
03.05.2016 11:15:00;  10,5
29.06.2016 14:50:00;  10,3
10.07.2016 16:30:00;  5,67
29.08.2016 00:30:00;  3,22
30.09.2016 22:05:00;  3,27
17.10.2016 11:05:00;  2,48
05.11.2016 18:30:00;  2,86
31.12.2016 08:50:00; 0,963
03.01.2017 17:12:00; 0,845
13.02.2017 10:30:00;  2,54
01.03.2017 21:00:00;  5,56
21.04.2017 08:50:00;  7,43
02.05.2017 08:20:00;  11,5
25.06.2017 03:25:00;  3,83
10.07.2017 15:00:00;  5,03
30.08.2017 21:35:00;  3,22
30.09.2017 20:40:00;  4,95
21.10.2017 20:35:00;  3,80
30.11.2017 23:00:00;  5,29
10.12.2017 04:30:00;  3,78
16.01.2018 01:20:00;  5,84
15.02.2018 07:25:00;  2,51
04.03.2018 12:00:00;  2,82
02.04.2018 13:20:00;  7,76
31.05.2018 13:15:00;  9,52
30.06.2018 15:35:00;  2,92
19.07.2018 19:50:00;  1,82
08.08.2018 01:05:00;  1,67
21.09.2018 15:30:00;  3,31
24.10.2018 00:55:00;  1,86
26.11.2018 14:25:00;  1,09
02.12.2018 06:40:00;  1,31
29.01.2019 08:25:00;  2,13
05.02.2019 09:55:00;  2,57
14.03.2019 15:30:00;  8,29
15.04.2019 13:45:00;  9,20
07.05.2019 12:15:00;  10,7
30.06.2019 13:50:00;  7,29
25.07.2019 17:20:00;  2,41
05.08.2019 18:30:00;  3,78
22.09.2019 16:45:00;  2,53
27.10.2019 16:30:00;  2,71
23.11.2019 10:40:00;  3,31
13.12.2019 03:15:00;  3,26
20.01.2020 10:45:00;  1,84
22.02.2020 14:50:00;  5,55
31.03.2020 10:45:00;  5,26
01.04.2020 10:20:00;  4,71
31.05.2020 14:40:00;  4,37
01.06.2020 15:35:00;  4,06
28.07.2020 14:30:00;  4,68
28.08.2020 01:15:00;  2,66
20.09.2020 17:10:00;  2,30
23.10.2020 18:30:00;  5,58
30.11.2020 11:10:00;  1,78
11.12.2020 03:05:00;  1,42
11.01.2021 11:20:00; 0,909
14.02.2021 08:20:00;  4,19
23.03.2021 14:00:00;  3,08
19.04.2021 15:30:00;  6,16
06.05.2021 15:40:00;  14,3
28.06.2021 14:10:00;  5,91
26.07.2021 16:15:00;  7,15
15.08.2021 19:40:00;  6,09
29.09.2021 00:55:00;  3,02
31.10.2021 19:00:00;  1,85
01.11.2021 03:00:00;  1,85
01.12.2021 00:00:00;  2,80
