Messstelle:                ;Miklauzhof
22.05.2013 12:15:00;  4,72
20.06.2013 07:15:00;  2,53
29.07.2013 16:15:00;  1,54
06.08.2013 18:45:00;  1,77
08.09.2013 18:30:00;  2,13
09.10.2013 10:00:00;  1,88
02.11.2013 20:30:00;  2,25
17.12.2013 10:45:00;  1,77
02.01.2014 09:00:05;  3,96
07.02.2014 13:45:05;  6,87
13.03.2014 09:00:05;  5,19
10.04.2014 07:15:05;  2,78
09.05.2014 14:00:00;  2,36
01.06.2014 07:45:05;  2,50
03.07.2014 15:15:00;  2,64
09.08.2014 20:30:05;  2,93
30.09.2014 02:30:05;  5,58
07.10.2014 14:15:05;  2,93
03.11.2014 19:00:00;  3,72
12.12.2014 12:00:00;  3,63
12.01.2015 17:15:00;  2,78
10.02.2015 16:45:00;  2,78
02.03.2015 09:00:00;  2,63
20.04.2015 14:30:00;  3,39
08.05.2015 08:45:00;  3,39
29.06.2015 12:15:00;  3,24
06.07.2015 04:15:00;  2,63
05.08.2015 17:45:00;  2,63
01.09.2015 00:00:00;  2,63
31.10.2015 17:15:00;  3,24
27.11.2015 12:00:00;  2,93
04.12.2015 11:45:00;  2,78
01.01.2016 00:00:00;  2,78
01.02.2016 15:00:00;  2,78
24.03.2016 13:30:00;  4,86
27.04.2016 20:15:00;  3,24
31.05.2016 08:00:00;  5,04
27.06.2016 03:00:00;  3,92
11.07.2016 21:45:00;  2,49
05.08.2016 09:45:00;  2,63
07.09.2016 09:45:00;  2,63
01.10.2016 01:00:00;  2,63
03.11.2016 02:15:00;  3,08
07.12.2016 11:15:00;  2,65
06.01.2017 08:00:00;  2,51
01.02.2017 00:15:00;  2,78
29.03.2017 09:30:00;  3,24
04.04.2017 16:30:00;  2,78
28.05.2017 11:15:00;  2,51
20.06.2017 14:45:00;  2,51
16.07.2017 17:15:00;  2,78
01.08.2017 00:00:00;  2,78
01.09.2017 08:30:00;  2,63
01.10.2017 11:30:00;  3,55
01.11.2017 00:00:00;  3,55
05.12.2017 10:45:00;  4,84
19.01.2018 17:00:00;  3,08
25.02.2018 09:15:00;  2,08
01.03.2018 01:45:00;  2,78
12.04.2018 09:45:00;  3,83
16.05.2018 14:00:00;  2,65
08.06.2018 18:00:00;  2,51
03.07.2018 11:00:00;  2,51
16.08.2018 09:30:00;  2,26
21.09.2018 17:15:00;  2,26
01.10.2018 00:00:00;  2,26
22.11.2018 11:30:00;  2,65
10.12.2018 12:00:00;  2,26
26.01.2019 04:30:00;  1,13
01.02.2019 00:00:00;  1,91
15.03.2019 10:45:00;  2,65
02.04.2019 08:30:00;  3,06
02.05.2019 11:30:00;  3,67
16.06.2019 10:15:00;  3,83
17.07.2019 16:30:00;  2,92
20.08.2019 15:45:00;  1,80
05.09.2019 11:30:00;  1,80
20.10.2019 15:30:00;  2,78
01.11.2019 04:30:00;  2,78
07.12.2019 15:00:00;  3,08
24.01.2020 11:45:00;  3,06
28.02.2020 13:45:00;  1,94
18.03.2020 09:00:00;  1,83
28.04.2020 16:30:00;  2,21
07.05.2020 07:15:00;  1,38
23.06.2020 17:45:00;  1,38
23.07.2020 09:30:00;  2,35
21.08.2020 14:45:00;  1,71
24.09.2020 06:45:00;  2,47
01.10.2020 18:30:00;  3,55
24.11.2020 17:00:00;  1,59
02.12.2020 09:30:00;  3,06
17.01.2021 05:30:00;  2,07
02.02.2021 17:45:00;  3,60
25.03.2021 17:15:00;  2,48
12.04.2021 19:30:00;  3,21
01.05.2021 07:45:00;  5,10
30.06.2021 12:45:00;  1,98
29.07.2021 00:00:00;  1,98
21.08.2021 10:00:00;  1,98
03.09.2021 20:30:00;  1,83
02.10.2021 14:00:00;  1,83
23.11.2021 13:15:00;  2,11
01.12.2021 16:00:00;  2,11
