Messstelle:                ;Kainisch
09.09.2013 11:45:00;  1,53
10.10.2013 10:45:00;  1,14
30.11.2013 12:15:00;  1,14
23.12.2013 04:30:00; 0,943
29.01.2014 17:00:00; 0,883
28.02.2014 08:00:00; 0,943
05.03.2014 01:45:05; 0,943
18.04.2014 13:30:00;  2,19
05.05.2014 12:45:00;  2,64
18.06.2014 11:15:00;  1,44
25.07.2014 16:45:05;  1,01
09.08.2014 12:15:00;  1,36
09.09.2014 13:30:00;  1,70
11.10.2014 11:45:05;  1,21
30.11.2014 16:00:00;  1,21
12.12.2014 15:15:00; 0,883
01.01.2015 00:00:00;  1,07
23.02.2015 03:00:00;  1,15
01.03.2015 12:30:00;  1,29
07.04.2015 13:45:00;  1,97
28.05.2015 11:45:00;  4,56
11.06.2015 12:15:00;  2,27
22.07.2015 14:45:00;  1,61
30.08.2015 06:45:00; 0,943
01.09.2015 15:30:00; 0,943
03.10.2015 18:15:00;  1,14
09.11.2015 08:15:00; 0,943
31.12.2015 05:30:00; 0,883
06.01.2016 06:15:00; 0,826
15.02.2016 15:45:00;  1,21
12.03.2016 10:00:00;  1,21
29.04.2016 12:30:00;  1,52
01.05.2016 14:00:00;  2,52
25.06.2016 07:00:00;  2,02
11.07.2016 08:30:00;  1,82
05.08.2016 06:45:00;  2,02
30.09.2016 19:05:50;  1,62
02.10.2016 09:05:50;  1,58
30.11.2016 22:20:50;  1,25
24.12.2016 07:50:50; 0,949
30.01.2017 21:05:50; 0,962
01.02.2017 12:05:50; 0,980
02.03.2017 09:35:50;  1,83
21.04.2017 09:05:00;  2,04
30.05.2017 11:20:00;  3,24
20.06.2017 13:05:00;  1,14
09.07.2017 10:50:00;  1,25
03.08.2017 06:05:00;  1,84
30.09.2017 07:05:00;  1,79
21.10.2017 18:50:00;  1,29
21.11.2017 01:35:00;  1,79
21.12.2017 18:20:00;  1,59
21.01.2018 08:50:00;  1,52
26.02.2018 17:35:00;  1,07
02.03.2018 00:50:00;  1,07
03.04.2018 10:05:00;  2,41
30.05.2018 11:50:00;  2,63
21.06.2018 00:35:00;  1,52
31.07.2018 06:20:00;  1,28
22.08.2018 11:35:00; 0,879
20.09.2018 22:20:00; 0,938
16.10.2018 10:05:00; 0,823
22.11.2018 15:05:00; 0,919
01.12.2018 10:50:00; 0,919
31.01.2019 06:50:00;  1,02
15.02.2019 12:20:00; 0,994
14.03.2019 18:20:00;  1,89
15.04.2019 12:20:00;  3,41
16.05.2019 15:20:00;  2,99
30.06.2019 13:20:00;  2,66
26.07.2019 17:35:00;  1,06
28.08.2019 13:05:00; 0,741
01.09.2019 19:50:00; 0,789
28.10.2019 01:20:00; 0,909
03.11.2019 23:50:00; 0,970
16.12.2019 15:45:00; 0,898
29.01.2020 11:30:00; 0,823
23.02.2020 03:30:00;  1,70
31.03.2020 17:45:00;  1,70
02.04.2020 13:45:00;  1,55
31.05.2020 23:30:00;  3,07
27.06.2020 20:15:00;  1,82
28.07.2020 16:30:00;  1,31
13.08.2020 15:30:00; 0,904
25.09.2020 00:45:00;  1,40
07.10.2020 02:30:00;  1,99
30.11.2020 13:30:00; 0,880
21.12.2020 14:48:45; 0,725
20.01.2021 20:15:00; 0,642
16.02.2021 17:45:00; 0,869
23.03.2021 22:15:00; 0,869
19.04.2021 07:45:00;  1,38
06.05.2021 16:00:00;  3,40
30.06.2021 12:45:00;  1,33
30.07.2021 17:15:00;  1,04
15.08.2021 14:30:00;  1,20
15.09.2021 11:00:00; 0,852
31.10.2021 10:15:00; 0,759
28.11.2021 11:30:00; 0,634
10.12.2021 16:00:00; 0,657
