Messstelle:                ;Lech (Tannbergbrücke)
31.10.2013 11:40:00;  2,64
30.11.2013 22:55:00;  1,47
31.12.2013 01:20:00; 0,736
25.01.2014 08:40:00; 0,503
12.02.2014 22:50:00; 0,466
09.03.2014 10:45:00; 0,517
19.04.2014 08:25:00;  1,94
06.05.2014 12:55:00;  3,57
21.06.2014 12:10:00;  3,22
20.07.2014 08:25:00;  3,56
25.08.2014 17:35:00;  3,46
29.09.2014 12:00:00;  2,70
13.10.2014 01:35:00;  1,68
30.11.2014 21:30:00;  1,73
31.12.2014 22:00:00; 0,951
29.01.2015 09:40:00; 0,809
27.02.2015 03:25:00; 0,550
06.03.2015 09:35:00; 0,524
08.04.2015 08:15:00;  1,09
28.05.2015 11:45:00;  6,49
18.06.2015 14:00:00;  6,63
22.07.2015 12:50:00;  2,76
31.08.2015 22:25:00;  1,91
01.09.2015 14:55:00;  1,79
13.10.2015 02:45:00;  1,84
19.11.2015 23:35:00;  1,03
31.12.2015 23:20:00; 0,995
24.01.2016 10:35:00; 0,790
20.02.2016 08:45:00; 0,835
09.03.2016 09:35:00; 0,803
29.04.2016 08:35:00;  2,36
03.05.2016 08:45:00;  2,65
29.06.2016 10:50:00;  9,27
30.07.2016 17:25:00;  4,43
31.08.2016 16:05:00;  2,29
30.09.2016 19:40:00;  1,91
17.10.2016 15:55:00;  1,67
15.11.2016 04:00:00;  1,28
31.12.2016 23:59:55; 0,562
27.01.2017 21:20:00; 0,406
11.02.2017 02:00:00; 0,521
08.03.2017 10:15:00; 0,768
21.04.2017 07:45:00;  1,81
02.05.2017 08:00:00;  2,81
26.06.2017 14:20:00;  5,68
10.07.2017 15:20:00;  5,13
31.08.2017 08:20:00;  2,18
30.09.2017 16:55:00;  2,66
21.10.2017 17:05:00;  2,14
30.11.2017 05:45:00;  1,53
30.12.2017 09:35:00; 0,977
21.01.2018 16:30:00;  1,02
15.02.2018 02:05:00; 0,846
24.03.2018 06:25:00; 0,881
02.04.2018 07:55:00;  1,06
18.05.2018 11:10:00;  9,29
29.06.2018 06:45:00;  3,76
31.07.2018 15:15:00;  2,40
18.08.2018 03:10:00;  1,52
21.09.2018 00:15:00;  2,17
23.10.2018 23:40:00;  1,41
28.11.2018 08:55:00; 0,951
01.12.2018 21:45:00; 0,951
31.01.2019 23:30:00; 0,994
05.02.2019 09:30:00; 0,711
07.03.2019 14:25:00;  1,14
15.04.2019 08:55:00;  2,09
16.05.2019 05:45:00;  3,41
30.06.2019 10:40:00;  13,4
25.07.2019 12:45:00;  5,58
31.08.2019 15:15:00;  2,57
23.09.2019 00:35:00;  1,62
01.10.2019 22:55:00;  1,87
30.11.2019 23:55:00;  1,46
29.12.2019 10:00:00;  1,08
29.01.2020 09:50:00; 0,672
21.02.2020 22:15:00;  1,05
10.03.2020 10:00:00; 0,814
01.04.2020 06:20:00;  1,66
31.05.2020 07:50:00;  4,87
01.06.2020 08:15:00;  5,02
31.07.2020 19:30:00;  3,36
27.08.2020 07:25:00;  2,11
20.09.2020 03:00:00;  1,84
21.10.2020 01:50:00;  2,46
30.11.2020 09:25:00;  1,49
31.12.2020 09:55:00;  1,16
28.01.2021 16:10:00; 0,632
18.02.2021 09:30:00; 0,755
23.03.2021 08:55:00; 0,755
16.04.2021 06:45:00;  1,27
08.05.2021 08:50:00;  4,84
30.06.2021 22:45:00;  8,12
28.07.2021 07:10:00;  4,10
28.08.2021 07:10:00;  2,93
28.09.2021 23:50:00;  1,56
30.10.2021 16:15:00;  1,36
30.11.2021 23:55:00; 0,794
23.12.2021 00:15:00; 0,575
