Messstelle:                ;Kennelbach
08.09.2013 21:25:00;  9,46
27.10.2013 08:05:00;  8,33
28.11.2013 06:50:00;  6,04
19.12.2013 11:20:00;  4,92
04.01.2014 10:15:00;  6,04
01.02.2014 08:50:00;  8,73
09.03.2014 20:52:30;  6,93
26.04.2014 06:40:00;  11,8
25.05.2014 14:50:00;  12,7
22.06.2014 16:40:00;  6,41
06.07.2014 22:00:00;  7,13
23.08.2014 10:25:00;  8,97
21.09.2014 07:20:00;  7,85
12.10.2014 08:15:35;  6,31
29.11.2014 09:10:00;  8,09
07.12.2014 08:30:00;  7,47
25.01.2015 13:35:00;  9,02
07.02.2015 09:10:00;  5,24
01.03.2015 09:35:00;  13,0
26.04.2015 16:45:00;  23,7
31.05.2015 18:50:00;  18,3
14.06.2015 07:55:00;  11,9
21.07.2015 21:50:00;  4,75
09.08.2015 06:02:30;  3,98
13.09.2015 20:25:00;  5,93
03.10.2015 20:45:00;  5,50
20.11.2015 02:15:00;  3,56
13.12.2015 16:15:00;  4,35
01.01.2016 01:40:00;  6,69
20.02.2016 12:45:00;  13,8
25.03.2016 07:45:00;  11,2
10.04.2016 18:00:00;  14,0
08.05.2016 16:10:00;  22,4
29.06.2016 06:10:00;  22,4
10.07.2016 00:00:00;  11,7
28.08.2016 00:40:00;  7,31
29.09.2016 19:55:00;  8,08
30.10.2016 17:40:00;  7,19
01.11.2016 23:10:00;  4,96
17.12.2016 15:10:00;  6,94
25.01.2017 22:38:00;  7,05
15.02.2017 18:05:00;  8,40
29.03.2017 05:50:00;  25,0
09.04.2017 18:55:00;  11,6
30.05.2017 06:30:00;  11,6
23.06.2017 20:55:00;  6,10
08.07.2017 17:50:00;  11,0
27.08.2017 20:10:00;  12,1
30.09.2017 07:10:00;  11,1
21.10.2017 08:20:00;  10,6
05.11.2017 01:10:00;  12,4
03.12.2017 08:40:00;  11,7
16.01.2018 08:05:00;  21,4
11.02.2018 11:10:00;  7,01
25.03.2018 20:25:00;  6,05
14.04.2018 16:10:00;  30,2
30.05.2018 05:50:00;  11,1
30.06.2018 06:00:00;  7,50
29.07.2018 16:30:00;  4,30
01.08.2018 10:05:00;  4,83
16.09.2018 20:10:00;  10,2
21.10.2018 15:40:00;  6,66
12.11.2018 01:20:00;  6,84
01.12.2018 10:45:00;  5,78
27.01.2019 20:20:00;  10,9
02.02.2019 08:35:00;  11,1
29.03.2019 17:50:00;  16,8
15.04.2019 06:40:00;  18,8
01.05.2019 18:55:00;  18,6
29.06.2019 07:50:00;  8,46
26.07.2019 22:50:00;  5,98
05.08.2019 22:55:00;  9,46
22.09.2019 00:25:00;  6,80
26.10.2019 19:35:00;  7,23
24.11.2019 01:35:00;  8,54
07.12.2019 10:05:00;  11,4
27.01.2020 21:05:00;  7,10
23.02.2020 08:35:00;  14,7
29.03.2020 11:05:00;  10,4
05.04.2020 19:00:00;  10,5
31.05.2020 17:20:00;  8,56
01.06.2020 00:25:00;  8,34
09.07.2020 20:05:00;  7,35
26.08.2020 20:40:00;  4,68
20.09.2020 22:15:00;  4,02
23.10.2020 07:55:00;  9,60
28.11.2020 09:50:00;  4,72
01.12.2020 04:45:00;  4,65
06.01.2021 04:05:00;  8,12
14.02.2021 09:55:00;  12,2
11.03.2021 18:20:00;  10,4
24.04.2021 18:10:00;  12,8
30.05.2021 16:25:00;  28,3
27.06.2021 08:20:00;  5,80
06.07.2021 07:45:00;  9,44
15.08.2021 19:05:00;  9,71
08.09.2021 18:35:00;  8,72
31.10.2021 09:45:00;  6,32
01.11.2021 00:00:00;  6,40
23.12.2021 01:15:00;  9,83
