Messstelle:                ;Bad Hofgastein
28.11.2013 05:15:00;  3,75
23.12.2013 09:30:00;  2,79
26.01.2014 21:15:00;  1,95
08.02.2014 13:00:00;  2,27
02.03.2014 17:45:00;  2,44
01.04.2014 14:45:00;  3,55
06.05.2014 05:45:00;  6,77
03.06.2014 14:30:00;  9,29
27.07.2014 12:00:00;  9,29
29.08.2014 23:45:00;  8,41
30.09.2014 23:00:00;  6,26
23.10.2014 04:30:00;  4,17
30.11.2014 17:30:00;  3,75
10.12.2014 08:45:00;  3,35
30.01.2015 09:30:00;  1,95
10.02.2015 11:45:00;  1,65
02.03.2015 12:00:00;  1,51
07.04.2015 09:45:00;  1,80
01.05.2015 00:30:00;  5,05
29.06.2015 10:15:00;  10,8
21.07.2015 13:15:00;  6,77
31.08.2015 05:30:00;  5,77
19.09.2015 16:00:00;  5,28
28.10.2015 13:15:00;  5,52
18.11.2015 11:15:00;  2,27
16.12.2015 15:30:00;  2,44
22.01.2016 16:15:00;  1,51
13.02.2016 19:00:00;  1,80
13.03.2016 19:00:00;  1,65
01.04.2016 11:00:00;  2,79
01.05.2016 00:15:00;  4,82
05.06.2016 13:30:00;  12,5
24.07.2016 16:45:00;  7,04
08.08.2016 13:15:00;  6,01
29.09.2016 09:30:00;  3,35
10.10.2016 00:00:00;  2,97
28.11.2016 11:45:00;  3,55
23.12.2016 23:00:00;  2,61
29.01.2017 12:00:00;  1,30
20.02.2017 02:30:00;  1,12
08.03.2017 12:45:00;  1,12
08.04.2017 12:00:00;  2,61
01.05.2017 11:15:00;  4,16
18.06.2017 08:15:00;  8,13
23.07.2017 14:15:00;  1,84
28.08.2017 03:04:40;  1,92
01.09.2017 07:15:00;  6,54
21.10.2017 19:15:00;  2,97
20.11.2017 09:30:00;  2,79
07.12.2017 05:30:00;  2,44
29.01.2018 12:15:00;  2,27
24.02.2018 03:30:00;  1,80
04.03.2018 04:00:00;  1,62
01.04.2018 11:45:00;  3,16
20.05.2018 09:15:00;  9,89
17.06.2018 17:45:00;  6,88
28.07.2018 14:15:00;  4,82
19.08.2018 11:00:00;  2,97
17.09.2018 12:30:00;  2,44
17.10.2018 20:15:00;  1,80
29.11.2018 13:15:00;  2,10
22.12.2018 13:30:00;  2,44
20.01.2019 21:00:00;  1,95
13.02.2019 20:30:00;  2,10
13.03.2019 09:30:00;  2,44
15.04.2019 13:45:00;  3,95
09.05.2019 13:45:00;  6,77
01.06.2019 08:15:00;  13,8
17.07.2019 09:15:00;  3,54
29.08.2019 05:15:00;  2,88
01.09.2019 05:45:00;  3,35
22.10.2019 10:00:00;  2,44
03.11.2019 13:00:00;  1,80
10.12.2019 09:00:00;  2,76
12.01.2020 14:15:00;  2,79
11.02.2020 11:30:00;  1,80
05.03.2020 11:00:00;  1,51
01.04.2020 07:15:00;  2,11
04.05.2020 10:15:00;  7,04
01.06.2020 04:00:00;  7,85
28.07.2020 13:30:00;  7,03
22.08.2020 05:45:00;  6,26
24.09.2020 10:30:00;  2,96
15.10.2020 10:45:00;  5,05
16.11.2020 09:30:00;  3,16
14.12.2020 11:45:00;  1,11
12.01.2021 11:15:00;  1,95
02.02.2021 22:45:00;  2,27
23.03.2021 10:15:00;  1,65
18.04.2021 20:00:00;  2,27
07.05.2021 00:00:00;  6,26
02.06.2021 10:45:00;  11,8
30.07.2021 11:00:00;  8,99
22.08.2021 13:30:00;  7,57
29.09.2021 07:15:00;  3,35
31.10.2021 21:00:00;  3,54
02.11.2021 09:45:00;  2,61
24.12.2021 08:15:00;  2,10
