Messstelle:                ;Tumpen
19.10.2013 11:30:00;  17,0
28.11.2013 12:30:00;  9,56
31.12.2013 07:15:00;  5,00
29.01.2014 09:15:00;  3,86
25.02.2014 12:30:00;  3,46
02.03.2014 16:45:00;  3,89
01.04.2014 13:45:00;  7,42
18.05.2014 07:30:00;  14,0
01.06.2014 17:45:00;  31,2
03.07.2014 17:00:00;  46,4
25.08.2014 16:00:00;  29,6
27.09.2014 18:15:00;  18,1
31.10.2014 15:15:00;  11,9
30.11.2014 16:45:00;  10,4
29.12.2014 07:30:00;  5,63
31.01.2015 20:45:00;  4,20
19.02.2015 12:00:00;  3,36
06.03.2015 09:30:00;  3,18
08.04.2015 07:30:00;  4,02
01.05.2015 16:30:00;  13,0
01.06.2015 14:15:00;  37,8
31.07.2015 13:15:00;  42,9
22.08.2015 13:30:00;  30,2
30.09.2015 13:15:00;  16,1
28.10.2015 15:00:00;  11,1
28.11.2015 09:00:00;  6,16
31.12.2015 11:45:00;  4,09
19.01.2016 01:45:00;  2,71
20.02.2016 12:30:00;  3,28
10.03.2016 07:45:00;  3,30
01.04.2016 12:15:00;  7,50
05.05.2016 14:00:00;  8,33
01.06.2016 15:15:00;  43,2
17.07.2016 15:15:00;  35,0
23.08.2016 13:45:00;  32,8
29.09.2016 17:15:00;  11,8
22.10.2016 15:00:00;  7,90
29.11.2016 15:30:00;  4,90
30.12.2016 10:15:00;  3,38
19.01.2017 03:31:00;  2,95
10.02.2017 09:00:00;  3,26
10.03.2017 22:15:00;  3,44
21.04.2017 11:30:00;  4,72
02.05.2017 14:30:00;  7,13
08.06.2017 17:30:00;  37,6
27.07.2017 13:00:00;  31,0
30.08.2017 13:00:00;  34,0
30.09.2017 14:30:00;  19,2
31.10.2017 10:45:00;  10,7
30.11.2017 23:59:55;  7,08
30.12.2017 14:30:00;  5,05
05.01.2018 07:45:00;  4,65
28.02.2018 11:30:00;  3,01
22.03.2018 13:15:00;  3,48
02.04.2018 01:00:00;  4,51
18.05.2018 14:15:00;  30,0
29.06.2018 14:45:00;  35,7
18.07.2018 13:15:00;  33,9
29.08.2018 14:45:00;  28,1
30.09.2018 16:45:00;  16,3
22.10.2018 14:30:00;  8,64
29.11.2018 04:30:00;  6,69
14.12.2018 10:15:00;  5,21
14.01.2019 20:45:00;  4,16
05.02.2019 11:00:00;  3,86
21.03.2019 09:30:00;  5,39
05.04.2019 07:00:00;  8,14
16.05.2019 08:00:00;  11,7
01.06.2019 14:30:00;  28,9
15.07.2019 15:15:00;  45,3
31.08.2019 12:45:00;  35,5
29.09.2019 18:00:00;  19,0
27.10.2019 17:45:00;  14,0
17.11.2019 19:30:00;  10,8
29.12.2019 09:30:00;  7,16
21.01.2020 08:30:00;  5,13
01.02.2020 20:00:00;  6,13
08.03.2020 19:30:00;  5,85
01.04.2020 10:45:00;  7,19
04.05.2020 17:15:00;  16,8
01.06.2020 15:00:00;  29,7
19.07.2020 14:00:00;  38,5
27.08.2020 14:30:00;  28,1
29.09.2020 11:30:00;  18,6
19.10.2020 15:15:00;  13,8
30.11.2020 13:30:00;  6,75
31.12.2020 14:00:00;  6,11
29.01.2021 00:15:00;  2,82
14.02.2021 11:45:00;  3,30
21.03.2021 06:00:00;  4,51
16.04.2021 09:30:00;  6,60
08.05.2021 13:30:00;  11,8
01.06.2021 14:15:00;  23,5
30.07.2021 12:15:00;  46,8
29.08.2021 15:45:00;  22,1
30.09.2021 18:15:00;  15,1
30.10.2021 15:15:00;  8,61
24.11.2021 09:30:00;  5,77
22.12.2021 09:30:00;  3,57
