Messstelle:                ;Hofstetten (Bad)
23.06.2013 21:00:00;  5,25
28.07.2013 16:50:00;  2,61
23.08.2013 10:45:00;  1,95
07.09.2013 04:00:00;  1,83
27.10.2013 08:00:00;  1,83
02.11.2013 21:30:00;  1,51
31.12.2013 23:55:00;  3,07
30.01.2014 07:00:00;  2,21
28.02.2014 17:00:00;  2,11
11.03.2014 00:25:00;  1,76
08.04.2014 08:15:00;  1,88
02.05.2014 19:20:00;  2,74
17.06.2014 16:30:00;  2,40
22.07.2014 15:30:00;  1,81
20.08.2014 08:30:00;  2,14
01.09.2014 00:10:00;  2,66
15.10.2014 16:20:00;  2,17
04.11.2014 13:50:00;  2,53
01.12.2014 20:10:00;  2,37
01.01.2015 10:50:00;  3,04
12.02.2015 21:10:00;  3,18
29.03.2015 17:10:00;  5,37
30.04.2015 19:25:00;  3,99
19.05.2015 21:45:00;  2,79
27.06.2015 03:15:00;  2,20
31.07.2015 23:59:55;  1,53
31.08.2015 23:59:55;  1,33
10.09.2015 09:30:00;  1,19
06.10.2015 22:40:00;  1,29
03.11.2015 16:00:00;  1,60
28.12.2015 21:00:00;  1,74
19.01.2016 03:15:00;  1,35
16.02.2016 21:10:00;  3,99
02.03.2016 18:35:00;  4,15
30.04.2016 23:20:00;  2,99
02.05.2016 10:35:00;  2,85
19.06.2016 22:50:00;  2,41
02.07.2016 18:35:00;  2,53
31.08.2016 22:55:00;  3,00
30.09.2016 15:15:00;  2,46
01.10.2016 19:05:00;  2,35
30.11.2016 18:30:00;  3,39
05.12.2016 10:10:00;  2,49
30.01.2017 06:15:00;  2,42
02.02.2017 12:55:00;  2,64
09.03.2017 00:05:00;  3,97
15.04.2017 16:05:00;  3,05
31.05.2017 19:10:00;  2,86
29.06.2017 18:45:00;  1,20
20.07.2017 15:15:00;  1,52
29.08.2017 18:55:00; 0,982
01.09.2017 02:40:00;  1,66
02.10.2017 17:45:00;  1,69
05.11.2017 22:30:00;  2,69
21.12.2017 07:50:00;  2,88
16.01.2018 12:05:00;  3,83
23.02.2018 14:20:00;  2,56
07.03.2018 11:15:00;  2,62
30.04.2018 03:25:00;  2,11
28.05.2018 18:35:00;  1,18
08.06.2018 00:40:00;  1,04
29.07.2018 19:40:00;  1,82
23.08.2018 14:50:00;  1,41
27.09.2018 16:50:00;  1,09
11.10.2018 16:00:00;  1,04
07.11.2018 12:15:00;  1,11
01.12.2018 04:35:00;  1,76
29.01.2019 10:30:00;  4,12
02.02.2019 00:20:00;  3,93
29.03.2019 20:40:00;  4,60
28.04.2019 01:25:00; 0,989
02.05.2019 22:35:00;  4,41
30.06.2019 19:15:00;  2,49
24.07.2019 21:50:00;  1,86
20.08.2019 19:10:00;  1,50
20.09.2019 13:55:00;  1,20
23.10.2019 23:55:00;  1,24
24.11.2019 08:45:00;  1,34
13.12.2019 23:00:00; 0,681
16.01.2020 23:45:00;  1,78
10.02.2020 02:55:00;  4,09
25.03.2020 15:05:00;  2,28
23.04.2020 08:00:00;  1,44
22.05.2020 19:10:00;  1,45
05.06.2020 03:00:00;  4,16
10.07.2020 22:10:35;  2,76
02.08.2020 09:30:00;  2,50
21.09.2020 08:00:00;  2,89
09.10.2020 07:05:00;  2,82
27.11.2020 12:00:00;  2,68
09.12.2020 14:45:00;  1,96
12.01.2021 11:30:00;  1,76
10.02.2021 21:35:00;  2,69
11.03.2021 11:10:00;  2,83
09.04.2021 16:00:00;  3,64
11.05.2021 22:55:00;  3,16
21.06.2021 19:45:00;  1,55
14.07.2021 01:05:00;  1,42
16.08.2021 16:50:00;  3,18
30.09.2021 11:55:00;  1,89
04.10.2021 08:55:00;  1,44
22.11.2021 12:10:00;  1,63
12.12.2021 11:45:00;  3,07
