Messstelle:                ;Opponitz (Mirenau)
10.10.2013 15:25:00;  7,39
04.11.2013 14:30:00;  8,15
09.12.2013 00:35:00;  7,98
30.01.2014 18:10:00;  8,26
28.02.2014 21:30:00;  8,37
12.03.2014 23:10:00;  7,24
06.04.2014 03:15:00;  9,87
11.05.2014 02:15:00;  12,4
29.06.2014 08:35:00;  8,99
20.07.2014 05:15:00;  9,04
20.08.2014 16:50:00;  11,3
09.09.2014 18:10:00;  13,5
09.10.2014 09:40:00;  8,71
25.11.2014 16:15:00;  6,87
02.12.2014 23:45:00;  6,34
27.01.2015 09:30:00;  7,41
03.02.2015 16:20:00;  7,57
15.03.2015 09:30:00;  11,4
30.04.2015 17:40:00;  17,0
18.05.2015 18:35:00;  10,9
13.06.2015 10:45:00;  9,07
27.07.2015 08:00:00;  6,01
29.08.2015 05:15:00;  5,07
23.09.2015 20:50:00;  4,88
06.10.2015 17:10:00;  5,16
10.11.2015 13:50:00;  4,17
31.12.2015 13:35:00;  6,11
23.01.2016 06:05:00;  5,08
20.02.2016 13:00:00;  12,1
16.03.2016 15:25:00;  8,82
26.04.2016 16:35:00;  11,8
01.05.2016 11:35:00;  11,9
18.06.2016 14:40:00;  9,63
12.07.2016 03:15:00;  7,99
31.08.2016 12:25:00;  9,78
03.09.2016 21:05:00;  7,84
02.10.2016 11:20:00;  9,31
30.11.2016 10:50:00;  10,3
08.12.2016 12:40:00;  8,86
20.01.2017 10:10:00;  6,95
01.02.2017 00:15:00;  10,3
08.03.2017 21:40:00;  14,7
16.04.2017 00:55:00;  12,7
29.05.2017 08:00:00;  8,29
30.06.2017 11:45:00;  7,46
09.07.2017 17:55:00;  7,06
17.08.2017 02:25:00;  5,94
30.09.2017 11:00:00;  8,89
01.10.2017 22:00:00;  6,42
19.11.2017 05:10:00;  13,0
21.12.2017 13:00:00;  10,4
18.01.2018 14:20:00;  14,5
12.02.2018 06:25:00;  7,59
01.03.2018 05:35:00;  7,12
27.04.2018 10:00:00;  15,1
30.05.2018 13:50:00;  7,67
12.06.2018 14:50:00;  7,36
31.07.2018 11:40:00;  6,75
22.08.2018 19:00:00;  5,10
21.09.2018 23:45:00;  5,35
23.10.2018 08:55:00;  4,46
24.11.2018 05:05:00;  5,30
01.12.2018 00:45:00;  5,64
31.01.2019 14:55:00;  8,95
01.02.2019 14:10:00;  8,93
28.03.2019 09:45:00;  22,6
15.04.2019 21:05:00;  16,6
04.05.2019 20:20:00;  29,4
30.06.2019 12:30:00;  8,03
27.07.2019 12:25:00;  6,23
29.08.2019 11:55:00;  6,18
22.09.2019 08:40:00;  4,43
25.10.2019 15:35:00;  5,08
03.11.2019 01:15:00;  5,08
05.12.2019 12:35:00;  5,52
26.01.2020 12:10:00;  7,91
23.02.2020 15:30:00;  12,5
31.03.2020 08:45:00;  10,2
28.04.2020 13:40:00;  9,45
22.05.2020 08:05:00;  6,02
04.06.2020 16:05:00;  12,3
31.07.2020 20:50:00;  8,98
02.08.2020 14:30:00;  8,11
24.09.2020 23:10:00;  10,1
09.10.2020 14:20:00;  9,42
24.11.2020 12:25:00;  6,33
06.12.2020 19:05:00;  6,18
14.01.2021 11:05:00;  5,38
15.02.2021 11:55:00;  9,57
11.03.2021 15:35:00;  8,82
09.04.2021 11:10:00;  12,9
31.05.2021 23:50:00;  13,1
30.06.2021 14:20:00;  6,29
13.07.2021 04:40:00;  5,69
16.08.2021 16:55:00;  8,65
29.09.2021 10:45:00;  7,55
31.10.2021 14:50:00;  6,02
21.11.2021 22:45:00;  5,00
13.12.2021 04:45:00;  8,25
