Messstelle:                ;Au
18.08.2013 15:45:00;  1,50
08.09.2013 13:45:00;  1,93
29.10.2013 05:05:00;  2,87
30.11.2013 04:05:00;  2,68
21.12.2013 09:35:00;  1,61
29.01.2014 08:10:00;  1,29
01.02.2014 07:55:00;  1,51
05.03.2014 13:45:00;  1,66
19.04.2014 11:40:00;  5,44
26.05.2014 12:45:00;  6,75
22.06.2014 16:00:00;  1,70
07.07.2014 16:40:00;  4,17
23.08.2014 18:25:00;  3,83
21.09.2014 00:30:00;  3,13
12.10.2014 07:15:00;  1,81
30.11.2014 21:15:00;  2,90
10.12.2014 10:30:00;  1,57
01.01.2015 07:50:00;  1,65
08.02.2015 12:30:00;  1,26
01.03.2015 05:00:00;  1,84
08.04.2015 09:05:00;  4,25
31.05.2015 13:35:00;  9,43
11.06.2015 12:55:00;  4,96
26.07.2015 19:00:00;  1,42
09.08.2015 15:00:00;  1,15
01.09.2015 14:35:00;  1,75
04.10.2015 05:55:00;  2,41
20.11.2015 01:50:00;  1,03
31.12.2015 05:20:00;  2,29
22.01.2016 09:45:00;  1,99
20.02.2016 08:30:00;  2,26
09.03.2016 07:15:00;  2,31
29.04.2016 08:15:00;  5,36
03.05.2016 11:35:00;  7,74
29.06.2016 12:55:00;  6,78
10.07.2016 12:30:00;  3,43
31.08.2016 12:30:00;  2,16
16.09.2016 14:15:00;  2,08
17.10.2016 07:25:00;  2,04
05.11.2016 07:25:00;  2,21
31.12.2016 11:35:00; 0,843
07.01.2017 07:30:00; 0,836
11.02.2017 10:45:00;  1,62
01.03.2017 20:20:00;  3,20
21.04.2017 07:25:00;  5,43
02.05.2017 08:05:00;  8,92
25.06.2017 02:15:00;  3,17
10.07.2017 13:20:00;  3,76
30.08.2017 19:20:00;  2,30
30.09.2017 16:00:00;  3,49
21.10.2017 23:30:00;  2,59
30.11.2017 21:25:00;  3,90
10.12.2017 08:30:00;  2,91
18.01.2018 11:00:00;  4,34
28.02.2018 21:20:00;  2,12
05.03.2018 11:10:00;  1,99
02.04.2018 10:30:00;  4,61
31.05.2018 12:50:00;  6,95
30.06.2018 13:30:00;  2,25
31.07.2018 18:10:00;  1,40
06.08.2018 17:25:00;  1,25
21.09.2018 16:10:00;  1,90
23.10.2018 15:05:00;  1,22
28.11.2018 08:25:00; 0,815
02.12.2018 06:25:00; 0,887
31.01.2019 07:45:00;  1,48
05.02.2019 09:10:00;  1,39
06.03.2019 13:55:00;  4,19
15.04.2019 08:40:00;  5,76
07.05.2019 11:50:00;  6,76
29.06.2019 13:45:00;  5,79
27.07.2019 13:05:00;  2,09
05.08.2019 18:40:00;  2,70
22.09.2019 17:40:00;  2,06
27.10.2019 17:10:00;  2,13
23.11.2019 12:25:00;  2,53
13.12.2019 02:55:00;  2,33
20.01.2020 10:20:00;  1,59
22.02.2020 13:30:00;  3,29
10.03.2020 10:35:00;  3,11
01.04.2020 09:00:00;  4,17
31.05.2020 16:10:00;  3,74
01.06.2020 12:50:00;  3,69
28.07.2020 15:15:00;  3,74
28.08.2020 13:35:00;  2,24
20.09.2020 13:10:00;  1,62
20.10.2020 16:30:00;  3,88
30.11.2020 23:20:00;  1,41
11.12.2020 01:05:00;  1,28
11.01.2021 09:30:00;  1,02
14.02.2021 06:45:00;  2,55
23.03.2021 11:50:00;  2,24
19.04.2021 14:05:00;  3,40
06.05.2021 14:30:00;  8,14
28.06.2021 13:40:00;  4,69
26.07.2021 14:45:00;  5,02
15.08.2021 16:15:00;  4,33
28.09.2021 22:35:00;  2,41
31.10.2021 11:10:00;  1,57
01.11.2021 02:10:00;  1,55
01.12.2021 00:05:00;  1,99
