Messstelle:                ;Kniewas
09.09.2013 03:15:00;  8,38
10.10.2013 04:45:00;  4,97
30.11.2013 23:45:00;  3,90
31.12.2013 21:00:00;  3,39
30.01.2014 05:30:00;  2,57
26.02.2014 20:45:00;  3,01
03.03.2014 07:00:00;  2,90
01.04.2014 08:30:00;  5,75
05.05.2014 09:45:00;  9,17
19.06.2014 16:15:00;  9,73
26.07.2014 03:45:00;  5,91
11.08.2014 10:00:00;  7,33
19.09.2014 09:15:00;  7,48
19.10.2014 08:30:00;  4,26
27.11.2014 15:30:00;  3,02
16.12.2014 02:15:00;  2,43
02.01.2015 06:00:00;  2,50
11.02.2015 08:15:00;  2,66
01.03.2015 06:45:00;  3,25
08.04.2015 06:30:00;  5,52
01.05.2015 07:45:00;  8,61
25.06.2015 20:00:00;  9,70
25.07.2015 10:15:00;  6,44
30.08.2015 08:15:00;  3,06
01.09.2015 06:30:00;  3,54
31.10.2015 15:45:00;  2,97
12.11.2015 20:30:00;  2,42
31.12.2015 10:30:00;  2,29
23.01.2016 10:45:10;  1,70
20.02.2016 06:30:00;  4,42
25.03.2016 07:45:00;  4,43
29.04.2016 07:00:00;  5,16
01.05.2016 11:15:00;  6,05
30.06.2016 17:15:00;  9,43
31.07.2016 08:00:00;  7,65
31.08.2016 01:45:00;  4,97
30.09.2016 20:30:00;  3,59
01.10.2016 12:30:00;  3,59
24.11.2016 11:30:00;  3,21
06.12.2016 18:15:00;  2,02
19.01.2017 04:49:15;  2,10
17.02.2017 19:00:00;  2,83
08.03.2017 11:30:00;  5,88
22.04.2017 10:00:00;  7,19
06.05.2017 07:30:00;  9,95
22.06.2017 16:00:00;  10,7
19.07.2017 10:30:00;  8,07
18.08.2017 23:45:00;  5,57
29.09.2017 17:45:00;  6,76
21.10.2017 18:15:00;  5,28
21.11.2017 11:00:00;  5,59
10.12.2017 08:45:00;  4,08
22.01.2018 14:45:00;  4,72
28.02.2018 23:59:55;  3,10
01.03.2018 08:30:00;  2,93
03.04.2018 08:45:00;  6,50
20.05.2018 15:45:00;  13,0
20.06.2018 17:00:00;  9,77
31.07.2018 05:45:00;  5,75
22.08.2018 19:15:00;  3,39
21.09.2018 05:15:00;  3,23
22.10.2018 04:30:00;  1,96
29.11.2018 07:30:00;  2,61
01.12.2018 02:15:00;  2,89
31.01.2019 23:59:55;  3,65
01.02.2019 08:15:00;  3,61
29.03.2019 09:15:00;  7,67
16.04.2019 07:15:00;  7,54
17.05.2019 07:15:00;  9,20
24.06.2019 13:00:00;  17,5
28.07.2019 17:30:00;  9,50
29.08.2019 06:00:00;  4,59
23.09.2019 05:00:00;  3,43
27.10.2019 08:45:00;  3,37
03.11.2019 05:30:00;  3,35
08.12.2019 20:30:00;  2,81
27.01.2020 14:00:00;  3,06
22.02.2020 18:00:00;  5,78
31.03.2020 23:59:55;  5,16
02.04.2020 07:15:00;  4,93
04.05.2020 16:30:00;  7,99
01.06.2020 04:00:00;  8,58
31.07.2020 19:15:00;  6,93
02.08.2020 15:30:00;  6,21
24.09.2020 20:15:00;  4,40
07.10.2020 08:45:00;  5,60
30.11.2020 11:15:00;  3,53
21.12.2020 19:45:00;  3,03
17.01.2021 11:00:00;  2,49
15.02.2021 08:45:00;  3,53
11.03.2021 13:30:00;  3,27
21.04.2021 12:45:00;  5,62
06.05.2021 17:15:00;  7,85
01.06.2021 00:00:00;  9,92
30.07.2021 17:45:00;  7,23
21.08.2021 20:45:00;  6,46
23.09.2021 13:15:00;  3,30
31.10.2021 22:45:00;  3,19
30.11.2021 06:00:00;  2,67
12.12.2021 23:00:00;  3,09
